Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,212.60,212.83,209.57,210.28,598600,209.63
2014-03-03,207.41,219.34,206.71,212.64,808900,211.98
2014-02-24,212.67,217.21,206.25,208.84,813500,208.19
2014-02-18,214.88,218.45,209.65,212.91,816500,212.25
2014-02-10,215.60,219.83,211.27,214.85,1057900,214.18
2014-02-03,208.18,216.30,202.90,215.53,996200,214.86
2014-01-27,208.23,210.25,201.01,208.79,894900,208.14
2014-01-21,208.38,212.33,204.34,204.36,1265000,203.72
2014-01-13,225.00,225.56,206.03,206.87,1668000,206.23
2014-01-06,226.90,229.50,224.05,225.33,664100,224.63
2013-12-30,225.38,226.96,221.89,225.88,631300,225.18
2013-12-23,226.57,227.07,223.62,224.74,460300,224.04
2013-12-16,221.00,225.88,219.77,224.46,1403200,223.76
2013-12-09,216.24,221.25,215.72,220.44,934100,219.75
2013-12-02,213.83,218.50,210.37,218.20,902200,216.87
2013-11-25,217.88,218.05,212.71,213.29,648900,211.99
2013-11-18,204.33,218.13,201.27,217.41,1355900,216.09
2013-11-11,204.20,205.80,196.75,202.36,929900,201.13
2013-11-04,195.51,205.25,192.21,204.20,891600,202.96
2013-10-28,196.32,196.32,190.47,195.35,818300,194.16
2013-10-21,198.42,198.46,194.85,196.00,492000,194.81
2013-10-14,193.89,198.53,193.11,198.22,457500,197.02
2013-10-07,192.00,195.26,187.35,194.68,837000,193.50
2013-09-30,179.47,193.78,178.41,193.65,956800,192.47
2013-09-23,181.30,182.19,178.43,181.28,418100,180.18
2013-09-16,182.39,184.95,180.69,182.13,581900,181.02
2013-09-09,179.04,182.97,178.42,180.53,587400,179.43
2013-09-03,182.23,183.98,177.26,179.39,622300,178.30
2013-08-26,185.34,186.48,178.57,179.75,489500,178.66
2013-08-19,180.55,186.44,180.55,185.33,567200,184.20
2013-08-12,183.94,184.38,178.77,181.79,406500,180.69
2013-08-05,187.43,187.97,180.14,184.92,559900,183.80
2013-07-29,176.47,188.78,176.40,188.44,657900,187.30
2013-07-22,178.69,179.45,174.90,177.28,468600,176.20
2013-07-15,180.84,183.44,177.46,178.99,539400,177.90
2013-07-08,177.45,181.45,173.54,180.67,716100,179.57
2013-07-01,179.60,181.25,173.62,177.03,880200,175.95
2013-06-24,170.41,181.43,168.70,177.76,903100,176.68
2013-06-17,174.37,184.12,170.34,172.56,887200,171.51
2013-06-10,175.00,175.86,170.48,173.15,532200,172.10
2013-06-03,171.42,174.87,162.95,174.70,714800,173.64
2013-05-28,169.53,177.87,168.33,171.21,764600,170.17
2013-05-20,176.55,179.10,166.18,167.66,941900,166.64
2013-05-13,171.59,178.18,170.84,177.41,513900,176.33
2013-05-06,171.31,172.61,169.66,172.10,449300,171.05
2013-04-29,159.51,174.25,158.45,172.02,1219300,170.98
2013-04-22,154.44,160.38,152.86,159.51,466800,158.54
2013-04-15,158.00,159.54,152.08,154.38,481700,153.44
2013-04-10,155.49,159.26,155.49,158.20,389900,157.24
