Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,24.61,24.89,24.58,24.84,24908100,24.84
2014-03-03,24.55,24.85,24.30,24.64,23634200,24.64
2014-02-24,24.51,24.98,24.41,24.76,21970200,24.76
2014-02-18,24.67,24.96,24.35,24.42,23549400,24.42
2014-02-10,24.11,24.76,24.06,24.76,22363700,24.76
2014-02-03,24.50,24.51,23.50,24.21,38995500,24.21
2014-01-27,24.77,25.05,24.40,24.54,29079500,24.31
2014-01-21,25.79,25.80,24.79,24.81,41529000,24.58
2014-01-13,25.63,27.12,25.25,25.85,66682900,25.61
2014-01-06,25.77,25.85,25.25,25.53,25898900,25.29
2013-12-30,25.67,26.04,25.47,25.78,25556300,25.54
2013-12-23,25.27,25.80,25.18,25.60,17551500,25.36
2013-12-16,24.33,25.35,24.33,25.06,36632100,24.82
2013-12-09,24.84,25.08,24.16,24.29,23009900,24.06
2013-12-02,24.00,25.25,23.40,24.82,40697700,24.59
2013-11-25,24.02,24.02,23.50,23.84,29053000,23.61
2013-11-18,24.61,25.29,23.84,23.87,38366000,23.64
2013-11-11,24.04,24.62,23.93,24.52,24621100,24.29
2013-11-04,24.32,24.40,23.77,24.09,26429800,23.86
2013-10-28,24.18,24.73,24.17,24.33,35767700,23.88
2013-10-21,23.94,24.24,23.56,24.24,40636800,23.79
2013-10-14,23.09,23.98,23.03,23.88,35226300,23.44
2013-10-07,22.71,23.26,22.48,23.26,32321500,22.83
2013-09-30,22.72,23.17,22.50,22.81,27804400,22.38
2013-09-23,23.70,23.85,22.88,22.98,25530900,22.55
2013-09-16,23.63,24.09,23.35,23.77,34987000,23.33
2013-09-09,22.72,23.46,22.60,23.44,39188800,23.00
2013-09-03,22.21,22.82,21.97,22.67,28632100,22.25
2013-08-26,22.40,22.52,21.90,21.98,30039200,21.57
2013-08-19,22.08,22.70,22.05,22.44,29673800,22.02
2013-08-12,22.48,22.74,21.89,21.91,28670400,21.50
2013-08-05,23.00,23.02,22.31,22.51,26600200,22.09
2013-07-29,23.17,23.50,23.00,23.22,43230400,22.57
2013-07-22,23.07,23.26,22.63,23.26,64575500,22.61
2013-07-15,23.84,24.43,22.81,23.04,45592200,22.39
2013-07-08,23.86,24.00,22.64,23.90,45895900,23.23
2013-07-01,24.35,24.42,23.45,24.06,23496400,23.38
2013-06-24,24.08,24.41,23.41,24.23,44667900,23.55
2013-06-17,25.11,25.68,24.09,24.20,47896200,23.52
2013-06-10,24.71,25.14,24.40,24.92,26772700,24.22
2013-06-03,24.88,25.98,24.22,24.59,54780700,23.90
2013-05-28,24.16,24.71,23.89,24.28,34225100,23.60
2013-05-20,24.08,24.53,23.58,23.92,37584600,23.25
2013-05-13,24.41,24.49,23.78,24.04,32977700,23.36
2013-05-06,24.17,24.57,23.85,24.50,29680800,23.81
2013-04-29,23.44,24.22,23.40,23.96,49111200,23.29
2013-04-22,22.48,23.87,22.35,23.40,76029600,22.53
2013-04-15,21.50,22.45,21.36,22.44,61605100,21.60
2013-04-10,21.72,22.42,21.47,21.68,53475500,20.87
