Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,17.70,17.76,17.38,17.46,6234500,17.46
2014-03-03,17.50,17.77,17.05,17.75,3676200,17.75
2014-02-24,16.89,17.83,16.85,17.72,4447600,17.72
2014-02-18,16.54,17.08,16.29,16.84,5052900,16.75
2014-02-10,16.56,17.14,16.36,16.48,5097800,16.39
2014-02-03,16.34,16.81,15.90,16.60,5126500,16.51
2014-01-27,16.77,16.82,16.21,16.32,3721000,16.23
2014-01-21,17.56,17.73,16.67,16.79,3038300,16.70
2014-01-13,17.56,17.85,17.37,17.46,3208400,17.36
2014-01-06,17.71,17.71,17.26,17.63,4110600,17.53
2013-12-30,17.38,17.81,17.37,17.62,2968700,17.52
2013-12-23,17.03,17.49,16.80,17.42,2198400,17.32
2013-12-16,16.55,16.99,16.30,16.90,4207000,16.81
2013-12-09,16.94,17.31,16.49,16.50,3385300,16.41
2013-12-02,17.41,17.46,16.72,16.88,4241200,16.79
2013-11-25,17.35,17.52,17.06,17.40,3382400,17.30
2013-11-18,17.03,17.54,16.93,17.34,3800000,17.17
2013-11-11,16.98,17.32,16.68,16.95,4071600,16.78
2013-11-04,16.97,17.16,16.68,16.94,4458500,16.77
2013-10-28,16.10,16.98,16.09,16.91,7227300,16.74
2013-10-21,16.06,16.27,15.28,16.15,12420300,15.99
2013-10-14,16.82,17.23,15.82,16.04,9742700,15.88
2013-10-07,16.84,16.94,16.27,16.93,4027500,16.76
2013-09-30,17.00,17.25,16.74,16.99,3201700,16.82
2013-09-23,17.20,17.34,16.91,17.15,3249100,16.98
2013-09-16,17.11,17.55,16.82,17.28,4560000,17.11
2013-09-09,16.19,16.95,16.15,16.86,2402000,16.69
2013-09-03,15.96,16.32,15.93,16.16,2453500,16.00
2013-08-26,16.01,16.12,15.52,15.72,3181200,15.56
2013-08-19,16.70,16.70,15.81,16.01,2584300,15.78
2013-08-12,16.02,16.38,15.79,15.92,3030800,15.69
2013-08-05,16.34,16.54,15.87,16.13,3058800,15.89
2013-07-29,16.84,17.43,16.34,16.40,12321100,16.16
2013-07-22,15.68,15.90,15.45,15.87,4186600,15.64
2013-07-15,15.69,15.97,15.17,15.58,6009000,15.35
2013-07-08,15.11,15.72,15.08,15.71,2897900,15.48
2013-07-01,14.67,15.05,14.59,15.04,2352600,14.82
2013-06-24,14.15,14.78,13.96,14.55,4178100,14.34
2013-06-17,14.62,14.90,14.19,14.27,3967300,14.06
2013-06-10,14.71,14.81,14.17,14.51,3658800,14.30
2013-06-03,14.23,14.69,13.67,14.66,4452600,14.45
2013-05-28,14.75,14.86,14.22,14.22,3057400,13.94
2013-05-20,14.78,14.84,14.17,14.56,3237200,14.27
2013-05-13,14.86,14.99,14.59,14.78,3369000,14.49
2013-05-06,14.03,14.90,13.97,14.88,4176500,14.59
2013-04-29,13.93,14.14,13.57,14.05,3916700,13.77
2013-04-22,13.45,14.35,13.41,13.97,7402700,13.69
2013-04-15,13.58,13.60,12.85,13.47,7446200,13.20
2013-04-10,13.38,13.70,13.35,13.65,3745700,13.38
