Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,443.07,444.49,436.04,438.59,366300,438.59
2014-03-03,442.30,462.47,440.05,443.98,435200,443.98
2014-02-24,435.19,454.97,433.00,444.83,378100,444.83
2014-02-18,440.31,447.75,433.32,435.19,272800,435.19
2014-02-10,416.07,442.93,415.07,438.83,448300,438.83
2014-02-03,405.37,420.00,396.66,417.68,482500,417.68
2014-01-27,411.20,422.03,405.02,407.58,506100,407.58
2014-01-21,444.94,447.50,406.25,410.76,866600,410.76
2014-01-13,412.07,443.99,392.02,430.14,1052700,430.14
2014-01-06,372.96,424.58,370.03,420.15,667200,420.15
2013-12-30,379.94,384.39,372.74,373.46,371500,373.46
2013-12-23,365.01,383.54,363.62,379.99,370300,379.99
2013-12-16,363.97,369.65,351.14,364.35,655800,364.35
2013-12-09,376.39,381.52,362.54,362.94,430800,362.94
2013-12-02,378.22,381.60,362.22,377.38,405100,377.38
2013-11-25,388.93,390.34,373.34,376.90,256800,376.90
2013-11-18,394.49,398.79,387.02,389.71,186800,389.71
2013-11-11,390.83,398.55,387.61,394.44,348300,394.44
2013-11-04,372.84,390.66,372.25,389.83,371400,389.83
2013-10-28,370.00,381.21,367.71,372.03,495600,372.03
2013-10-21,376.57,378.77,365.08,369.13,529500,369.13
2013-10-14,388.14,408.89,369.99,376.52,896000,376.52
2013-10-07,362.76,401.30,362.29,390.18,679300,390.18
2013-09-30,366.35,377.99,358.02,364.28,502600,364.28
2013-09-23,373.31,379.99,363.45,367.46,447900,367.46
2013-09-16,377.01,379.70,368.46,374.69,610100,374.69
2013-09-09,384.33,387.62,370.36,375.00,682100,375.00
2013-09-03,388.19,390.49,381.00,384.69,358300,384.69
2013-08-26,391.05,394.00,381.93,386.52,305900,386.52
2013-08-19,379.33,391.95,375.54,390.09,300800,390.09
2013-08-12,391.70,393.96,377.31,378.33,312500,378.33
2013-08-05,391.81,395.73,386.20,391.87,293300,391.87
2013-07-29,397.30,401.00,384.00,393.65,866500,393.65
2013-07-22,393.33,399.87,369.31,382.29,728000,382.29
2013-07-15,427.56,428.40,357.02,392.67,1507700,392.67
2013-07-08,503.90,505.66,406.69,429.04,1685500,429.04
2013-07-01,509.20,509.20,499.01,504.01,206800,504.01
2013-06-24,498.50,510.54,495.34,506.13,223400,506.13
2013-06-17,503.23,516.07,496.45,502.88,344500,502.88
2013-06-10,510.84,514.25,491.89,498.31,172700,498.31
2013-06-03,499.36,513.49,495.01,513.49,232000,513.49
2013-05-28,505.22,507.99,493.57,497.53,247500,497.53
2013-05-20,482.37,508.00,465.11,501.53,448800,501.53
2013-05-13,497.24,500.72,474.18,484.00,303100,484.00
2013-05-06,503.00,511.79,480.65,499.57,419400,499.57
2013-04-29,488.20,504.55,480.45,503.82,237900,503.82
2013-04-22,484.52,489.26,467.69,486.76,418200,486.76
2013-04-15,511.15,515.73,465.72,484.75,671300,484.75
2013-04-10,497.03,514.99,494.91,512.05,341600,512.05
