Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,18.34,18.45,18.11,18.32,1651400,18.32
2014-03-03,18.19,19.05,17.80,18.39,2596300,18.39
2014-02-24,18.52,19.48,18.39,18.51,2790100,18.51
2014-02-18,18.51,18.79,18.24,18.48,2182000,18.48
2014-02-10,17.97,18.77,17.97,18.49,2946400,18.49
2014-02-03,17.93,18.45,17.24,18.01,2786100,17.93
2014-01-27,17.93,18.45,17.55,17.97,3518700,17.89
2014-01-21,18.04,18.83,17.84,17.96,4930700,17.88
2014-01-13,17.00,18.23,16.41,18.01,4366300,17.93
2014-01-06,17.12,17.20,16.62,17.02,4104300,16.95
2013-12-30,17.04,17.46,16.95,17.19,3165900,17.12
2013-12-23,16.41,17.14,16.29,17.01,3943200,16.94
2013-12-16,19.08,19.94,15.30,16.12,11838200,16.05
2013-12-09,20.45,20.85,18.92,19.07,3423900,18.99
2013-12-02,20.23,20.71,19.81,20.42,3243500,20.33
2013-11-25,19.61,20.54,19.58,20.27,2208400,20.18
2013-11-18,19.93,20.48,19.16,19.62,2557600,19.54
2013-11-11,20.42,20.94,19.61,19.82,2731600,19.74
2013-11-04,20.83,21.03,20.20,20.51,2051200,20.34
2013-10-28,22.46,22.67,20.53,20.71,3361400,20.54
2013-10-21,22.56,22.83,22.15,22.52,1790300,22.34
2013-10-14,21.85,22.55,21.67,22.52,1537400,22.34
2013-10-07,21.82,22.19,21.44,21.99,2654200,21.81
2013-09-30,21.18,22.18,21.15,22.11,2879100,21.93
2013-09-23,23.22,24.13,21.33,21.42,5944100,21.25
2013-09-16,24.02,24.13,22.98,23.11,2204900,22.92
2013-09-09,23.03,24.32,23.00,23.67,1864600,23.48
2013-09-03,23.02,23.45,22.50,23.00,1566400,22.81
2013-08-26,23.37,23.69,22.37,22.82,2001100,22.63
2013-08-19,23.33,23.71,23.14,23.39,1091900,23.20
2013-08-12,23.51,24.09,23.14,23.36,1364700,23.17
2013-08-05,23.30,23.66,23.04,23.63,1510800,23.36
2013-07-29,22.57,23.48,22.29,23.39,1313800,23.12
2013-07-22,22.21,22.79,22.14,22.60,1073500,22.34
2013-07-15,21.96,22.43,21.85,22.25,1559700,22.00
2013-07-08,20.97,21.96,20.26,21.95,2028900,21.70
2013-07-01,20.40,20.96,20.38,20.93,1326800,20.69
2013-06-24,19.96,20.57,19.26,20.38,2175100,20.15
2013-06-17,19.61,20.61,18.81,20.23,2866400,20.00
2013-06-10,19.43,19.74,18.80,19.42,1773100,19.20
2013-06-03,20.05,20.43,19.16,19.44,2790900,19.22
2013-05-28,19.70,20.47,19.45,20.06,1778800,19.83
2013-05-20,19.97,20.17,19.02,19.25,1595100,19.03
2013-05-13,19.15,20.09,18.98,20.05,1810900,19.82
2013-05-06,18.27,19.48,18.17,19.28,2250900,18.98
2013-04-29,17.37,18.34,17.31,18.23,1582900,17.95
2013-04-22,16.62,17.65,16.59,17.31,1486300,17.04
2013-04-15,17.93,17.95,16.39,16.57,2852700,16.31
2013-04-10,18.10,18.32,17.93,18.01,2397700,17.73
