Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,48.85,48.93,48.37,48.59,2201800,48.59
2014-03-03,48.89,49.55,48.26,48.98,3133100,48.98
2014-02-24,49.75,50.33,48.93,49.40,3361800,49.18
2014-02-18,49.24,50.05,48.86,49.72,4398500,49.50
2014-02-10,46.69,49.22,46.06,49.00,4352900,48.78
2014-02-03,46.08,47.21,43.85,46.67,6460400,46.46
2014-01-27,48.05,48.33,45.95,46.12,5094000,45.91
2014-01-21,51.40,51.91,47.95,48.21,9621400,47.99
2014-01-13,51.32,52.50,50.91,51.06,4560700,50.83
2014-01-06,50.64,51.67,50.09,51.59,3431800,51.36
2013-12-30,50.72,51.54,50.00,50.52,2972100,50.29
2013-12-23,50.68,51.50,50.51,50.66,2175100,50.43
2013-12-16,50.33,51.65,49.85,50.31,5826200,50.09
2013-12-09,50.36,51.70,49.64,50.00,4366700,49.78
2013-12-02,50.53,50.84,49.23,50.41,4853800,49.96
2013-11-25,50.84,51.28,50.06,50.51,3654800,50.06
2013-11-18,49.45,51.90,48.15,50.68,6047500,50.23
2013-11-11,47.56,49.45,47.26,49.45,4064100,49.01
2013-11-04,46.10,47.75,45.99,47.66,5370700,47.24
2013-10-28,43.01,46.77,42.66,45.94,6341200,45.53
2013-10-21,43.16,43.45,42.59,43.01,2521500,42.63
2013-10-14,41.78,43.28,41.41,43.11,3000300,42.73
2013-10-07,40.65,42.22,39.42,42.10,3976400,41.73
2013-09-30,41.30,41.91,40.74,41.14,4247200,40.78
2013-09-23,42.62,43.49,42.05,42.53,2225100,42.15
2013-09-16,42.82,43.33,41.77,42.67,3204900,42.29
2013-09-09,41.03,42.79,41.03,42.17,2991400,41.80
2013-09-03,41.09,41.79,40.38,41.02,3041500,40.66
2013-08-26,41.79,41.95,40.01,40.53,2834200,39.98
2013-08-19,40.59,41.68,40.00,41.63,2585700,41.07
2013-08-12,41.22,42.01,40.48,40.54,3331000,39.99
2013-08-05,41.33,41.53,39.80,41.43,3275500,40.87
2013-07-29,40.95,41.47,40.18,41.30,3941900,40.74
2013-07-22,40.91,41.50,40.74,40.96,3524500,40.41
2013-07-15,36.99,41.11,36.93,40.95,6906200,40.40
2013-07-08,35.95,37.05,35.94,36.91,4081500,36.41
2013-07-01,35.97,36.40,35.43,35.61,4156300,35.13
2013-06-24,34.79,36.18,34.40,35.79,3202300,35.31
2013-06-17,37.91,38.09,35.10,35.29,4561500,34.82
2013-06-10,37.69,38.15,36.37,37.57,3203300,37.06
2013-06-03,37.51,37.84,36.07,37.62,3366600,37.11
2013-05-28,37.74,38.33,37.36,37.36,3714700,36.67
2013-05-20,37.53,38.08,36.44,37.03,3291900,36.34
2013-05-13,36.51,37.66,36.40,37.54,4821300,36.85
2013-05-06,34.83,36.56,34.83,36.47,3316700,35.80
2013-04-29,35.15,35.34,34.29,34.89,3097600,34.24
2013-04-22,32.95,35.33,32.60,35.09,5702100,34.44
2013-04-15,33.80,33.85,31.95,32.64,4156600,32.04
2013-04-10,33.48,34.25,33.42,34.07,4805400,33.44
