Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,93.17,93.49,92.79,93.45,4878200,93.45
2014-03-03,91.13,93.65,90.83,93.32,7531100,93.32
2014-02-24,91.45,92.64,90.66,92.12,7561600,92.12
2014-02-18,92.77,92.85,91.31,91.52,7540300,91.52
2014-02-10,90.24,92.99,89.80,92.76,7748700,92.10
2014-02-03,88.75,90.04,86.09,90.04,11104200,89.40
2014-01-27,90.30,90.76,88.15,88.47,9433600,87.84
2014-01-21,94.93,95.10,90.61,90.61,11292600,89.96
2014-01-13,94.37,95.27,94.06,95.06,9332500,94.38
2014-01-06,91.93,95.38,91.87,94.74,8449100,94.06
2013-12-30,92.16,92.30,91.01,91.85,5568800,91.19
2013-12-23,92.56,92.96,91.76,92.35,3857400,91.69
2013-12-16,91.42,92.75,89.77,92.09,8742800,91.43
2013-12-09,94.30,94.79,91.07,91.35,8834000,90.70
2013-12-02,94.41,94.66,92.66,94.44,7407300,93.77
2013-11-25,95.49,95.99,94.43,94.66,5588200,93.98
2013-11-18,94.36,95.75,94.00,95.25,7110200,94.57
2013-11-11,93.97,94.64,92.32,94.39,7085100,93.07
2013-11-04,93.46,94.10,92.28,94.05,6172100,92.73
2013-10-28,91.96,93.58,91.92,93.37,6710500,92.06
2013-10-21,91.63,92.99,90.77,92.09,6870500,90.80
2013-10-14,88.83,92.05,88.63,91.63,9198100,90.34
2013-10-07,86.70,89.48,85.50,89.45,7897300,88.20
2013-09-30,86.33,87.49,86.15,87.31,6887800,86.09
2013-09-23,89.43,89.75,86.44,86.73,6905700,85.51
2013-09-16,89.43,90.72,88.30,89.68,9079900,88.42
2013-09-09,87.39,89.57,87.01,88.57,7850700,87.33
2013-09-03,86.89,87.92,86.00,87.16,7933000,85.94
2013-08-26,88.36,88.48,85.85,86.41,7747000,85.20
2013-08-19,89.47,91.65,87.21,88.41,8018700,87.17
2013-08-12,92.08,93.35,88.77,89.37,11988000,87.46
2013-08-05,94.05,94.37,91.78,92.36,9178000,90.38
2013-07-29,92.63,94.42,92.61,94.39,9551000,92.37
2013-07-22,92.08,92.93,91.61,92.83,8252300,90.84
2013-07-15,89.91,92.27,89.76,92.23,11684000,90.26
2013-07-08,88.09,89.99,87.97,89.99,8999800,88.06
2013-07-01,85.72,87.88,85.50,87.87,6870200,85.99
2013-06-24,82.92,87.82,82.81,85.86,11754000,84.02
2013-06-17,85.37,86.50,82.12,83.20,11967900,81.42
2013-06-10,85.01,85.71,83.08,84.91,8156800,83.09
2013-06-03,84.28,85.18,82.65,84.91,10231600,83.09
2013-05-28,87.54,88.29,84.18,84.18,10339000,82.38
2013-05-20,88.10,89.99,86.49,86.82,11199600,84.96
2013-05-13,85.56,88.20,85.44,88.09,10263200,85.56
2013-05-06,85.78,85.78,84.55,85.76,8371700,83.30
2013-04-29,85.02,85.99,83.88,85.75,10066400,83.29
2013-04-22,84.59,85.74,84.00,85.12,8185300,82.68
2013-04-15,82.72,84.57,81.71,84.49,11881600,82.06
2013-04-10,81.83,82.96,81.74,82.74,8150900,80.37
