Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,26.28,26.48,25.95,26.28,7506800,26.28
2014-03-03,26.53,26.72,26.12,26.26,7587400,26.26
2014-02-24,27.54,28.04,26.28,26.74,9118900,26.74
2014-02-18,27.33,28.39,27.08,27.95,11914000,27.95
2014-02-10,27.16,27.85,26.82,27.42,7129700,27.42
2014-02-03,26.39,27.52,26.18,27.25,8185100,27.25
2014-01-27,27.80,28.04,26.56,26.61,11332600,26.61
2014-01-21,26.11,28.75,25.69,27.72,15548100,27.72
2014-01-13,25.07,26.03,24.80,26.00,13218400,26.00
2014-01-06,22.77,23.93,22.41,23.54,12822200,23.54
2013-12-30,22.20,22.82,22.13,22.77,4824600,22.77
2013-12-23,21.84,22.30,21.47,22.22,3832900,22.22
2013-12-16,20.81,21.81,20.71,21.77,7889000,21.77
2013-12-09,21.68,22.02,20.57,20.67,8573000,20.67
2013-12-02,20.27,21.77,20.11,21.67,10869100,21.67
2013-11-25,20.61,20.61,20.18,20.27,7369600,20.27
2013-11-18,19.86,20.72,19.22,20.56,10564700,20.56
2013-11-11,19.27,20.11,18.60,19.84,9708900,19.84
2013-11-04,18.57,19.27,18.39,19.27,4910400,19.27
2013-10-28,18.71,19.15,18.36,18.48,5053100,18.48
2013-10-21,20.78,21.40,18.52,18.70,11282600,18.70
2013-10-14,20.07,21.15,20.02,20.82,4762800,20.82
2013-10-07,20.66,20.85,19.54,20.18,5278800,20.18
2013-09-30,19.76,20.97,19.65,20.85,5359500,20.85
2013-09-23,21.04,21.06,19.85,19.95,5960500,19.95
2013-09-16,21.21,21.79,20.91,20.99,4847600,20.99
2013-09-09,20.93,21.58,20.68,21.02,3567200,21.02
2013-09-03,19.11,21.02,19.11,20.83,6504300,20.83
2013-08-26,19.73,19.89,18.71,18.90,5022400,18.90
2013-08-19,20.47,20.58,19.73,19.74,3921200,19.74
2013-08-12,20.67,21.33,20.29,20.44,5942000,20.44
2013-08-05,21.72,22.25,20.85,20.92,4727000,20.92
2013-07-29,21.45,22.03,21.34,21.80,4115200,21.80
2013-07-22,20.69,22.11,20.34,21.52,8998800,21.52
2013-07-15,20.33,21.24,20.25,21.04,3365300,21.04
2013-07-08,19.67,20.50,19.28,20.35,4242200,20.35
2013-07-01,19.40,19.68,19.02,19.61,3296900,19.61
2013-06-24,18.52,19.35,18.05,19.31,6135600,19.31
2013-06-17,19.16,19.43,18.79,18.79,7928000,18.79
2013-06-10,19.06,19.62,18.26,19.05,6382000,19.05
2013-06-03,17.69,19.10,17.22,19.06,8969900,19.06
2013-05-28,17.52,18.18,17.39,17.73,5909700,17.73
2013-05-20,17.58,17.72,17.15,17.35,6312100,17.35
2013-05-13,17.29,18.02,16.84,17.61,7529200,17.61
2013-05-06,16.57,17.52,16.48,17.36,7185500,17.36
2013-04-29,15.84,16.85,15.81,16.48,8438900,16.48
2013-04-22,17.10,17.70,15.62,15.79,13908500,15.79
2013-04-15,18.58,18.79,17.06,17.10,5464100,17.10
2013-04-10,18.17,19.05,18.13,18.72,7972300,18.72
