Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,59.14,59.48,58.87,59.20,16945200,59.20
2014-03-03,56.30,59.80,55.69,59.40,18418400,59.40
2014-02-24,57.62,58.23,56.14,56.82,18536200,56.82
2014-02-18,58.02,58.65,57.22,57.61,15725200,57.61
2014-02-10,56.77,58.23,56.39,58.15,15320000,58.15
2014-02-03,55.50,56.93,54.20,56.62,22604100,56.62
2014-01-27,55.08,56.39,54.69,55.36,20528000,55.36
2014-01-21,58.09,58.44,55.09,55.09,22012300,55.09
2014-01-13,58.51,59.82,57.53,58.11,25771500,58.11
2014-01-06,59.16,59.47,58.11,58.49,15205300,58.49
2013-12-30,58.14,58.95,57.71,58.66,12418700,58.66
2013-12-23,57.97,58.46,57.80,58.14,8535900,57.76
2013-12-16,56.34,58.00,55.40,57.70,22239000,57.33
2013-12-09,56.28,57.07,55.91,56.17,14376000,55.81
2013-12-02,57.10,57.75,55.62,56.06,18633000,55.70
2013-11-25,57.50,58.14,57.17,57.22,13320100,56.85
2013-11-18,55.49,57.52,55.30,57.46,20511100,57.09
2013-11-11,53.91,54.96,53.15,54.87,17662700,54.51
2013-11-04,52.74,53.97,51.58,53.96,19193700,53.61
2013-10-28,52.89,53.24,51.30,52.51,20777900,52.17
2013-10-21,54.27,54.85,52.07,52.77,20795100,52.43
2013-10-14,51.94,54.58,51.76,54.30,20779900,53.95
2013-10-07,52.29,53.35,50.25,52.51,23448800,52.17
2013-09-30,51.73,52.68,51.29,52.67,20080300,52.33
2013-09-23,52.08,52.56,50.06,52.24,29519300,51.52
2013-09-16,53.45,53.87,52.53,52.80,20870200,52.07
2013-09-09,52.78,53.93,52.08,52.59,18023500,51.87
2013-09-03,51.25,52.71,50.83,52.56,17863500,51.84
2013-08-26,52.16,52.54,50.13,50.53,17666400,49.83
2013-08-19,52.89,52.95,50.66,52.32,16883200,51.60
2013-08-12,54.04,54.85,52.89,53.29,16013800,52.56
2013-08-05,56.33,56.58,54.13,54.52,12805300,53.77
2013-07-29,55.98,56.78,55.08,56.49,14129600,55.71
2013-07-22,56.17,56.93,55.60,56.05,14774800,55.28
2013-07-15,55.49,56.56,54.60,56.16,21801400,55.39
2013-07-08,54.54,55.87,54.05,54.97,22620400,54.21
2013-07-01,53.22,54.00,52.12,53.99,18739700,53.25
2013-06-24,50.88,53.49,50.11,52.79,21273900,51.69
2013-06-17,53.70,54.51,51.69,51.96,25445000,50.87
2013-06-10,54.64,54.84,52.91,53.13,17272400,52.02
2013-06-03,54.60,55.39,52.27,54.27,24052000,53.14
2013-05-28,54.56,55.90,53.91,54.59,24381400,53.45
2013-05-20,52.28,54.96,51.91,53.66,29947400,52.54
2013-05-13,48.84,52.33,48.61,52.30,24620900,51.21
2013-05-06,47.71,49.99,47.57,48.96,20596600,47.94
2013-04-29,49.08,49.25,46.98,47.57,20754500,46.58
2013-04-22,47.40,49.63,46.87,48.88,17049100,47.86
2013-04-15,48.39,49.34,46.05,47.23,28942400,46.24
2013-04-10,48.94,49.60,48.45,49.01,26926500,47.99
