Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,62.40,62.82,62.24,62.63,1670300,62.63
2014-03-03,60.78,62.56,60.60,62.41,1395900,62.41
2014-02-24,59.49,61.67,58.60,61.48,2233300,61.15
2014-02-18,58.85,59.97,57.75,59.24,2659800,58.92
2014-02-10,58.57,59.33,57.30,58.47,1468200,58.16
2014-02-03,57.33,59.36,54.90,58.79,2111500,58.47
2014-01-27,58.19,58.75,56.57,57.45,1632100,57.14
2014-01-21,60.21,60.34,58.16,58.16,1173000,57.85
2014-01-13,60.85,61.14,59.33,59.93,1553900,59.61
2014-01-06,62.25,62.31,59.68,61.11,1755700,60.78
2013-12-30,61.43,62.56,61.34,62.17,831900,61.84
2013-12-23,61.34,62.00,61.05,61.42,709600,61.09
2013-12-16,60.26,61.61,59.31,61.19,1342400,60.86
2013-12-09,60.54,61.58,60.07,60.09,1268300,59.77
2013-12-02,62.09,62.56,60.18,60.36,1190900,60.04
2013-11-25,62.27,63.40,62.04,62.21,1051900,61.88
2013-11-18,63.02,63.04,61.63,62.10,1487000,61.47
2013-11-11,60.82,63.72,60.64,62.80,2805600,62.17
2013-11-04,60.08,61.43,59.83,61.02,1115900,60.40
2013-10-28,59.14,61.24,58.91,59.97,1149700,59.36
2013-10-21,58.87,59.49,58.35,59.27,864200,58.67
2013-10-14,56.62,58.96,56.47,58.74,1397300,58.15
2013-10-07,56.61,56.89,55.50,56.84,1746800,56.27
2013-09-30,55.92,57.35,55.51,57.13,1943600,56.55
2013-09-23,56.97,57.04,55.70,56.45,1994000,55.88
2013-09-16,57.86,58.58,56.72,57.00,1666500,56.42
2013-09-09,56.66,57.49,56.09,57.28,1323400,56.70
2013-09-03,56.29,56.56,55.34,55.92,1302800,55.36
2013-08-26,57.49,57.93,55.56,55.73,1376500,55.17
2013-08-19,56.20,57.45,56.12,57.28,1575800,56.40
2013-08-12,58.68,60.91,56.30,56.43,3488800,55.56
2013-08-05,61.91,62.16,58.64,58.79,1805000,57.89
2013-07-29,61.34,62.30,61.14,61.99,989400,61.04
2013-07-22,61.77,62.25,60.57,61.52,874000,60.58
2013-07-15,62.31,62.70,61.01,61.56,1307900,60.61
2013-07-08,62.29,63.34,61.78,62.26,1367000,61.30
2013-07-01,60.28,62.10,60.05,62.04,1001600,61.09
2013-06-24,57.49,60.20,57.07,59.94,1132100,59.02
2013-06-17,59.28,59.80,57.50,58.20,1068300,57.31
2013-06-10,59.56,59.84,58.15,58.94,840700,58.03
2013-06-03,58.94,59.59,57.76,59.52,1189700,58.61
2013-05-28,60.51,60.89,58.82,58.82,898100,57.92
2013-05-20,60.50,61.49,59.44,59.87,1481400,58.66
2013-05-13,59.19,61.81,58.75,60.68,2996500,59.45
2013-05-06,58.18,59.30,57.70,59.17,1476500,57.97
2013-04-29,56.78,58.42,55.98,58.21,1105900,57.03
2013-04-22,55.05,56.75,54.62,56.71,1236900,55.56
2013-04-15,56.50,56.59,54.50,54.90,1626800,53.79
2013-04-10,55.03,57.76,54.94,56.82,1784000,55.67
