Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,61.60,61.78,61.30,61.68,1331100,61.68
2014-03-03,60.34,61.60,60.10,61.60,2083300,61.60
2014-02-24,60.49,61.26,59.79,60.69,2163700,60.23
2014-02-18,60.19,60.43,59.44,59.95,1714200,59.50
2014-02-10,58.36,60.26,58.34,60.19,2774700,59.73
2014-02-03,58.01,58.57,55.69,58.36,3513600,57.92
2014-01-27,59.83,60.39,57.51,57.98,2332000,57.54
2014-01-21,60.96,61.11,59.83,59.83,1407000,59.38
2014-01-13,60.65,61.36,60.38,60.47,1732100,60.01
2014-01-06,60.79,60.98,59.84,60.78,1676400,60.32
2013-12-30,60.97,61.58,60.54,60.58,1590900,60.12
2013-12-23,60.18,61.18,59.87,60.98,1127100,60.52
2013-12-16,60.83,61.13,59.58,60.52,1709200,60.06
2013-12-09,61.71,62.31,60.26,60.50,1612300,60.04
2013-12-02,60.64,61.71,60.23,61.64,1805300,61.17
2013-11-25,62.71,62.75,60.59,60.64,1560900,60.18
2013-11-18,62.86,62.86,61.03,62.47,2960400,61.53
2013-11-11,62.35,63.32,61.46,62.61,1391900,61.67
2013-11-04,63.51,64.92,61.27,62.19,2675800,61.26
2013-10-28,62.42,64.40,62.15,62.29,2551900,61.36
2013-10-21,60.50,62.50,60.25,62.43,1362400,61.49
2013-10-14,60.40,61.60,59.92,61.45,1593900,60.53
2013-10-07,59.03,60.79,58.99,60.76,1734200,59.85
2013-09-30,58.79,59.43,58.01,59.36,1763300,58.47
2013-09-23,60.39,60.56,58.59,59.02,1653700,58.14
2013-09-16,61.08,61.43,60.11,60.57,2123300,59.66
2013-09-09,60.40,60.69,59.34,60.64,1972500,59.73
2013-09-03,61.24,61.36,60.14,60.23,1471100,59.33
2013-08-26,62.77,62.77,60.28,60.71,1451100,59.80
2013-08-19,62.92,63.30,61.92,62.73,1572000,61.33
2013-08-12,65.60,66.24,62.84,62.95,2092700,61.54
2013-08-05,65.23,65.90,64.86,65.68,1656500,64.21
2013-07-29,66.75,67.43,64.26,65.23,2353300,63.77
2013-07-22,67.21,67.98,66.21,66.98,1136500,65.48
2013-07-15,66.38,67.34,66.05,67.32,1109300,65.81
2013-07-08,65.58,66.76,65.18,66.50,1398800,65.01
2013-07-01,64.03,65.48,64.03,65.34,1273400,63.88
2013-06-24,63.14,64.98,62.67,64.23,1826900,62.79
2013-06-17,64.58,65.12,62.56,63.25,1981300,61.83
2013-06-10,63.39,65.11,62.14,64.24,1646800,62.80
2013-06-03,61.97,63.42,61.03,63.39,2172800,61.97
2013-05-28,65.03,65.33,62.05,62.05,1772500,60.66
2013-05-20,65.53,65.70,63.87,64.45,2083900,62.57
2013-05-13,64.22,66.48,63.89,65.66,1512000,63.75
2013-05-06,63.71,64.38,63.01,64.29,1895700,62.42
2013-04-29,65.77,65.88,62.58,63.66,2635700,61.80
2013-04-22,65.96,66.84,65.39,65.70,1502200,63.78
2013-04-15,64.50,66.25,63.61,66.10,1528700,64.17
2013-04-10,64.04,64.91,63.73,64.70,1480600,62.81
