Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,13.88,14.01,13.81,13.98,14354800,13.98
2014-03-03,13.06,14.04,12.93,13.90,11951900,13.90
2014-02-24,12.87,13.22,12.84,13.17,8526600,13.17
2014-02-18,12.95,12.99,12.51,12.85,9238200,12.80
2014-02-10,12.76,13.18,12.56,12.92,9173400,12.87
2014-02-03,12.75,12.87,12.25,12.74,10576700,12.69
2014-01-27,12.98,13.10,12.71,12.76,13753700,12.71
2014-01-21,13.68,14.14,12.90,12.93,21603100,12.88
2014-01-13,13.64,13.75,13.41,13.54,8205100,13.48
2014-01-06,13.40,13.84,13.40,13.63,12698300,13.57
2013-12-30,13.41,13.49,13.26,13.32,4642100,13.26
2013-12-23,13.39,13.55,13.33,13.40,3135900,13.34
2013-12-16,13.08,13.42,12.86,13.32,10326000,13.26
2013-12-09,12.97,13.16,12.78,13.04,10524700,12.98
2013-12-02,12.82,12.99,12.49,12.95,11171900,12.90
2013-11-25,12.98,13.10,12.73,12.75,8833000,12.70
2013-11-18,12.90,13.02,12.66,12.98,11047000,12.87
2013-11-11,13.04,13.10,12.71,12.85,8644000,12.74
2013-11-04,12.56,13.02,12.37,13.02,9096400,12.91
2013-10-28,12.66,12.80,12.47,12.54,9572600,12.43
2013-10-21,12.57,12.73,12.49,12.69,12025500,12.58
2013-10-14,11.81,12.68,11.77,12.60,12473300,12.49
2013-10-07,11.54,11.90,11.24,11.88,11481900,11.78
2013-09-30,11.15,11.70,11.05,11.64,10432600,11.54
2013-09-23,11.50,11.57,11.20,11.36,10831200,11.26
2013-09-16,12.11,12.24,11.40,11.57,13065600,11.47
2013-09-09,11.95,12.20,11.78,11.97,7422300,11.87
2013-09-03,11.79,11.99,11.58,11.90,12351500,11.80
2013-08-26,12.18,12.26,11.51,11.67,10352900,11.57
2013-08-19,12.14,12.40,11.89,12.20,9014300,12.10
2013-08-12,12.16,12.37,11.99,12.16,8603600,12.00
2013-08-05,12.50,12.60,12.12,12.23,9412300,12.07
2013-07-29,12.38,12.63,12.11,12.55,9276600,12.39
2013-07-22,12.09,12.50,12.03,12.40,11932300,12.24
2013-07-15,11.84,12.08,11.42,12.04,11673500,11.88
2013-07-08,12.06,12.13,11.51,11.79,11648000,11.64
2013-07-01,11.07,12.00,11.06,12.00,10936400,11.85
2013-06-24,10.40,11.09,10.32,11.04,11489000,10.90
2013-06-17,10.47,10.65,10.24,10.54,14700700,10.40
2013-06-10,10.87,11.06,10.31,10.41,11868200,10.28
2013-06-03,10.80,10.89,10.40,10.86,8936400,10.72
2013-05-28,10.78,10.94,10.57,10.78,11296100,10.64
2013-05-20,10.77,11.00,10.44,10.66,8654500,10.52
2013-05-13,10.29,10.85,10.27,10.80,9110000,10.61
2013-05-06,10.05,10.38,10.01,10.30,6985200,10.11
2013-04-29,9.82,10.11,9.79,10.03,9308100,9.85
2013-04-22,9.39,9.90,9.30,9.80,7731000,9.62
2013-04-15,9.80,9.83,9.29,9.41,14038500,9.24
2013-04-10,9.91,10.26,9.83,9.84,15887400,9.66
