Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,21.63,21.63,21.49,21.57,15000,21.57
2014-03-03,21.43,21.61,21.20,21.61,8900,21.61
2014-02-24,21.15,21.47,21.11,21.44,10100,21.44
2014-02-18,21.37,21.50,21.06,21.16,28200,21.16
2014-02-10,21.02,21.21,20.92,21.21,40600,21.21
2014-02-03,21.02,21.02,20.68,20.95,21700,20.95
2014-01-27,21.02,21.03,20.88,20.97,21600,20.97
2014-01-21,21.03,21.29,20.90,20.97,22800,20.97
2014-01-13,20.61,21.11,20.61,21.00,25800,21.00
2014-01-06,20.23,20.62,19.92,20.52,53700,20.52
2013-12-30,19.73,20.23,19.36,20.11,28300,20.11
2013-12-23,19.78,20.05,19.54,19.92,51600,19.57
2013-12-16,19.71,19.83,19.45,19.75,29600,19.40
2013-12-09,19.79,19.87,19.47,19.57,26900,19.22
2013-12-02,20.17,20.18,19.60,19.83,39500,19.48
2013-11-25,20.21,20.35,20.10,20.23,27200,19.87
2013-11-18,20.18,20.51,20.00,20.10,22900,19.74
2013-11-11,20.22,20.26,20.05,20.16,14200,19.80
2013-11-04,20.59,20.59,20.07,20.22,18500,19.86
2013-10-28,20.83,21.25,20.41,20.49,14600,20.13
2013-10-21,20.62,21.13,20.55,20.81,16800,20.44
2013-10-14,20.12,20.64,19.97,20.64,9400,20.28
2013-10-07,20.25,20.25,20.06,20.12,15400,19.76
2013-09-30,20.33,20.45,20.07,20.25,23700,19.89
2013-09-23,20.67,21.00,20.62,20.68,34300,19.97
2013-09-16,20.94,20.98,20.59,20.62,15800,19.91
2013-09-09,20.75,20.75,20.52,20.67,16100,19.96
2013-09-03,21.03,21.03,20.40,20.59,11300,19.88
2013-08-26,21.56,21.56,20.77,21.01,20800,20.29
2013-08-19,21.53,21.53,20.24,21.07,29500,20.35
2013-08-12,22.71,22.80,21.33,21.52,29000,20.78
2013-08-05,23.00,23.07,22.37,22.75,24400,21.97
2013-07-29,23.30,23.30,22.50,22.91,19600,22.12
2013-07-22,23.40,23.49,23.01,23.23,17700,22.43
2013-07-15,23.68,23.81,23.21,23.42,15600,22.61
2013-07-08,23.50,23.83,23.17,23.60,19200,22.79
2013-07-01,24.13,24.29,23.24,23.33,15900,22.53
2013-06-24,23.55,24.21,22.69,23.98,20100,23.16
2013-06-17,24.31,24.62,23.05,23.55,26600,22.41
2013-06-10,25.09,25.09,22.82,24.07,38100,22.90
2013-06-03,25.58,25.58,24.54,25.04,21600,23.82
2013-05-28,25.98,25.99,25.21,25.21,22800,23.99
2013-05-20,25.88,26.06,25.75,25.77,19700,24.52
2013-05-13,26.00,26.04,25.74,25.92,13700,24.66
2013-05-06,25.92,26.10,25.79,26.00,18300,24.74
2013-04-29,25.79,26.14,25.66,25.92,21600,24.66
2013-04-22,25.68,25.70,25.42,25.70,23000,24.45
2013-04-15,25.60,25.70,25.49,25.70,11200,24.45
2013-04-10,25.40,25.59,25.36,25.59,13000,24.35
