Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,108.97,109.66,108.80,109.17,1167800,109.17
2014-03-03,109.67,111.19,108.29,108.95,1615300,108.95
2014-02-24,110.38,111.24,108.03,110.35,1729200,109.51
2014-02-18,109.99,111.29,108.67,109.85,1652300,109.02
2014-02-10,106.90,110.44,106.48,110.24,1645900,109.40
2014-02-03,109.00,109.56,104.93,106.90,2038600,106.09
2014-01-27,107.83,109.76,106.05,109.37,2417400,108.54
2014-01-21,105.86,110.42,105.13,107.40,2309600,106.59
2014-01-13,104.39,106.49,104.21,105.46,1870000,104.66
2014-01-06,104.78,105.31,102.81,104.86,1650100,104.07
2013-12-30,105.10,105.97,103.52,104.35,1276100,103.56
2013-12-23,105.29,105.80,104.41,105.10,694400,104.30
2013-12-16,104.39,105.61,102.53,105.18,1712900,104.38
2013-12-09,105.85,106.23,103.36,103.92,1420000,103.13
2013-12-02,108.86,109.40,103.42,105.58,2388800,104.78
2013-11-25,108.99,109.54,107.51,109.16,1354900,107.51
2013-11-18,109.00,109.44,107.39,109.00,3385200,107.35
2013-11-11,108.03,111.68,107.47,109.26,1581800,107.61
2013-11-04,108.05,109.72,106.72,108.03,1342900,106.40
2013-10-28,105.51,108.56,105.27,108.01,1842600,106.38
2013-10-21,98.83,105.56,98.00,105.51,2329800,103.91
2013-10-14,96.45,99.63,96.22,99.18,1513700,97.68
2013-10-07,93.81,97.01,93.12,96.95,1498100,95.48
2013-09-30,94.40,94.89,93.20,94.26,1509800,92.83
2013-09-23,96.16,96.28,94.09,94.79,1205600,93.36
2013-09-16,96.55,97.98,96.03,96.20,1338000,94.74
2013-09-09,93.03,95.92,92.80,95.69,1322000,94.24
2013-09-03,94.16,94.22,91.44,93.06,1554500,91.65
2013-08-26,95.93,96.08,92.00,93.48,1436100,91.26
2013-08-19,94.90,96.31,93.60,95.89,1414100,93.61
2013-08-12,98.09,98.97,94.88,94.94,1505000,92.69
2013-08-05,99.27,99.92,97.83,98.53,1227500,96.19
2013-07-29,98.19,99.99,97.70,99.61,1522000,97.25
2013-07-22,97.46,98.91,96.14,98.39,1944600,96.05
2013-07-15,99.89,100.81,98.16,99.49,2022500,97.13
2013-07-08,97.93,99.93,97.54,99.88,1482500,97.51
2013-07-01,96.88,98.05,96.03,97.39,1151200,95.08
2013-06-24,94.64,98.19,93.76,97.14,2116600,94.83
2013-06-17,98.31,99.68,93.81,95.78,3025900,93.51
2013-06-10,97.09,98.95,96.18,97.86,2204700,95.54
2013-06-03,97.00,98.09,94.57,97.12,2890100,94.81
2013-05-28,104.26,104.62,96.82,96.83,4459600,93.75
2013-05-20,104.13,104.17,101.09,103.51,4062300,100.21
2013-05-13,103.46,105.07,102.97,104.35,2009400,101.03
2013-05-06,105.11,105.38,102.54,103.43,1893400,100.14
2013-04-29,103.07,105.68,102.54,105.38,2279700,102.02
2013-04-22,105.23,106.24,102.98,103.12,3151600,99.84
2013-04-15,100.90,106.54,100.19,106.10,2507300,102.72
2013-04-10,99.62,101.68,99.44,101.23,1780200,98.01
