Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,32.02,32.17,31.75,31.80,6720900,31.80
2014-03-03,31.72,32.55,31.49,32.00,7103000,32.00
2014-02-24,32.28,33.12,31.45,31.85,13707600,31.85
2014-02-18,33.81,33.93,32.85,33.03,6241100,33.03
2014-02-10,33.97,34.14,33.46,33.78,5028300,33.78
2014-02-03,34.06,34.19,33.01,33.99,6664200,33.99
2014-01-27,35.76,35.96,33.60,34.01,7590900,34.01
2014-01-21,35.96,36.45,35.42,35.47,6487800,35.06
2014-01-13,35.89,35.96,35.43,35.57,7242400,35.16
2014-01-06,36.06,36.34,35.58,35.90,3972700,35.49
2013-12-30,35.98,36.51,35.75,35.97,3861700,35.56
2013-12-23,35.35,35.94,35.25,35.91,2982000,35.50
2013-12-16,33.02,35.22,32.58,35.22,9349800,34.82
2013-12-09,33.46,33.76,32.30,32.83,6735000,32.45
2013-12-02,35.54,35.69,32.82,33.51,8811800,33.13
2013-11-25,35.56,36.27,35.46,35.54,3537200,35.13
2013-11-18,35.33,35.79,35.14,35.52,3807900,35.11
2013-11-11,35.03,35.35,34.35,35.35,3645000,34.95
2013-11-04,35.43,35.48,34.50,35.00,4371800,34.60
2013-10-28,36.58,36.60,34.94,35.31,7180100,34.91
2013-10-21,35.47,36.68,35.26,36.49,9923900,35.66
2013-10-14,35.40,35.68,34.67,35.33,6940100,34.53
2013-10-07,35.15,35.60,34.50,35.49,3921600,34.69
2013-09-30,35.65,36.13,35.11,35.40,3995200,34.60
2013-09-23,36.09,36.34,35.74,35.84,3035100,35.03
2013-09-16,35.30,36.90,34.54,36.21,8609900,35.39
2013-09-09,35.46,37.17,34.97,35.08,7964300,34.29
2013-09-03,38.18,38.30,34.82,35.22,14728300,34.42
2013-08-26,37.31,38.05,36.76,37.93,3936700,37.07
2013-08-19,37.31,37.41,36.35,37.23,3518600,36.39
2013-08-12,37.50,37.78,36.88,37.44,4093100,36.59
2013-08-05,37.58,38.24,37.35,37.60,3947100,36.75
2013-07-29,38.21,38.43,37.32,37.65,5613600,36.80
2013-07-22,39.63,39.70,38.44,38.71,4360500,37.44
2013-07-15,39.96,40.45,39.32,39.55,3036600,38.25
2013-07-08,38.52,40.11,38.52,40.07,2598900,38.76
2013-07-01,38.39,38.90,37.87,38.44,2937000,37.18
2013-06-24,36.10,38.79,35.52,38.15,5837500,36.90
2013-06-17,38.67,38.95,35.89,36.28,4974500,35.09
2013-06-10,39.70,39.73,36.95,38.42,3576600,37.16
2013-06-03,38.01,39.61,37.41,39.54,3392700,38.25
2013-05-28,40.99,41.04,37.98,37.98,3857900,36.74
2013-05-20,40.48,41.49,40.13,40.58,2958000,39.25
2013-05-13,39.45,40.48,39.18,40.48,2595800,39.15
2013-05-06,38.96,39.60,38.77,39.45,2584300,38.16
2013-04-29,39.07,39.11,38.42,38.85,3075700,37.58
2013-04-22,38.94,40.09,38.60,38.78,3451500,37.51
2013-04-15,38.55,39.02,37.60,38.87,3954200,37.24
2013-04-10,38.75,39.07,38.41,38.78,2700400,37.15
