Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,48.60,49.05,48.31,48.84,1879100,48.84
2014-03-03,47.96,49.68,47.69,48.60,1433800,48.60
2014-02-24,47.05,48.75,47.05,48.43,1254900,48.43
2014-02-18,47.29,48.00,46.89,47.05,1527200,47.05
2014-02-10,47.42,47.72,46.43,47.29,1159600,47.29
2014-02-03,45.37,47.55,45.10,47.54,2540700,47.54
2014-01-27,44.58,45.36,44.38,45.11,2364400,45.11
2014-01-21,45.25,45.47,44.33,44.57,2252500,44.57
2014-01-13,45.70,46.05,43.90,45.19,2415700,45.19
2014-01-06,46.55,46.63,44.63,45.97,3182100,45.97
2013-12-30,46.92,47.27,46.11,46.44,1316400,46.44
2013-12-23,48.46,48.66,46.80,46.93,1799600,46.93
2013-12-16,51.16,53.08,47.52,48.08,2761400,48.08
2013-12-09,51.48,52.63,50.76,50.95,1022800,50.95
2013-12-02,50.39,52.09,50.10,51.20,1363900,51.20
2013-11-25,50.00,51.00,49.95,50.35,809500,50.35
2013-11-18,50.00,50.37,48.48,49.69,1173800,49.69
2013-11-11,47.46,49.95,47.17,49.94,1102600,49.94
2013-11-04,48.05,49.25,47.27,47.56,1076800,47.56
2013-10-28,47.75,48.18,46.55,47.82,1153200,47.82
2013-10-21,48.54,49.29,47.11,47.76,962400,47.76
2013-10-14,47.47,49.44,47.35,48.74,1275100,48.74
2013-10-07,48.48,49.37,45.91,47.93,1599000,47.93
2013-09-30,48.78,49.15,47.46,48.31,1392700,48.31
2013-09-23,51.21,52.47,49.04,49.22,2308400,49.22
2013-09-16,51.72,51.88,50.31,51.19,1431900,51.19
2013-09-09,51.31,52.27,50.73,51.08,942800,51.08
2013-09-03,48.25,51.72,47.59,51.21,1338400,51.21
2013-08-26,48.86,49.40,47.16,47.56,562300,47.56
2013-08-19,47.50,48.90,47.12,48.86,696700,48.86
2013-08-12,49.07,50.00,47.48,47.48,663100,47.48
2013-08-05,49.46,49.69,48.23,49.38,800500,49.38
2013-07-29,47.67,49.84,47.45,49.57,986900,49.57
2013-07-22,47.90,48.87,46.49,47.78,905300,47.78
2013-07-15,47.99,48.44,47.25,47.84,832000,47.84
2013-07-08,47.84,49.24,47.79,48.00,1176000,48.00
2013-07-01,46.66,47.48,46.27,47.33,805300,47.33
2013-06-24,44.00,46.89,43.42,46.16,2071800,46.16
2013-06-17,46.88,48.41,42.21,44.59,3091800,44.59
2013-06-10,47.20,47.45,45.78,46.41,1093300,46.41
2013-06-03,46.70,47.56,45.37,47.20,1342800,47.20
2013-05-28,47.42,48.10,46.31,46.77,1536600,46.77
2013-05-20,47.84,48.63,46.43,46.71,1461900,46.71
2013-05-13,46.88,48.86,46.65,48.67,1296000,48.67
2013-05-06,46.22,47.51,45.80,46.98,1110800,46.98
2013-04-29,45.00,46.84,44.77,46.23,1918200,46.23
2013-04-22,42.88,45.30,42.48,44.82,1639500,44.82
2013-04-15,43.85,43.91,40.52,42.76,3064400,42.76
2013-04-10,42.07,45.28,41.75,43.99,3115000,43.99
