Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,98.41,99.06,97.00,98.27,1413400,98.27
2014-03-03,97.40,99.66,96.11,98.28,1760800,98.28
2014-02-24,97.62,101.04,97.03,98.03,1919400,98.03
2014-02-18,99.50,99.74,97.21,97.56,1801200,97.56
2014-02-10,94.38,98.81,94.11,98.46,2948500,98.46
2014-02-03,80.40,94.43,76.15,94.22,9576300,94.22
2014-01-27,80.41,83.06,78.52,79.93,3473400,79.93
2014-01-21,77.47,81.10,76.72,80.07,4205900,80.07
2014-01-13,79.20,79.37,74.11,77.03,3890800,77.03
2014-01-06,82.85,83.00,76.25,79.80,4722900,79.80
2013-12-30,80.74,83.50,79.65,82.51,2295300,82.51
2013-12-23,84.00,84.00,79.59,80.58,3835300,80.58
2013-12-16,82.46,84.58,81.50,83.88,3810100,83.88
2013-12-09,79.96,83.91,79.68,82.27,3056900,82.27
2013-12-02,81.65,82.19,78.59,79.68,2260700,79.68
2013-11-25,81.00,82.50,79.83,81.55,2196800,81.55
2013-11-18,83.00,83.13,78.63,80.64,2846200,80.64
2013-11-11,80.45,82.75,79.79,82.73,12377600,82.73
2013-11-04,75.81,80.43,73.26,79.40,7023000,79.40
2013-10-28,76.36,78.82,75.10,75.43,6945500,75.43
2013-10-21,75.99,78.83,75.58,76.24,2976500,76.24
2013-10-14,72.95,75.49,71.71,75.24,3319400,75.24
2013-10-07,75.59,75.59,70.59,72.88,2979900,72.88
2013-09-30,73.86,77.05,73.36,76.35,1932800,76.35
2013-09-23,75.14,75.55,72.68,74.45,2258900,74.45
2013-09-16,74.71,78.62,73.39,75.98,3023400,75.98
2013-09-09,75.76,76.74,73.16,74.03,3818200,74.03
2013-09-03,74.70,76.22,74.10,75.70,3073700,75.70
2013-08-26,72.95,74.28,70.66,74.09,4281000,74.09
2013-08-19,70.15,72.82,68.83,72.57,2144900,72.57
2013-08-12,71.73,72.98,69.60,70.20,2888100,70.20
2013-08-05,69.02,72.53,67.65,72.05,6459900,72.05
2013-07-29,64.81,69.23,63.97,68.80,3884400,68.80
2013-07-22,62.01,65.50,61.40,64.83,3458100,64.83
2013-07-15,62.50,63.01,60.08,62.12,3549600,62.12
2013-07-08,63.45,65.11,63.16,63.82,2293700,63.82
2013-07-01,62.14,64.11,61.50,62.97,2118000,62.97
2013-06-24,58.15,63.05,56.15,62.02,4417800,62.02
2013-06-17,61.44,62.45,58.01,59.18,2672400,59.18
2013-06-10,63.08,63.10,57.96,60.80,3633300,60.80
2013-06-03,63.01,63.01,60.69,62.69,3601500,62.69
2013-05-28,62.14,66.18,61.01,62.82,8496600,62.82
2013-05-20,61.14,63.03,57.88,60.09,3242500,60.09
2013-05-13,61.55,62.25,59.15,60.61,3515500,60.61
2013-05-06,58.43,60.53,56.99,60.36,3319200,60.36
2013-04-29,56.21,59.30,55.55,58.04,2634800,58.04
2013-04-22,53.05,57.02,51.63,56.12,3575500,56.12
2013-04-15,55.73,56.39,51.70,53.08,4437600,53.08
2013-04-10,55.98,57.72,54.01,56.00,5092300,56.00
