Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,55.69,56.04,55.46,55.52,2082300,55.52
2014-03-03,54.88,56.02,54.48,55.65,2189600,55.65
2014-02-24,55.00,55.75,54.53,55.27,3237600,55.27
2014-02-18,53.89,55.60,53.70,55.09,3682500,55.09
2014-02-10,52.35,55.00,52.11,53.76,4404800,53.76
2014-02-03,52.86,52.91,50.54,52.30,3532500,52.30
2014-01-27,53.04,53.21,51.99,52.35,2896700,52.35
2014-01-21,55.20,55.20,52.67,52.89,3249700,52.89
2014-01-13,53.65,55.11,53.21,54.76,3412200,54.76
2014-01-06,53.94,54.48,52.81,53.80,3383900,53.80
2013-12-30,53.67,54.21,53.38,53.45,1793800,53.45
2013-12-23,53.65,54.00,53.06,53.71,1562500,53.71
2013-12-16,52.72,54.05,52.30,54.00,3809600,53.47
2013-12-09,54.58,54.92,52.47,52.61,3118200,52.10
2013-12-02,53.36,53.60,52.31,53.55,2366400,53.03
2013-11-25,52.99,53.69,52.60,53.12,2445300,52.60
2013-11-18,53.31,53.94,52.09,52.72,3160600,52.21
2013-11-11,52.61,53.18,51.84,53.05,3338000,52.53
2013-11-04,54.66,55.03,52.37,52.73,3269400,52.22
2013-10-28,54.62,55.93,53.08,54.63,3256900,54.10
2013-10-21,53.71,54.98,53.24,54.96,1645400,54.43
2013-10-14,52.20,53.99,51.72,53.69,2689600,53.17
2013-10-07,52.71,54.36,51.77,52.34,4343500,51.83
2013-09-30,52.39,53.46,52.08,53.22,3702100,52.18
2013-09-23,54.10,54.28,52.25,52.88,2186100,51.85
2013-09-16,54.68,55.65,53.80,54.03,5001500,52.97
2013-09-09,53.51,54.44,52.64,54.24,2985000,53.18
2013-09-03,52.49,53.81,52.01,53.21,2441700,52.17
2013-08-26,53.09,53.09,51.20,51.77,2720600,50.76
2013-08-19,52.42,53.61,51.91,52.82,2924900,51.79
2013-08-12,56.00,56.59,52.53,52.77,3074700,51.74
2013-08-05,56.71,57.05,55.13,56.26,2264500,55.16
2013-07-29,56.75,57.75,56.01,57.50,2215700,56.38
2013-07-22,58.44,58.76,55.68,56.45,2126000,55.35
2013-07-15,56.50,58.05,56.48,57.66,2015700,56.53
2013-07-08,55.63,57.19,54.64,56.69,2205000,55.58
2013-07-01,55.75,56.25,54.85,55.24,2114200,54.16
2013-06-24,53.33,56.00,52.91,55.87,4904600,54.78
2013-06-17,55.82,56.74,52.80,53.46,3631300,51.94
2013-06-10,54.48,56.48,53.44,55.68,2994100,54.09
2013-06-03,55.14,55.47,52.94,54.37,3487500,52.82
2013-05-28,57.38,57.84,54.80,55.13,3087700,53.56
2013-05-20,56.13,57.26,55.39,57.01,3565100,55.39
2013-05-13,55.27,56.13,53.95,56.11,2322800,54.51
2013-05-06,53.07,55.69,52.61,55.22,4036200,53.65
2013-04-29,51.27,54.10,50.04,53.11,3617700,51.60
2013-04-22,50.59,51.70,50.03,50.92,2362800,49.47
2013-04-15,51.74,51.88,49.79,50.35,2861800,48.92
2013-04-10,50.95,52.11,50.89,52.07,3533700,50.59
