Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,54.75,55.29,54.75,55.04,2209200,55.04
2014-03-03,55.60,56.69,54.48,55.45,2823300,55.06
2014-02-24,51.91,57.33,51.88,56.19,3816100,55.79
2014-02-18,51.58,52.09,50.71,51.89,2154900,51.53
2014-02-10,51.04,52.00,50.52,51.27,2266400,50.91
2014-02-03,50.63,53.10,48.68,51.19,3851500,50.83
2014-01-27,50.28,51.27,49.80,50.63,2855600,50.27
2014-01-21,53.05,53.17,49.98,50.22,3022200,49.87
2014-01-13,56.58,56.58,52.50,52.93,4424800,52.56
2014-01-06,56.91,57.33,54.68,56.99,2939300,56.59
2013-12-30,55.82,57.53,55.82,56.86,1892100,56.46
2013-12-23,54.37,56.19,54.37,55.94,1214800,55.55
2013-12-16,54.26,55.37,53.99,54.95,2395300,54.56
2013-12-09,54.28,55.75,54.00,54.08,2160200,53.70
2013-12-02,55.11,55.80,53.62,54.70,3347400,53.97
2013-11-25,55.40,56.62,55.23,55.28,2086700,54.54
2013-11-18,54.08,55.29,53.49,55.15,2814900,54.41
2013-11-11,57.16,59.00,53.03,53.95,6023500,53.23
2013-11-04,57.64,58.93,56.36,57.03,2922600,56.27
2013-10-28,54.80,57.49,54.62,56.85,3541000,56.09
2013-10-21,53.85,55.08,53.49,54.74,2391100,54.01
2013-10-14,51.14,54.10,51.04,53.93,2272000,53.21
2013-10-07,52.23,52.35,50.60,51.45,2036300,50.76
2013-09-30,51.57,52.80,51.01,52.51,2170800,51.81
2013-09-23,52.58,52.89,50.50,52.03,2953800,51.33
2013-09-16,51.77,53.10,51.31,52.60,2199700,51.90
2013-09-09,52.32,52.73,50.98,51.24,1852000,50.55
2013-09-03,51.70,53.32,51.06,52.39,2013100,51.34
2013-08-26,51.06,51.45,49.57,51.31,2067900,50.28
2013-08-19,52.21,52.66,50.89,51.00,2042100,49.98
2013-08-12,50.33,54.52,50.05,52.27,3990100,51.23
2013-08-05,53.47,53.52,50.41,50.69,2299400,49.68
2013-07-29,53.38,54.38,52.85,53.56,1417000,52.49
2013-07-22,52.76,54.03,52.39,53.39,1826300,52.32
2013-07-15,53.44,53.76,52.32,52.86,1827500,51.80
2013-07-08,52.91,54.02,52.78,53.49,1544900,52.42
2013-07-01,50.86,53.25,50.77,52.75,2070800,51.70
2013-06-24,50.18,51.72,49.39,50.51,2065100,49.50
2013-06-17,52.40,53.21,50.13,50.59,2728600,49.58
2013-06-10,51.57,52.21,51.04,52.15,1680100,51.11
2013-06-03,51.39,52.08,50.61,51.96,2532700,50.58
2013-05-28,52.20,52.28,50.80,51.41,1950800,50.04
2013-05-20,51.37,52.72,50.75,51.91,3037300,50.53
2013-05-13,48.87,52.94,48.10,51.58,4728900,50.21
2013-05-06,48.37,48.91,46.86,48.90,3429700,47.60
2013-04-29,48.48,48.49,46.55,48.31,2391600,47.03
2013-04-22,47.41,48.55,47.04,48.28,1388000,47.00
2013-04-15,48.04,48.42,46.26,47.44,2298200,46.18
2013-04-10,47.57,49.30,47.51,48.42,1845700,47.13
