Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,98.14,99.20,97.49,99.16,1667600,99.16
2014-03-03,93.45,99.11,92.94,98.37,1198100,98.37
2014-02-24,95.35,95.85,91.45,93.92,2001100,93.65
2014-02-18,93.91,97.36,88.56,95.58,3352700,95.30
2014-02-10,102.63,102.78,95.04,95.96,1844800,95.68
2014-02-03,105.29,106.18,99.08,102.59,1450500,102.29
2014-01-27,100.38,106.10,98.22,105.59,2103200,105.28
2014-01-21,117.54,118.82,92.50,99.49,4328300,99.20
2014-01-13,116.32,119.68,115.61,116.31,927100,115.97
2014-01-06,119.93,120.21,114.64,116.38,1028100,116.04
2013-12-30,122.04,123.89,119.30,119.77,557100,119.42
2013-12-23,122.25,124.10,121.26,122.04,422800,121.69
2013-12-16,116.05,122.16,116.05,121.73,770400,121.17
2013-12-09,118.03,122.13,116.16,117.44,798200,116.90
2013-12-02,121.41,122.40,117.95,118.15,630000,117.60
2013-11-25,121.62,122.74,120.87,121.02,375800,120.46
2013-11-18,125.05,125.50,120.60,121.80,589600,121.24
2013-11-11,123.20,125.96,122.98,125.02,416600,124.44
2013-11-04,123.50,125.86,121.70,123.32,628300,122.75
2013-10-28,123.30,124.16,120.91,122.61,597300,122.04
2013-10-21,117.62,124.55,115.93,123.49,999300,122.92
2013-10-14,112.73,118.88,111.03,117.35,897000,116.81
2013-10-07,111.10,113.76,107.84,113.29,758900,112.77
2013-09-30,108.73,112.42,108.41,111.99,688400,111.47
2013-09-23,111.15,111.75,109.32,110.11,484000,109.60
2013-09-16,112.35,113.24,110.78,111.42,806900,110.90
2013-09-09,108.33,112.00,107.96,110.29,613700,109.78
2013-09-03,106.63,109.21,105.24,108.05,309100,107.55
2013-08-26,108.44,108.99,104.02,105.42,520200,104.72
2013-08-19,106.38,108.71,105.16,108.50,513500,107.78
2013-08-12,107.00,109.52,104.54,106.52,541100,105.82
2013-08-05,110.06,110.82,106.24,108.10,723900,107.39
2013-07-29,109.74,112.05,107.19,110.06,832000,109.33
2013-07-22,118.68,118.68,108.54,110.13,1019500,109.40
2013-07-15,114.01,118.30,113.34,118.30,761800,117.52
2013-07-08,112.62,115.49,111.29,113.81,989600,113.06
2013-07-01,108.29,113.07,107.45,112.59,772100,111.85
2013-06-24,104.96,109.11,102.03,105.96,773000,105.26
2013-06-17,111.60,112.41,106.44,107.07,667100,106.36
2013-06-10,110.75,112.45,106.94,110.60,581600,109.87
2013-06-03,111.15,111.30,105.06,110.47,709700,109.74
2013-05-28,113.21,114.66,110.70,110.70,812400,109.75
2013-05-20,116.39,117.34,107.50,111.37,4332300,110.41
2013-05-13,109.83,118.88,109.18,117.16,965000,116.15
2013-05-06,110.34,110.73,108.36,109.93,881800,108.98
2013-04-29,106.77,111.63,103.57,110.15,921500,109.20
2013-04-22,106.49,108.38,103.53,106.64,685000,105.72
2013-04-15,106.17,107.09,100.58,106.46,1211700,105.54
2013-04-10,106.21,108.10,105.88,107.77,571400,106.84
