Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,45.08,45.08,44.37,44.64,1000500,44.64
2014-03-03,43.16,45.20,42.97,45.05,1306700,45.05
2014-02-24,43.45,44.08,43.02,43.48,970800,43.48
2014-02-18,44.13,44.27,43.24,43.50,814000,43.44
2014-02-10,43.63,44.35,42.63,44.03,1486400,43.97
2014-02-03,44.51,45.18,43.33,45.18,1108700,45.11
2014-01-27,44.60,45.37,44.38,44.59,899700,44.53
2014-01-21,47.52,47.52,44.65,44.65,798000,44.59
2014-01-13,46.72,47.51,46.25,47.33,959100,47.26
2014-01-06,47.49,47.53,46.38,46.86,721600,46.79
2013-12-30,47.74,48.30,47.15,47.26,612600,47.19
2013-12-23,47.94,48.15,47.44,47.67,346700,47.60
2013-12-16,46.81,47.69,46.25,47.62,740800,47.55
2013-12-09,47.49,47.82,46.37,46.56,723000,46.49
2013-12-02,47.46,47.64,46.33,47.29,653800,47.22
2013-11-25,48.38,48.42,47.28,47.35,583700,47.28
2013-11-18,48.07,48.26,47.48,48.24,1103100,48.11
2013-11-11,48.59,49.05,47.64,48.07,1176400,47.94
2013-11-04,48.31,48.64,47.66,48.57,630500,48.44
2013-10-28,49.02,49.35,47.97,48.34,719400,48.21
2013-10-21,49.03,49.43,48.25,48.81,517200,48.68
2013-10-14,48.00,49.13,47.94,49.07,843100,48.93
2013-10-07,46.64,48.62,46.10,48.33,939300,48.20
2013-09-30,46.66,47.22,46.13,47.06,848900,46.93
2013-09-23,47.15,47.49,46.85,46.95,619000,46.82
2013-09-16,46.80,47.94,46.46,47.44,1019600,47.31
2013-09-09,44.86,46.32,44.81,46.23,628300,46.10
2013-09-03,44.93,45.13,44.09,44.69,866300,44.57
2013-08-26,45.95,46.15,44.23,44.46,780800,44.34
2013-08-19,46.34,46.44,45.34,45.95,596500,45.76
2013-08-12,45.92,47.71,45.90,46.41,951100,46.22
2013-08-05,46.21,46.29,45.50,46.18,584300,45.99
2013-07-29,46.85,47.00,45.49,46.29,707200,46.10
2013-07-22,46.52,46.91,45.54,46.05,596700,45.86
2013-07-15,45.67,46.53,45.47,46.51,764200,46.32
2013-07-08,44.99,45.71,44.86,45.68,1020800,45.49
2013-07-01,44.83,45.01,44.03,44.87,629900,44.68
2013-06-24,43.24,44.61,42.85,44.40,888500,44.22
2013-06-17,44.83,45.33,43.12,43.58,954300,43.40
2013-06-10,45.84,45.86,44.25,44.58,850500,44.39
2013-06-03,46.00,46.00,44.46,45.74,930000,45.55
2013-05-28,46.44,46.57,45.81,45.82,1326400,45.63
2013-05-20,46.40,47.10,45.57,45.95,803100,45.70
2013-05-13,45.35,46.50,45.13,46.44,656700,46.18
2013-05-06,45.36,45.82,45.03,45.45,859400,45.20
2013-04-29,44.42,45.62,43.93,45.42,1020600,45.17
2013-04-22,43.21,45.20,42.81,44.44,1453300,44.20
2013-04-15,43.81,43.88,42.59,43.18,1185700,42.94
2013-04-10,43.94,44.08,43.77,43.99,1874600,43.75
