Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,116.50,116.68,115.46,116.19,1035400,116.19
2014-03-03,114.89,118.47,114.59,117.25,1093100,117.25
2014-02-24,115.24,117.47,112.41,115.40,922600,115.40
2014-02-18,113.77,116.49,113.23,115.58,870800,114.97
2014-02-10,112.83,113.83,111.67,113.50,867200,112.90
2014-02-03,110.25,113.95,106.67,113.02,1110900,112.43
2014-01-27,104.41,111.59,102.84,111.07,998500,110.49
2014-01-21,107.58,108.94,104.16,104.17,622000,103.62
2014-01-13,106.56,107.70,105.46,107.57,405000,107.00
2014-01-06,105.66,107.40,103.99,106.32,621900,105.76
2013-12-30,107.39,107.53,104.94,105.38,445900,104.83
2013-12-23,105.65,108.69,105.61,107.12,308800,106.56
2013-12-16,102.19,106.13,102.02,105.49,771500,104.93
2013-12-09,101.98,102.75,100.61,102.23,578900,101.69
2013-12-02,103.46,103.77,100.58,101.80,622300,101.26
2013-11-25,102.45,103.87,101.86,103.46,474400,102.92
2013-11-18,102.31,103.41,101.09,102.34,597900,101.80
2013-11-11,101.50,102.22,100.58,101.95,377000,101.41
2013-11-04,101.00,102.73,100.26,101.50,607600,100.42
2013-10-28,97.18,101.45,95.59,100.76,971400,99.69
2013-10-21,94.90,97.67,94.15,97.53,497000,96.49
2013-10-14,93.65,95.50,93.14,94.77,468600,93.76
2013-10-07,92.88,93.97,91.48,93.94,470900,92.94
2013-09-30,94.81,95.39,91.75,92.88,418400,91.89
2013-09-23,94.76,96.71,94.06,95.43,461700,94.42
2013-09-16,95.27,96.59,94.63,95.22,435200,94.21
2013-09-09,91.30,94.75,91.27,94.25,377100,93.25
2013-09-03,91.00,91.88,90.16,91.19,428900,90.22
2013-08-26,92.59,93.17,90.07,90.33,355600,89.37
2013-08-19,91.05,92.74,91.04,92.65,365000,91.66
2013-08-12,92.80,93.42,91.09,91.20,549600,90.23
2013-08-05,94.09,94.14,92.38,92.89,560100,91.36
2013-07-29,91.40,94.32,90.80,94.32,615100,92.76
2013-07-22,92.33,93.75,91.27,92.15,759600,90.63
2013-07-15,90.35,92.42,90.05,92.37,511100,90.84
2013-07-08,87.44,90.71,86.95,90.22,795400,88.73
2013-07-01,86.58,87.22,84.50,87.09,346000,85.65
2013-06-24,83.51,86.53,82.60,85.74,544800,84.32
2013-06-17,86.50,87.04,83.78,84.17,431800,82.78
2013-06-10,86.81,87.38,85.50,86.04,435100,84.62
2013-06-03,85.29,86.88,84.05,86.81,456100,85.38
2013-05-28,85.91,87.23,84.13,85.09,483000,83.69
2013-05-20,85.44,87.96,84.50,85.19,582700,83.78
2013-05-13,83.74,85.76,83.28,85.55,494300,84.14
2013-05-06,82.54,84.98,82.54,83.78,432700,81.86
2013-04-29,81.37,83.70,80.61,83.42,521200,81.51
2013-04-22,81.50,83.00,79.63,81.39,628900,79.52
2013-04-15,82.12,82.74,79.75,81.38,709500,79.51
2013-04-10,82.00,83.99,81.76,82.45,695400,80.56
