Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,48.17,48.34,47.70,47.78,1401100,47.78
2014-03-03,46.57,48.17,46.21,48.16,1720800,48.16
2014-02-24,46.19,47.52,45.90,46.84,1891600,46.84
2014-02-18,46.08,46.45,45.58,46.14,2480800,46.14
2014-02-10,44.04,46.21,44.03,45.99,2299100,45.99
2014-02-03,44.50,44.89,42.98,44.12,2474400,43.85
2014-01-27,44.83,45.22,44.36,44.54,2444900,44.27
2014-01-21,46.15,46.74,44.81,44.82,2482200,44.55
2014-01-13,45.45,46.48,44.37,46.00,4329500,45.72
2014-01-06,45.11,45.48,44.61,45.43,1896100,45.16
2013-12-30,45.38,45.93,44.41,44.98,1464800,44.71
2013-12-23,45.10,45.59,44.93,45.38,908200,45.11
2013-12-16,43.70,45.20,43.59,44.80,2211600,44.53
2013-12-09,44.18,44.26,43.15,43.35,1494400,43.09
2013-12-02,42.51,44.13,42.37,43.93,2446900,43.66
2013-11-25,42.32,42.86,41.79,42.55,1554800,42.29
2013-11-18,42.15,42.65,41.55,42.27,1932600,42.01
2013-11-11,40.90,43.36,40.31,42.21,2722000,41.96
2013-11-04,41.04,41.45,40.26,40.97,1740000,40.46
2013-10-28,39.14,41.38,39.08,40.81,2400500,40.31
2013-10-21,39.06,39.58,38.28,39.07,2061900,38.59
2013-10-14,39.45,40.35,38.31,39.27,2705500,38.78
2013-10-07,39.13,39.76,38.31,39.67,1605200,39.18
2013-09-30,39.34,40.06,39.10,39.57,1686800,39.08
2013-09-23,40.16,40.37,39.43,39.60,1430000,39.11
2013-09-16,40.63,40.69,40.05,40.10,1763200,39.60
2013-09-09,39.33,40.43,38.99,40.29,1635200,39.79
2013-09-03,38.77,39.70,38.42,39.12,1638900,38.64
2013-08-26,39.05,39.30,38.05,38.33,1746500,37.86
2013-08-19,39.12,40.80,38.46,39.12,1360500,38.64
2013-08-12,39.72,42.82,39.03,39.14,1568100,38.66
2013-08-05,40.29,40.59,39.76,39.91,1098000,39.16
2013-07-29,39.52,41.00,39.51,40.55,2100500,39.79
2013-07-22,40.32,41.39,39.18,39.86,2573500,39.11
2013-07-15,39.38,40.55,39.37,39.88,1784700,39.13
2013-07-08,37.77,39.92,36.92,39.90,2051000,39.15
2013-07-01,36.98,37.65,36.54,37.61,1466800,36.91
2013-06-24,36.31,37.09,35.59,36.84,1820500,36.15
2013-06-17,36.64,37.53,35.85,36.35,1966400,35.67
2013-06-10,37.16,37.31,35.51,36.39,1528600,35.71
2013-06-03,37.55,38.04,36.50,37.09,1870600,36.39
2013-05-28,37.50,38.44,37.01,37.53,2076600,36.83
2013-05-20,38.02,38.07,36.66,37.05,2102300,36.36
2013-05-13,38.30,38.38,37.67,38.06,1810700,37.35
2013-05-06,37.32,38.38,37.20,38.38,1790900,37.40
2013-04-29,35.47,37.45,35.44,37.31,2790900,36.36
2013-04-22,34.75,35.94,34.26,35.48,2533200,34.58
2013-04-15,36.45,36.78,34.21,34.61,3957900,33.73
2013-04-10,36.19,37.00,36.12,36.69,1975700,35.76
