Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,58.51,58.92,58.20,58.90,3978100,58.90
2014-03-03,58.95,60.10,58.15,58.59,4518000,58.59
2014-02-24,58.10,60.12,57.89,59.61,5149200,59.61
2014-02-18,54.14,58.76,54.03,57.96,9641400,57.96
2014-02-10,52.75,54.63,52.29,54.20,4775700,54.20
2014-02-03,54.11,54.38,52.40,53.21,5290000,52.73
2014-01-27,54.22,54.67,52.87,54.01,6991100,53.52
2014-01-21,55.35,55.79,54.00,54.12,5010100,53.63
2014-01-13,52.03,55.64,51.87,55.16,7767400,54.66
2014-01-06,51.18,52.11,50.52,51.93,6905000,51.46
2013-12-30,51.15,51.26,50.56,51.10,3355000,50.64
2013-12-23,50.48,51.38,50.28,51.25,2659700,50.79
2013-12-16,49.61,50.93,48.88,50.20,5389600,49.75
2013-12-09,50.58,51.05,49.08,49.39,4472400,48.95
2013-12-02,50.30,50.68,49.53,50.63,4060200,50.17
2013-11-25,51.39,51.62,50.10,50.22,3904900,49.77
2013-11-18,51.10,51.24,50.29,51.23,4275000,50.77
2013-11-11,49.73,51.14,49.27,51.01,11241000,50.55
2013-11-04,50.39,50.69,49.88,50.63,10234000,49.68
2013-10-28,50.70,51.14,48.97,50.38,6372600,49.44
2013-10-21,49.57,51.00,49.39,50.66,5228500,49.71
2013-10-14,48.63,50.01,48.47,49.56,6062500,48.63
2013-10-07,48.17,49.16,47.53,48.88,7620800,47.97
2013-09-30,50.30,50.69,48.01,48.38,7591500,47.48
2013-09-23,53.84,53.86,50.07,50.50,6903100,49.56
2013-09-16,53.77,54.25,53.22,53.93,3813700,52.92
2013-09-09,52.41,53.29,52.09,53.27,3112300,52.27
2013-09-03,51.77,52.73,51.04,52.41,3033000,51.43
2013-08-26,52.70,52.77,51.00,51.40,3465900,50.44
2013-08-19,52.71,53.15,51.93,52.62,3174200,51.64
2013-08-12,53.86,56.50,52.79,52.86,9224500,51.87
2013-08-05,53.87,54.45,53.05,54.18,8714600,52.69
2013-07-29,53.23,53.98,52.93,53.88,3816700,52.39
2013-07-22,50.55,53.40,50.33,53.36,4935900,51.89
2013-07-15,51.41,51.79,49.46,50.60,4967800,49.20
2013-07-08,50.80,52.06,50.66,51.45,4149900,50.03
2013-07-01,49.35,50.93,49.27,50.58,4551100,49.18
2013-06-24,49.31,50.33,48.68,49.12,5575700,47.76
2013-06-17,52.42,53.05,49.21,49.91,6005500,48.53
2013-06-10,52.70,52.83,50.83,52.05,5240600,50.61
2013-06-03,53.08,53.42,51.34,52.49,4430200,51.04
2013-05-28,54.71,55.19,53.15,53.16,4441500,51.69
2013-05-20,55.90,56.06,53.89,54.14,4393700,52.65
2013-05-13,54.72,57.10,54.55,55.90,7354600,54.36
2013-05-06,55.02,55.16,53.85,54.82,8892400,52.84
2013-04-29,56.59,56.63,54.15,54.99,4558000,53.01
2013-04-22,57.46,58.40,55.02,56.46,4862900,54.42
2013-04-15,57.02,57.75,56.17,57.42,4583000,55.35
2013-04-10,57.22,58.34,57.21,57.51,3998300,55.44
