Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,11.07,11.09,11.07,11.08,2351500,11.08
2014-03-03,11.08,11.09,11.06,11.08,4274300,11.08
2014-02-24,11.10,11.11,11.06,11.09,4604000,11.09
2014-02-18,11.09,11.10,11.07,11.08,3141000,11.08
2014-02-10,11.06,11.10,11.06,11.09,3282200,11.09
2014-02-03,11.03,11.08,11.01,11.06,6493000,11.06
2014-01-27,11.01,11.05,11.01,11.03,9107000,11.03
2014-01-21,11.00,11.03,11.00,11.00,7560700,11.00
2014-01-13,10.98,11.03,10.96,11.00,8117700,11.00
2014-01-06,11.02,11.05,10.96,10.97,11772600,10.97
2013-12-30,11.02,11.04,10.96,11.03,12669700,11.03
2013-12-23,10.95,11.03,10.94,11.01,12307900,11.01
2013-12-16,10.96,11.00,10.91,10.94,70550800,10.94
2013-12-09,8.12,8.22,7.83,7.91,3826200,7.91
2013-12-02,8.09,8.15,7.85,8.10,3592300,8.10
2013-11-25,8.05,8.14,7.94,8.07,3095500,8.04
2013-11-18,8.25,8.29,7.84,8.07,4120500,8.04
2013-11-11,8.21,8.36,8.10,8.22,3582300,8.19
2013-11-04,8.47,8.50,8.08,8.25,4233500,8.22
2013-10-28,7.81,8.53,7.69,8.45,8434700,8.42
2013-10-21,7.99,7.99,7.44,7.79,7501900,7.76
2013-10-14,7.64,7.99,7.60,7.99,4234500,7.96
2013-10-07,7.80,7.90,7.39,7.69,7311000,7.66
2013-09-30,7.81,8.00,7.74,7.88,3918900,7.85
2013-09-23,7.84,7.95,7.67,7.89,3323200,7.86
2013-09-16,8.01,8.02,7.81,7.88,4106000,7.85
2013-09-09,7.78,8.08,7.76,7.90,4446900,7.87
2013-09-03,7.50,7.85,7.44,7.76,5082500,7.73
2013-08-26,7.60,7.65,7.37,7.41,4584300,7.35
2013-08-19,7.42,7.60,7.34,7.59,3328000,7.53
2013-08-12,7.56,7.82,7.41,7.48,4499600,7.42
2013-08-05,7.76,7.85,7.55,7.65,4094100,7.59
2013-07-29,7.62,7.90,7.59,7.80,5917100,7.74
2013-07-22,7.75,7.79,7.38,7.67,6591100,7.61
2013-07-15,7.54,7.74,7.50,7.70,3594800,7.64
2013-07-08,7.42,7.55,7.22,7.54,3500800,7.48
2013-07-01,7.19,7.40,7.09,7.38,4033300,7.32
2013-06-24,6.97,7.18,6.78,7.14,6780900,7.08
2013-06-17,7.35,7.50,6.94,7.02,5051800,6.97
2013-06-10,7.36,7.44,7.08,7.31,4660100,7.25
2013-06-03,7.43,7.55,7.08,7.36,5936800,7.30
2013-05-28,7.25,7.60,7.20,7.41,7172900,7.35
2013-05-20,7.22,7.25,6.83,7.22,4760100,7.16
2013-05-13,7.03,7.25,6.80,7.23,6520200,7.17
2013-05-06,6.74,7.05,6.63,7.03,7604300,6.98
2013-04-29,6.42,6.74,6.31,6.72,6184500,6.67
2013-04-22,6.16,6.58,5.99,6.40,6504900,6.35
2013-04-15,6.32,6.46,6.01,6.10,5208700,6.05
2013-04-10,6.43,6.60,6.30,6.40,6227600,6.35
