Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,27.83,27.84,27.50,27.58,1262100,27.51
2014-03-03,27.66,28.39,27.26,27.85,1802100,27.78
2014-02-24,27.96,28.28,27.72,27.94,1804500,27.87
2014-02-18,28.20,28.38,27.50,27.95,1532900,27.88
2014-02-10,27.72,28.41,27.51,28.13,1384600,28.06
2014-02-03,27.02,27.74,26.04,27.71,2019700,27.64
2014-01-27,27.39,27.67,26.82,27.33,1576200,27.27
2014-01-21,28.10,28.72,27.41,27.41,3379300,27.35
2014-01-13,28.09,28.40,27.32,27.94,1635300,27.87
2014-01-06,28.42,28.48,27.58,28.18,1000200,28.11
2013-12-30,28.24,28.65,28.21,28.37,899500,28.30
2013-12-23,28.03,28.67,27.93,28.18,550200,28.11
2013-12-16,27.28,28.21,26.98,27.95,1360400,27.88
2013-12-09,28.16,28.25,26.98,27.20,901500,27.14
2013-12-02,28.66,29.06,27.50,28.11,875600,27.98
2013-11-25,28.92,29.19,28.38,28.66,671300,28.53
2013-11-18,28.39,28.90,27.75,28.89,899700,28.75
2013-11-11,28.88,28.93,27.78,28.27,905200,28.14
2013-11-04,28.78,29.45,28.32,28.88,907600,28.74
2013-10-28,29.22,29.31,28.34,28.71,1744900,28.58
2013-10-21,28.68,29.56,28.60,29.15,896100,29.01
2013-10-14,28.56,28.75,27.91,28.70,863600,28.57
2013-10-07,27.46,28.78,26.82,28.78,1546000,28.65
2013-09-30,26.97,27.74,26.94,27.68,1460100,27.55
2013-09-23,27.06,27.50,26.93,27.30,1056400,27.17
2013-09-16,28.14,28.75,27.27,27.27,2278400,27.14
2013-09-09,26.55,28.01,26.51,27.85,1062700,27.72
2013-09-03,25.18,26.70,25.13,26.57,1270700,26.39
2013-08-26,26.02,26.12,24.80,24.93,784200,24.76
2013-08-19,26.50,26.56,25.45,26.01,830800,25.83
2013-08-12,27.03,27.16,26.33,26.59,997200,26.41
2013-08-05,26.99,27.25,26.38,27.18,812400,26.99
2013-07-29,26.89,27.42,26.42,27.09,973400,26.90
2013-07-22,27.69,27.86,26.65,27.01,924600,26.82
2013-07-15,26.82,27.98,26.68,27.68,1013000,27.49
2013-07-08,26.22,26.81,25.61,26.77,1243300,26.58
2013-07-01,26.31,26.73,25.73,26.13,1213100,25.95
2013-06-24,25.42,26.39,24.70,26.22,2147400,26.04
2013-06-17,27.97,28.21,25.22,25.71,2279100,25.53
2013-06-10,29.62,29.68,27.70,27.76,1338300,27.57
2013-06-03,31.47,31.51,28.76,29.52,1481500,29.25
2013-05-28,31.10,31.85,30.49,31.38,1582400,31.09
2013-05-20,32.02,32.19,30.27,30.65,1454800,30.37
2013-05-13,31.58,32.13,31.43,32.02,1112900,31.73
2013-05-06,31.31,32.43,31.10,31.70,1320800,31.41
2013-04-29,30.16,31.77,29.93,31.29,1521400,31.00
2013-04-22,29.07,30.49,28.63,29.99,1264700,29.71
2013-04-15,28.83,29.60,28.37,29.05,1514600,28.78
2013-04-10,28.59,29.57,28.47,29.03,1451500,28.76
