Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,60.30,60.30,59.27,59.58,670400,59.58
2014-03-03,59.92,61.97,59.37,60.25,757400,60.25
2014-02-24,60.82,61.35,59.80,60.13,829000,60.13
2014-02-18,60.93,61.27,59.89,60.67,666800,60.67
2014-02-10,59.11,60.94,58.95,60.90,523000,60.28
2014-02-03,56.70,59.32,55.51,59.23,1062600,58.63
2014-01-27,57.09,57.32,55.21,56.60,906800,56.03
2014-01-21,58.33,59.11,56.90,57.10,1132300,56.52
2014-01-13,58.80,59.22,57.99,58.04,807200,57.45
2014-01-06,58.90,59.47,58.21,58.91,966400,58.31
2013-12-30,59.16,59.54,57.84,58.69,731900,58.10
2013-12-23,59.33,60.00,58.60,59.17,528000,58.57
2013-12-16,58.51,59.72,57.71,58.96,1004700,58.36
2013-12-09,60.48,60.76,57.95,58.51,1046000,57.92
2013-12-02,57.08,60.55,56.00,60.49,1388300,59.88
2013-11-25,57.58,57.83,56.77,56.94,642700,56.36
2013-11-18,58.81,58.90,57.09,57.67,606800,57.09
2013-11-11,56.76,58.92,56.18,58.89,879600,58.29
2013-11-04,60.01,60.36,55.57,56.56,795600,55.99
2013-10-28,59.61,60.00,57.85,59.93,1170200,58.69
2013-10-21,59.06,60.43,58.06,59.76,670300,58.53
2013-10-14,55.92,59.39,55.86,59.09,1086000,57.87
2013-10-07,55.24,56.42,55.13,56.25,1157300,55.09
2013-09-30,56.84,57.55,55.41,55.68,974700,54.53
2013-09-23,58.02,58.63,56.68,57.26,637600,56.08
2013-09-16,58.06,60.52,57.22,58.12,667700,56.92
2013-09-09,56.83,58.34,56.54,57.20,593700,56.02
2013-09-03,56.63,57.40,55.19,56.61,807700,55.44
2013-08-26,56.78,57.09,55.45,56.28,615100,55.12
2013-08-19,56.77,57.35,55.53,56.72,803600,55.55
2013-08-12,61.43,61.72,56.38,56.72,1298700,55.55
2013-08-05,61.87,62.89,61.08,61.81,1173300,59.93
2013-07-29,63.66,65.15,61.45,61.85,917200,59.97
2013-07-22,65.35,66.12,62.99,63.63,545000,61.70
2013-07-15,63.76,65.47,63.35,65.35,683300,63.37
2013-07-08,61.47,64.37,61.47,63.78,783300,61.85
2013-07-01,61.34,61.73,59.95,61.40,695200,59.54
2013-06-24,57.90,61.37,56.68,60.97,1026400,59.12
2013-06-17,62.44,63.09,57.38,58.45,879600,56.68
2013-06-10,63.21,63.29,60.65,62.25,889400,60.36
2013-06-03,64.58,64.79,61.35,62.75,1520900,60.85
2013-05-28,67.65,67.74,64.36,64.91,1186600,62.94
2013-05-20,70.41,71.44,65.83,66.86,1054400,64.83
2013-05-13,70.15,70.92,69.71,70.41,827000,68.27
2013-05-06,72.01,72.19,69.50,70.24,7573000,68.11
2013-04-29,69.12,70.69,68.57,70.42,896000,67.72
2013-04-22,67.38,68.89,66.41,68.80,648800,66.17
2013-04-15,67.23,67.64,65.71,67.18,656400,64.61
2013-04-10,65.83,67.54,65.61,67.54,878100,64.95
