Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,54.52,54.91,53.88,54.19,1638100,54.19
2014-03-03,53.85,55.03,52.99,54.79,2670600,54.79
2014-02-24,52.52,54.41,52.52,54.23,2408400,54.23
2014-02-18,51.52,52.72,50.52,52.51,3132400,52.34
2014-02-10,49.07,51.58,49.02,51.52,2050600,51.36
2014-02-03,49.45,49.52,47.21,49.24,2425100,49.08
2014-01-27,49.75,50.68,48.51,49.30,2125100,49.14
2014-01-21,51.44,51.53,49.75,49.76,3078700,49.60
2014-01-13,49.63,50.86,48.57,50.62,2853100,50.46
2014-01-06,48.83,49.29,48.25,49.28,1630900,49.12
2013-12-30,49.08,49.44,48.57,48.65,1514800,48.50
2013-12-23,48.09,49.84,48.05,48.78,948300,48.63
2013-12-16,46.73,48.32,46.42,48.15,2314600,48.00
2013-12-09,46.46,46.89,45.83,46.57,1937100,46.42
2013-12-02,47.00,47.02,45.25,46.23,2309500,46.08
2013-11-25,46.83,47.34,46.46,47.02,1769900,46.87
2013-11-18,47.07,47.30,46.02,46.92,2322600,46.77
2013-11-11,45.97,47.58,45.67,47.02,5224900,46.70
2013-11-04,45.59,46.52,45.36,46.12,2382200,45.81
2013-10-28,44.05,45.91,43.77,45.71,2725400,45.40
2013-10-21,42.30,44.75,42.30,44.49,1870800,44.19
2013-10-14,42.00,43.91,41.76,43.50,2482400,43.21
2013-10-07,42.20,42.54,41.26,42.30,2260900,42.01
2013-09-30,41.96,42.67,41.67,42.60,1986700,42.31
2013-09-23,43.17,43.41,42.00,42.35,2166800,42.06
2013-09-16,43.31,43.99,42.88,43.17,2021300,42.88
2013-09-09,40.74,43.29,40.74,42.86,2033600,42.57
2013-09-03,40.37,41.22,40.17,40.62,1862300,40.35
2013-08-26,41.16,41.61,39.85,39.99,1949700,39.72
2013-08-19,40.40,41.61,39.58,41.16,2392500,40.88
2013-08-12,40.61,41.69,40.19,40.40,2319600,39.96
2013-08-05,42.24,42.50,40.90,40.94,1930900,40.49
2013-07-29,41.08,43.00,40.87,42.42,3593600,41.96
2013-07-22,41.53,41.69,40.16,41.26,1976100,40.81
2013-07-15,41.74,42.26,41.04,41.62,1733700,41.16
2013-07-08,41.61,42.69,41.45,41.73,1859300,41.27
2013-07-01,40.67,41.43,39.82,41.40,1478600,40.95
2013-06-24,38.50,40.71,38.23,40.37,2434300,39.93
2013-06-17,41.02,41.12,38.17,38.93,2952000,38.50
2013-06-10,41.70,41.89,40.26,40.77,1821200,40.32
2013-06-03,42.35,42.39,40.09,41.66,2731300,41.20
2013-05-28,43.25,43.55,42.01,42.01,1703500,41.55
2013-05-20,43.69,43.84,42.14,42.77,1518500,42.30
2013-05-13,43.92,44.45,43.13,43.73,1949800,43.08
2013-05-06,43.00,43.97,42.94,43.97,1634700,43.32
2013-04-29,41.50,43.56,41.21,43.01,2734500,42.37
2013-04-22,41.38,42.06,41.03,41.57,1845100,40.95
2013-04-15,42.20,42.24,40.55,41.34,2289400,40.73
2013-04-10,41.73,42.59,41.58,42.59,1567500,41.96
