Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,95.26,95.68,94.97,95.20,4388900,95.20
2014-03-03,94.24,95.79,94.00,95.50,4360900,95.50
2014-02-24,96.43,96.94,94.65,95.15,4451200,95.15
2014-02-18,96.03,97.00,95.46,96.45,4554700,95.64
2014-02-10,95.75,95.97,94.50,95.78,4746200,94.97
2014-02-03,94.54,95.95,92.22,95.92,6022400,95.11
2014-01-27,94.29,94.68,92.87,94.17,5852700,93.37
2014-01-21,95.36,95.96,94.39,94.43,6382400,93.63
2014-01-13,95.83,96.30,94.59,94.93,4837800,94.13
2014-01-06,96.62,97.08,95.00,95.80,6159100,94.99
2013-12-30,96.88,97.15,96.26,96.54,2686200,95.72
2013-12-23,96.72,97.28,96.05,96.91,2104400,96.09
2013-12-16,94.97,96.51,94.27,96.51,5674200,95.69
2013-12-09,96.13,96.50,94.04,94.44,4687700,93.64
2013-12-02,97.29,97.29,95.20,96.80,5100100,95.98
2013-11-25,98.75,99.27,96.95,97.37,8090000,96.55
2013-11-18,96.90,98.51,96.90,98.27,8399700,96.64
2013-11-11,96.83,98.70,96.40,96.92,4854900,95.31
2013-11-04,97.26,98.19,96.32,97.01,4740200,95.40
2013-10-28,94.69,97.50,94.68,97.24,4122800,95.62
2013-10-21,93.70,95.49,93.24,94.78,5111900,93.20
2013-10-14,94.41,95.70,93.45,95.20,5032700,93.62
2013-10-07,94.26,94.80,93.14,94.74,4100800,93.16
2013-09-30,96.46,96.69,94.01,94.70,4559700,93.13
2013-09-23,96.97,98.60,96.82,97.12,3860600,95.51
2013-09-16,97.88,98.99,96.90,96.90,5107000,95.29
2013-09-09,96.22,97.85,96.21,97.35,3876800,95.73
2013-09-03,95.10,96.75,94.12,96.26,3833000,94.66
2013-08-26,95.36,96.33,94.01,94.36,4369000,92.79
2013-08-19,95.12,95.99,94.91,95.13,7404600,92.80
2013-08-12,97.49,97.80,95.01,95.03,4285000,92.70
2013-08-05,99.01,99.44,97.07,97.62,3798800,95.23
2013-07-29,97.96,99.24,97.39,99.20,4048300,96.77
2013-07-22,97.75,98.08,96.30,98.03,6833300,95.63
2013-07-15,101.60,101.73,99.30,100.27,4434800,97.81
2013-07-08,100.28,101.81,99.20,101.58,4109500,99.09
2013-07-01,99.35,100.84,99.25,99.86,3378500,97.41
2013-06-24,96.54,100.11,96.02,99.00,4184900,96.57
2013-06-17,99.30,100.07,96.62,97.23,4904000,94.85
2013-06-10,99.80,100.18,97.87,98.42,4259000,96.01
2013-06-03,96.77,98.69,95.16,98.28,5075000,95.87
2013-05-28,101.06,101.94,96.56,96.57,9081700,94.20
2013-05-20,101.24,102.62,99.73,100.29,7572800,97.07
2013-05-13,100.02,102.03,99.80,101.54,3726900,98.28
2013-05-06,102.76,102.80,99.40,100.20,5702500,96.98
2013-04-29,101.56,103.34,101.12,102.92,3654700,99.62
2013-04-22,99.35,101.63,98.38,100.89,4522000,97.65
2013-04-15,103.14,103.44,99.45,99.92,5391800,96.71
2013-04-10,101.12,103.70,101.01,103.59,4307600,100.27
