Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,182.35,182.57,179.15,180.50,1492300,180.50
2014-03-03,175.34,184.05,174.92,182.40,1359700,182.40
2014-02-24,176.45,178.36,173.47,177.05,1525600,177.05
2014-02-18,176.71,179.40,175.73,176.35,1697800,176.11
2014-02-10,174.52,176.37,171.56,175.60,1315000,175.36
2014-02-03,174.69,175.00,167.02,174.99,1719200,174.75
2014-01-27,173.38,177.48,171.77,174.41,2200500,174.17
2014-01-21,168.71,177.50,167.29,173.72,2694100,173.48
2014-01-13,175.03,175.37,160.21,168.12,3407200,167.89
2014-01-06,166.11,177.00,159.91,175.44,2942100,175.20
2013-12-30,160.95,162.10,159.45,160.71,1056400,160.49
2013-12-23,161.52,161.99,158.31,160.98,570800,160.76
2013-12-16,157.93,162.65,156.81,161.50,1226400,161.28
2013-12-09,163.43,164.63,156.00,157.39,2069100,157.17
2013-12-02,165.89,166.25,159.78,162.81,1401000,162.59
2013-11-25,163.95,166.57,163.58,165.89,1277500,165.66
2013-11-18,161.34,164.00,157.38,163.61,1159800,163.15
2013-11-11,158.80,160.61,155.92,160.15,1380600,159.70
2013-11-04,159.42,159.79,154.02,158.56,1545100,158.11
2013-10-28,152.88,159.57,152.06,159.44,2332500,158.99
2013-10-21,141.50,156.27,135.68,154.99,3401300,154.55
2013-10-14,137.92,143.86,136.69,141.45,1273700,141.05
2013-10-07,131.24,139.00,129.57,138.31,2836100,137.92
2013-09-30,128.40,132.02,127.95,131.87,1076600,131.50
2013-09-23,131.07,131.34,127.45,129.29,1319200,128.92
2013-09-16,130.03,133.33,129.43,131.27,1243900,130.90
2013-09-09,123.74,129.62,123.32,128.70,869100,128.34
2013-09-03,122.77,124.46,121.38,123.57,835800,123.22
2013-08-26,123.28,123.28,120.17,121.41,704100,121.07
2013-08-19,121.55,123.16,121.52,122.95,669300,122.36
2013-08-12,123.98,124.04,121.60,121.82,1143400,121.23
2013-08-05,122.90,124.65,122.24,124.21,800000,123.61
2013-07-29,124.36,124.49,121.79,123.42,1110500,122.83
2013-07-22,118.70,126.36,117.27,124.85,1180400,124.25
2013-07-15,118.96,119.56,117.53,118.65,733600,118.08
2013-07-08,116.00,118.74,114.72,118.64,847900,118.07
2013-07-01,115.77,116.78,113.26,115.73,953900,115.17
2013-06-24,110.57,117.21,109.82,114.50,1524200,113.95
2013-06-17,115.01,115.95,110.42,110.97,1513400,110.44
2013-06-10,114.10,115.32,111.31,114.29,937700,113.74
2013-06-03,114.28,114.85,111.13,113.96,1233500,113.41
2013-05-28,117.80,118.30,113.01,113.86,1363900,113.11
2013-05-20,116.63,119.32,116.09,117.31,1075800,116.54
2013-05-13,114.97,117.20,114.19,116.89,989100,116.12
2013-05-06,108.04,116.94,107.78,115.29,1687000,114.53
2013-04-29,104.17,108.60,102.68,108.14,1196400,107.43
2013-04-22,106.04,108.16,103.95,104.18,1125100,103.49
2013-04-15,107.99,108.58,104.82,106.25,1029500,105.55
2013-04-10,107.33,109.67,107.29,108.36,1013600,107.65
