Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,82.61,83.10,82.11,83.03,588900,83.03
2014-03-03,78.00,83.26,77.67,82.78,1217400,82.78
2014-02-24,78.75,79.64,78.21,79.00,1276100,79.00
2014-02-18,79.58,80.06,78.51,78.80,1107000,78.80
2014-02-10,80.17,80.17,78.46,79.53,1011100,79.25
2014-02-03,74.47,85.70,72.57,80.02,1710700,79.74
2014-01-27,72.96,75.38,72.65,74.58,782900,74.32
2014-01-21,76.48,77.00,72.97,72.97,750400,72.71
2014-01-13,76.64,76.86,74.85,75.75,778900,75.48
2014-01-06,78.12,78.74,75.48,76.75,1077100,76.48
2013-12-30,77.42,79.15,76.42,77.83,784200,77.56
2013-12-23,77.50,77.91,76.59,77.44,405100,77.17
2013-12-16,73.22,77.37,72.59,77.30,1248900,77.03
2013-12-09,74.01,74.30,71.64,71.83,711400,71.58
2013-12-02,74.41,75.50,71.96,73.92,709100,73.66
2013-11-25,75.53,75.89,73.50,74.63,630800,74.37
2013-11-18,74.93,75.52,73.87,75.48,915600,75.21
2013-11-11,73.00,75.07,69.98,75.05,712400,74.54
2013-11-04,71.54,73.11,71.18,73.07,725000,72.57
2013-10-28,71.46,72.27,70.31,71.19,1132800,70.70
2013-10-21,73.15,73.90,66.91,71.56,1220000,71.07
2013-10-14,71.02,73.58,70.58,73.21,925600,72.71
2013-10-07,70.33,71.91,68.98,71.46,892200,70.97
2013-09-30,69.85,71.38,69.37,70.93,794800,70.44
2013-09-23,70.45,71.46,69.64,70.35,1015900,69.87
2013-09-16,68.56,71.74,68.21,70.60,1072100,70.12
2013-09-09,66.19,67.97,65.05,67.40,928500,66.94
2013-09-03,65.03,66.17,63.41,65.78,1142000,65.33
2013-08-26,65.20,65.59,62.95,63.56,829400,63.13
2013-08-19,64.29,65.96,63.09,65.18,937200,64.73
2013-08-12,69.12,69.81,63.70,64.44,1372300,64.00
2013-08-05,69.06,71.25,68.40,69.58,1384800,68.84
2013-07-29,64.06,69.32,64.06,69.22,1291800,68.48
2013-07-22,61.65,67.05,61.46,64.37,1715400,63.68
2013-07-15,61.10,61.87,59.87,61.76,1159100,61.10
2013-07-08,61.08,62.25,59.73,61.04,1713200,60.39
2013-07-01,61.17,62.65,59.69,60.74,1201200,60.09
2013-06-24,58.08,61.47,56.75,60.93,1593800,60.28
2013-06-17,62.82,62.93,57.96,58.88,1507700,58.25
2013-06-10,65.26,65.61,60.44,62.20,1700500,61.53
2013-06-03,66.56,66.92,63.27,65.74,1397300,65.04
2013-05-28,68.11,68.68,66.44,66.44,1056700,65.73
2013-05-20,67.91,69.70,65.70,67.25,1413100,66.53
2013-05-13,65.18,68.13,64.21,67.91,1475200,67.18
2013-05-06,62.49,65.40,62.19,65.40,2038200,64.51
2013-04-29,57.55,62.97,57.52,62.75,4018700,61.89
2013-04-22,54.97,55.56,54.20,55.12,1156300,54.37
2013-04-15,54.24,54.98,53.46,54.84,1229100,54.09
2013-04-10,52.90,54.89,52.70,54.40,1237400,53.66
