Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,59.63,60.10,59.40,60.07,4343700,60.07
2014-03-03,58.69,60.03,58.53,59.91,4118700,59.91
2014-02-24,57.26,59.80,57.05,59.26,4461900,59.26
2014-02-18,56.79,57.71,55.30,57.12,5752400,57.12
2014-02-10,55.70,57.00,55.60,56.88,3565300,56.88
2014-02-03,56.56,56.58,53.33,55.59,8411300,55.59
2014-01-27,57.30,57.63,56.11,56.56,4571800,56.56
2014-01-21,59.65,59.89,57.16,57.16,4661900,57.16
2014-01-13,59.78,59.98,58.88,59.51,4880400,59.51
2014-01-06,59.15,60.93,57.92,59.95,7690000,59.95
2013-12-30,57.47,58.50,57.04,58.34,5494600,58.34
2013-12-23,57.30,57.69,57.00,57.40,2147500,57.12
2013-12-16,56.24,57.77,56.05,56.89,4691900,56.61
2013-12-09,58.17,58.20,55.56,55.89,3272400,55.62
2013-12-02,57.32,58.18,56.66,58.14,4149000,57.86
2013-11-25,57.75,57.97,56.91,57.32,2670600,57.04
2013-11-18,58.43,58.62,56.52,57.60,4396400,57.32
2013-11-11,58.20,58.85,57.30,58.55,3582800,58.26
2013-11-04,56.45,58.09,56.45,58.03,4937500,57.75
2013-10-28,57.33,58.82,56.96,57.26,4971800,56.98
2013-10-21,56.43,57.88,56.01,57.36,3797600,57.08
2013-10-14,54.76,56.70,54.52,56.59,3661900,56.31
2013-10-07,52.96,55.04,52.44,54.99,3947400,54.72
2013-09-30,52.82,53.88,52.60,53.35,3484500,53.09
2013-09-23,53.72,53.89,52.64,53.00,2829800,52.47
2013-09-16,54.04,54.30,53.29,53.71,3790900,53.17
2013-09-09,53.48,54.26,53.44,53.58,3194900,53.04
2013-09-03,52.25,53.88,51.78,53.46,6494100,52.92
2013-08-26,52.77,53.00,51.22,51.75,5075800,51.23
2013-08-19,53.65,54.26,52.40,52.74,5049700,52.21
2013-08-12,55.21,55.35,53.89,53.91,4341400,53.37
2013-08-05,54.76,55.98,54.67,55.37,4434700,54.81
2013-07-29,55.54,55.90,54.35,54.94,5552000,54.39
2013-07-22,54.95,55.63,54.84,55.60,3625200,55.04
2013-07-15,53.58,55.12,53.33,55.02,5113300,54.47
2013-07-08,52.61,53.77,52.48,53.44,4827700,52.90
2013-07-01,52.06,52.63,51.28,52.41,3880000,51.88
2013-06-24,52.07,52.76,51.19,51.47,5165000,50.68
2013-06-17,53.17,53.80,51.06,52.49,6604200,51.68
2013-06-10,52.00,53.30,51.09,52.92,4964700,52.10
2013-06-03,51.24,52.13,50.60,52.08,5489900,51.28
2013-05-28,51.54,52.39,50.95,51.01,6815600,50.22
2013-05-20,49.69,53.83,49.59,51.33,8189200,50.54
2013-05-13,48.90,50.17,48.90,49.84,4159100,49.07
2013-05-06,47.67,49.21,47.55,49.17,3560200,48.41
2013-04-29,46.57,47.97,46.17,47.72,4046100,46.98
2013-04-22,46.30,47.31,45.79,46.36,3194200,45.65
2013-04-15,46.96,47.27,45.39,46.03,4300800,45.32
2013-04-10,46.84,47.98,46.82,47.20,4341400,46.47
