Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,53.57,53.74,53.00,53.36,6684100,53.36
2014-03-03,49.90,53.61,49.66,53.15,5874600,53.15
2014-02-24,50.52,51.39,49.31,50.67,6791800,50.67
2014-02-18,50.38,51.76,50.08,50.52,6171900,50.52
2014-02-10,49.08,50.65,48.28,50.39,6032500,50.39
2014-02-03,49.06,49.17,46.98,49.11,6775900,49.11
2014-01-27,49.51,49.98,48.34,49.05,6161200,48.76
2014-01-21,53.43,53.46,49.46,49.51,6280900,49.22
2014-01-13,53.90,54.40,52.80,52.96,4778900,52.65
2014-01-06,53.49,54.70,53.21,54.10,4992300,53.78
2013-12-30,53.98,54.10,52.89,53.81,3448300,53.50
2013-12-23,53.37,54.32,53.04,53.96,3778200,53.64
2013-12-16,51.45,53.32,50.13,53.12,8176000,52.81
2013-12-09,51.89,52.24,50.94,51.19,5777400,50.89
2013-12-02,52.42,53.08,50.94,51.67,5252200,51.37
2013-11-25,52.95,52.98,52.13,52.19,3964400,51.89
2013-11-18,51.97,53.11,51.89,52.65,6181800,52.34
2013-11-11,50.00,52.09,48.89,52.01,7196600,51.71
2013-11-04,47.45,50.66,47.31,50.14,7010400,49.85
2013-10-28,48.65,49.40,47.00,47.32,6115100,46.77
2013-10-21,49.52,49.81,47.92,48.63,5008300,48.07
2013-10-14,48.40,49.67,47.96,49.45,4816400,48.88
2013-10-07,47.15,48.75,45.75,48.74,5152200,48.18
2013-09-30,46.60,47.73,46.12,47.69,6567000,47.14
2013-09-23,47.44,48.34,46.80,47.21,6007000,46.67
2013-09-16,49.34,50.79,46.87,47.49,11425100,46.94
2013-09-09,48.01,49.78,47.98,48.83,4634500,48.27
2013-09-03,46.84,48.98,46.58,47.98,5609700,47.43
2013-08-26,48.33,48.46,45.52,46.19,5742400,45.66
2013-08-19,48.11,48.97,47.11,48.26,5556900,47.70
2013-08-12,49.32,49.79,47.67,48.28,6026600,47.72
2013-08-05,50.60,51.04,48.69,49.77,5355200,49.20
2013-07-29,48.81,51.65,47.92,50.80,7534700,49.94
2013-07-22,48.85,49.86,48.30,48.93,5964400,48.10
2013-07-15,48.79,49.06,47.49,48.64,6881500,47.81
2013-07-08,47.83,49.25,47.55,49.08,6674300,48.24
2013-07-01,46.15,47.56,46.01,47.52,5413600,46.71
2013-06-24,44.37,46.11,43.35,45.76,8818400,44.98
2013-06-17,44.50,46.16,44.38,45.04,9064000,44.27
2013-06-10,45.33,45.96,43.76,43.97,6729100,43.22
2013-06-03,44.67,45.15,42.46,45.06,9222300,44.29
2013-05-28,42.73,45.26,42.62,44.21,9812900,43.46
2013-05-20,43.19,43.71,41.43,42.04,6398900,41.32
2013-05-13,41.10,43.43,41.05,43.28,7339400,42.54
2013-05-06,40.57,41.29,40.35,41.16,6461400,40.46
2013-04-29,38.78,41.21,38.37,40.48,9881700,39.52
2013-04-22,35.79,39.25,35.25,38.53,9281300,37.62
2013-04-15,36.61,36.93,35.33,35.60,7746000,34.76
2013-04-10,37.24,38.19,36.52,36.80,6223900,35.93
