Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,144.40,144.78,142.96,143.52,736500,143.52
2014-03-03,140.03,145.51,139.17,144.68,891800,144.68
2014-02-24,143.77,145.00,138.61,141.53,1401300,141.53
2014-02-18,147.72,147.94,138.27,143.41,1417900,143.41
2014-02-10,147.36,147.78,142.94,147.10,829500,147.10
2014-02-03,142.07,148.43,137.22,147.61,1045800,147.61
2014-01-27,143.24,144.97,138.41,142.18,1090000,142.18
2014-01-21,147.23,155.48,141.36,141.36,870200,141.36
2014-01-13,149.08,150.20,146.06,146.76,902900,146.76
2014-01-06,149.87,150.05,145.50,148.23,766400,148.23
2013-12-30,146.54,150.26,146.54,149.45,564300,149.45
2013-12-23,142.53,147.33,142.00,146.75,632700,146.75
2013-12-16,140.38,146.69,138.26,141.44,2244100,141.44
2013-12-09,141.24,145.05,138.17,139.64,901700,139.64
2013-12-02,140.34,141.85,134.04,138.95,705500,138.95
2013-11-25,142.71,143.68,139.95,140.02,464800,140.02
2013-11-18,144.84,145.34,138.67,142.32,587300,142.32
2013-11-11,134.45,144.89,134.07,144.68,795900,144.68
2013-11-04,137.94,138.19,132.06,134.30,677200,134.30
2013-10-28,131.68,141.19,130.39,137.56,1266500,137.56
2013-10-21,124.24,133.02,122.74,131.78,1188500,131.78
2013-10-14,128.25,132.06,119.59,124.28,1250300,124.28
2013-10-07,129.34,131.07,123.08,129.95,708600,129.95
2013-09-30,128.44,134.27,128.44,130.70,706600,130.70
2013-09-23,130.71,130.71,126.59,130.09,623000,130.09
2013-09-16,129.68,134.75,128.14,130.45,831800,130.45
2013-09-09,121.72,129.90,121.51,127.69,593400,127.69
2013-09-03,118.86,123.26,115.99,121.38,931100,121.38
2013-08-26,123.16,125.23,117.22,117.49,691800,117.49
2013-08-19,121.66,126.24,119.56,123.05,640800,123.05
2013-08-12,126.52,130.25,120.16,121.96,682500,121.96
2013-08-05,129.15,130.70,125.75,128.00,892000,128.00
2013-07-29,114.38,134.21,113.94,129.97,1210600,129.97
2013-07-22,117.79,118.60,112.58,114.42,905600,114.42
2013-07-15,116.98,119.19,115.22,117.76,791500,117.76
2013-07-08,112.39,117.75,108.89,117.03,640900,117.03
2013-07-01,112.85,114.02,109.05,111.58,463900,111.58
2013-06-24,106.46,114.01,103.97,112.49,662300,112.49
2013-06-17,111.78,117.48,106.25,108.95,918000,108.95
2013-06-10,112.17,113.50,106.27,111.08,547500,111.08
2013-06-03,111.59,112.29,103.74,111.64,1038600,111.64
2013-05-28,116.00,117.32,111.16,111.17,753000,111.17
2013-05-20,117.57,118.11,111.81,114.23,538800,114.23
2013-05-13,117.99,120.70,116.49,117.90,841900,117.90
2013-05-06,115.50,118.58,113.81,118.04,873700,118.04
2013-04-29,113.70,119.88,106.39,115.50,1211700,115.50
2013-04-22,111.68,116.71,109.29,113.36,563100,113.36
2013-04-15,115.06,115.95,108.32,111.46,620000,111.46
2013-04-10,113.99,117.97,112.35,116.27,493700,116.27
