Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,133.98,134.08,133.10,133.56,1966100,133.56
2014-03-03,133.07,135.00,131.58,134.11,3591900,134.11
2014-02-24,131.89,135.20,131.44,134.73,2878300,134.73
2014-02-18,132.31,132.75,130.05,131.57,2581500,131.57
2014-02-10,129.65,132.19,128.66,132.12,2780500,132.12
2014-02-03,128.22,130.39,123.61,130.33,4741800,129.48
2014-01-27,130.02,131.27,126.42,128.19,3489800,127.35
2014-01-21,138.45,138.95,130.22,130.22,2830200,129.37
2014-01-13,135.81,138.82,134.57,137.31,2451900,136.41
2014-01-06,138.75,139.29,135.68,136.18,2830900,135.29
2013-12-30,139.08,140.43,137.61,138.45,2186500,137.55
2013-12-23,137.10,139.40,136.32,139.35,2201100,138.44
2013-12-16,126.77,138.09,126.47,136.72,4905900,135.83
2013-12-09,128.80,129.66,125.98,126.43,2509000,125.60
2013-12-02,131.67,132.00,125.15,128.61,4788300,127.77
2013-11-25,131.80,134.16,130.94,133.51,2797100,132.64
2013-11-18,129.91,132.55,128.55,131.02,2118600,130.16
2013-11-11,127.54,130.12,127.25,129.85,2307300,128.37
2013-11-04,125.98,128.02,124.86,127.99,2166500,126.53
2013-10-28,124.13,126.93,123.80,125.90,2091300,124.47
2013-10-21,122.79,124.96,122.50,124.42,2411700,123.00
2013-10-14,120.26,123.45,119.79,122.84,2523100,121.44
2013-10-07,118.56,120.77,116.65,120.72,2496100,119.35
2013-09-30,119.39,119.96,117.89,119.40,2105100,118.04
2013-09-23,120.43,121.87,119.26,120.22,2699200,118.85
2013-09-16,119.79,122.27,118.65,120.01,3682200,118.64
2013-09-09,115.63,118.91,115.51,118.60,2162300,117.25
2013-09-03,114.57,115.82,112.85,115.04,2098400,113.73
2013-08-26,114.38,115.17,112.36,113.58,1786300,112.29
2013-08-19,115.83,115.96,113.34,114.40,2046300,113.10
2013-08-12,118.00,119.18,115.64,115.90,2003900,113.95
2013-08-05,118.17,119.20,117.04,118.31,1993500,116.32
2013-07-29,116.41,119.26,116.06,118.26,2267100,116.27
2013-07-22,116.00,117.30,114.84,116.91,2513100,114.94
2013-07-15,115.14,116.47,114.06,116.19,2531800,114.24
2013-07-08,112.00,115.24,111.90,115.14,2350900,113.20
2013-07-01,108.37,111.56,108.21,111.54,2275200,109.66
2013-06-24,108.78,110.90,107.15,109.35,2892300,107.51
2013-06-17,111.85,113.25,108.52,109.59,2786900,107.75
2013-06-10,111.41,112.07,108.58,111.03,2199500,109.16
2013-06-03,110.70,111.20,107.64,111.11,2780300,109.24
2013-05-28,111.15,112.38,110.27,110.27,2660600,108.42
2013-05-20,111.13,112.34,109.49,110.27,2712100,108.42
2013-05-13,109.99,111.78,109.71,111.39,2836800,108.90
2013-05-06,107.63,110.64,107.45,110.48,2908800,108.01
2013-04-29,103.91,108.60,102.89,107.83,3212800,105.42
2013-04-22,105.71,108.15,103.46,103.79,4296200,101.47
2013-04-15,107.15,107.91,104.28,105.71,3187400,103.34
2013-04-10,106.09,108.72,106.03,107.68,2503800,105.27
