Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,113.61,114.00,112.77,113.60,1925600,113.60
2014-03-03,109.33,114.62,109.24,114.08,2751900,114.08
2014-02-24,112.11,112.33,107.96,110.02,3006000,110.02
2014-02-18,108.36,112.95,108.36,112.45,3063100,112.45
2014-02-10,110.55,111.95,108.76,109.49,3124100,109.49
2014-02-03,106.68,110.84,104.08,110.75,2915900,110.75
2014-01-27,107.84,108.71,105.72,106.55,2904200,106.55
2014-01-21,113.48,114.37,107.60,107.94,3351100,107.94
2014-01-13,112.61,113.72,111.29,113.11,2102600,113.11
2014-01-06,116.82,117.43,111.02,113.06,4215600,113.06
2013-12-30,115.65,117.50,115.03,116.35,1690500,115.91
2013-12-23,114.20,115.71,113.55,115.39,1027300,114.95
2013-12-16,110.95,114.83,110.83,113.73,2544500,113.30
2013-12-09,111.75,112.54,110.04,110.66,1958700,110.24
2013-12-02,113.73,114.56,110.43,111.75,1939500,111.33
2013-11-25,113.54,114.50,112.44,113.33,1793800,112.90
2013-11-18,111.06,114.08,109.00,113.86,2939300,113.43
2013-11-11,107.38,111.31,106.02,111.06,3180200,110.64
2013-11-04,105.32,107.40,102.88,107.22,3684400,106.81
2013-10-28,108.16,108.81,104.33,105.15,2155400,104.75
2013-10-21,105.80,108.13,105.32,108.00,2293300,107.59
2013-10-14,105.97,107.09,104.75,105.74,2513600,105.34
2013-10-07,104.82,106.62,103.12,106.58,3032500,106.18
2013-09-30,104.59,106.18,101.78,105.63,3620400,105.23
2013-09-23,105.61,106.46,105.03,105.61,1739700,104.78
2013-09-16,105.25,107.73,104.13,106.05,2588700,105.22
2013-09-09,100.87,105.00,100.52,104.18,2461000,103.36
2013-09-03,99.09,102.12,98.84,99.89,3463900,99.11
2013-08-26,97.07,99.65,96.28,97.89,2538900,97.12
2013-08-19,95.07,96.81,94.00,96.22,2355900,95.46
2013-08-12,95.61,98.17,94.56,94.99,2913400,94.24
2013-08-05,97.68,97.88,94.71,96.25,3803800,95.49
2013-07-29,100.28,101.87,97.19,97.46,3769200,96.69
2013-07-22,104.00,104.80,99.96,100.51,2661500,99.72
2013-07-15,103.21,104.18,101.40,104.16,2285000,103.34
2013-07-08,98.88,103.54,98.68,102.95,2743200,102.14
2013-07-01,99.20,99.61,96.50,98.71,3032200,97.93
2013-06-24,101.57,103.00,97.89,98.80,3248400,97.64
2013-06-17,106.68,106.80,102.32,103.19,2841900,101.98
2013-06-10,105.00,106.77,102.59,105.63,3269900,104.39
2013-06-03,100.42,102.63,97.05,101.65,3824000,100.46
2013-05-28,105.36,105.86,100.64,100.64,3391100,99.46
2013-05-20,108.43,108.78,103.31,104.83,2560600,103.60
2013-05-13,107.77,109.33,106.41,108.38,2226400,107.11
2013-05-06,107.17,108.63,106.61,108.12,1689000,106.86
2013-04-29,105.07,107.73,104.18,107.28,1865900,106.03
2013-04-22,103.37,106.47,102.07,104.68,1934000,103.46
2013-04-15,104.79,105.49,101.53,103.22,2870200,102.01
2013-04-10,105.05,107.25,104.70,105.45,2296800,104.22
