Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,49.71,49.94,49.06,49.89,2512700,49.89
2014-03-03,48.49,50.63,48.15,49.73,4267400,49.73
2014-02-24,48.07,49.15,47.75,48.86,2540100,48.61
2014-02-18,47.97,48.99,47.37,48.03,2960800,47.78
2014-02-10,46.41,48.85,46.27,47.78,3640400,47.54
2014-02-03,44.83,46.86,44.31,46.45,3977200,46.21
2014-01-27,45.13,45.61,43.58,44.66,3811700,44.43
2014-01-21,48.64,48.78,45.19,45.38,3892600,45.15
2014-01-13,46.51,49.67,46.11,48.54,4514700,48.29
2014-01-06,47.10,47.59,45.90,46.55,3005900,46.31
2013-12-30,47.11,47.65,46.79,46.83,1567100,46.59
2013-12-23,45.86,47.21,45.58,47.02,1947800,46.78
2013-12-16,44.14,45.90,43.71,45.72,3157400,45.49
2013-12-09,47.22,47.26,43.72,43.97,4151700,43.75
2013-12-02,48.00,48.25,46.19,46.79,3560400,46.55
2013-11-25,47.51,48.23,46.70,47.90,2352800,47.40
2013-11-18,49.81,49.81,46.25,47.51,3875700,47.02
2013-11-11,48.00,49.21,47.58,49.05,3901500,48.54
2013-11-04,46.40,48.09,45.49,48.01,4583400,47.51
2013-10-28,46.85,47.38,45.65,46.10,2993900,45.62
2013-10-21,46.76,47.00,44.88,45.94,3251200,45.46
2013-10-14,45.08,46.77,44.78,46.61,3020000,46.13
2013-10-07,45.78,46.48,44.83,45.47,5694200,45.00
2013-09-30,43.04,46.22,42.76,46.10,6704100,45.62
2013-09-23,44.81,45.20,43.27,43.43,5119100,42.98
2013-09-16,46.64,47.10,44.27,44.77,9477600,44.31
2013-09-09,44.00,46.50,43.34,45.99,8838000,45.51
2013-09-03,42.11,42.86,41.14,42.16,5288100,41.72
2013-08-26,43.13,43.44,40.97,41.65,4266700,41.22
2013-08-19,43.06,43.20,40.85,41.89,4633500,41.46
2013-08-12,42.51,44.65,42.51,42.87,8382300,42.43
2013-08-05,41.29,44.80,39.75,42.51,12339000,42.07
2013-07-29,52.39,53.52,39.95,40.98,23958900,40.56
2013-07-22,54.17,54.60,51.71,52.61,5332600,51.82
2013-07-15,55.69,56.18,53.72,54.00,5660200,53.19
2013-07-08,54.07,56.97,54.00,56.10,3110000,55.26
2013-07-01,54.09,54.38,53.16,53.75,3144100,52.94
2013-06-24,55.88,56.04,53.30,53.81,3939600,53.00
2013-06-17,58.26,59.25,56.28,56.69,2474400,55.84
2013-06-10,60.69,60.84,56.75,57.86,2464300,56.99
2013-06-03,60.88,62.09,59.23,60.45,1828200,59.54
2013-05-28,60.42,62.10,60.21,60.82,2421700,59.91
2013-05-20,60.71,61.65,58.29,59.78,2646500,58.88
2013-05-13,62.79,62.79,59.94,60.75,3823100,59.84
2013-05-06,60.88,64.65,60.31,63.28,2796900,62.33
2013-04-29,60.16,61.94,59.69,60.83,2178000,59.92
2013-04-22,57.66,61.55,57.33,59.86,2395900,58.72
2013-04-15,58.62,58.64,56.90,57.53,2986400,56.44
2013-04-10,60.06,60.73,58.80,59.20,2374200,58.08
