Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,90.00,91.91,89.86,91.08,4105000,91.08
2014-03-03,83.76,90.60,82.87,90.00,3700800,90.00
2014-02-24,88.01,91.08,83.36,84.00,4267800,84.00
2014-02-18,87.99,89.14,86.39,87.31,2763800,87.31
2014-02-10,84.46,88.66,82.03,87.71,3060900,87.71
2014-02-03,87.08,87.10,80.68,84.47,3963300,84.06
2014-01-27,82.98,88.94,81.37,87.05,4436500,86.62
2014-01-21,86.28,87.52,82.05,82.98,3029300,82.57
2014-01-13,90.97,91.56,84.68,85.28,3959300,84.86
2014-01-06,88.56,91.86,86.51,90.97,3609700,90.52
2013-12-30,89.08,91.95,87.49,88.26,2510300,87.83
2013-12-23,88.19,89.95,87.77,89.13,1555900,88.69
2013-12-16,85.44,88.25,85.38,87.26,4127300,86.83
2013-12-09,87.77,88.81,83.24,85.21,4418400,84.79
2013-12-02,83.84,88.86,82.24,87.20,5907600,86.77
2013-11-25,80.55,85.65,79.74,82.74,4303500,82.33
2013-11-18,78.74,80.43,76.73,80.25,3534500,79.86
2013-11-11,71.66,79.50,70.80,78.84,3957200,78.04
2013-11-04,70.97,71.96,69.38,71.65,2841400,70.92
2013-10-28,70.38,75.00,70.01,70.86,3423900,70.14
2013-10-21,70.99,75.15,68.42,69.89,3849900,69.18
2013-10-14,66.52,70.74,65.89,70.74,3122800,70.02
2013-10-07,64.86,67.89,61.32,67.25,3655300,66.56
2013-09-30,63.75,65.94,63.04,65.23,3406200,64.56
2013-09-23,64.45,65.62,62.51,64.94,3829000,64.28
2013-09-16,68.33,68.55,64.38,64.51,3945200,63.85
2013-09-09,70.86,71.00,66.63,67.89,3533500,67.20
2013-09-03,73.62,74.55,70.47,70.85,2377500,70.13
2013-08-26,75.25,76.11,72.21,72.51,2528400,71.77
2013-08-19,69.54,76.58,68.54,75.06,3287500,74.29
2013-08-12,72.93,75.49,68.83,70.00,3105900,68.87
2013-08-05,71.76,73.90,70.50,73.24,2714800,72.06
2013-07-29,71.99,76.02,71.35,71.93,2870500,70.77
2013-07-22,69.65,72.75,69.00,71.91,2378600,70.75
2013-07-15,73.21,73.91,67.89,69.60,3487700,68.48
2013-07-08,69.19,74.20,67.95,73.24,3531500,72.06
2013-07-01,70.83,72.65,67.58,68.99,3216600,67.88
2013-06-24,71.92,73.86,69.31,71.06,4359700,69.91
2013-06-17,80.10,80.50,70.72,72.81,3895000,71.63
2013-06-10,83.62,84.15,79.02,79.61,2180800,78.32
2013-06-03,82.61,83.77,79.56,83.63,2494600,82.28
2013-05-28,83.49,84.44,82.25,82.50,2097700,81.17
2013-05-20,82.65,86.00,80.11,82.06,2841200,80.73
2013-05-13,77.22,83.05,75.81,82.68,3257300,81.34
2013-05-06,77.97,81.91,76.22,77.38,3387100,75.78
2013-04-29,81.71,83.33,73.46,78.10,5354600,76.49
2013-04-22,78.86,84.30,77.96,81.35,2604100,79.67
2013-04-15,79.19,80.21,75.20,78.75,3999300,77.12
2013-04-10,85.16,85.55,78.40,80.29,4291800,78.63
