Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,57.44,57.62,57.00,57.32,7383200,56.88
2014-03-03,56.10,57.65,55.95,57.47,10219900,57.02
2014-02-24,55.87,57.46,55.80,56.99,10121700,56.55
2014-02-18,55.22,56.34,54.99,56.03,10824400,55.60
2014-02-10,54.29,55.75,54.22,55.44,11703400,55.01
2014-02-03,52.91,55.20,51.92,54.77,16983700,54.35
2014-01-27,52.86,54.10,51.78,52.97,19817600,52.56
2014-01-21,52.03,52.25,50.86,51.98,13957000,51.58
2014-01-13,50.90,53.44,50.79,51.95,18699600,51.55
2014-01-06,49.81,50.40,49.34,49.88,10217900,49.49
2013-12-30,49.74,50.08,49.30,49.73,7279500,49.34
2013-12-23,49.44,49.90,49.23,49.79,5457700,49.40
2013-12-16,48.30,49.45,47.61,49.32,12873200,48.94
2013-12-09,49.38,49.85,48.03,48.38,10815900,48.01
2013-12-02,49.74,50.42,48.77,49.39,11198400,48.57
2013-11-25,48.95,49.95,48.94,49.83,14921700,49.00
2013-11-18,48.04,49.04,47.65,48.94,10266400,48.12
2013-11-11,46.91,48.28,46.65,48.07,11782700,47.27
2013-11-04,45.92,46.87,45.32,46.80,13611700,46.02
2013-10-28,45.57,45.82,44.62,45.23,17806700,44.48
2013-10-21,46.70,46.86,45.85,46.54,14253000,45.76
2013-10-14,46.80,47.45,46.42,46.61,16089800,45.83
2013-10-07,47.92,48.23,46.96,47.29,13217100,46.50
2013-09-30,47.64,49.23,47.29,48.23,17405900,47.43
2013-09-23,47.79,48.22,47.29,47.79,11606800,46.99
2013-09-16,48.25,48.71,47.63,48.01,13685800,47.21
2013-09-09,47.60,48.51,47.48,47.79,18110200,46.99
2013-09-03,47.52,47.88,47.01,47.49,14960100,46.28
2013-08-26,47.80,47.90,46.47,47.29,9579300,46.09
2013-08-19,47.47,48.38,47.30,47.73,10215900,46.52
2013-08-12,48.16,48.85,47.48,47.70,10092600,46.49
2013-08-05,48.39,48.84,48.07,48.39,8583900,47.16
2013-07-29,48.27,49.08,47.84,48.54,14223200,47.30
2013-07-22,47.85,48.49,47.35,48.49,9877700,47.26
2013-07-15,48.51,48.89,47.20,47.79,13297300,46.57
2013-07-08,47.37,48.66,47.24,48.54,9874400,47.30
2013-07-01,46.26,47.30,46.03,47.16,9851200,45.96
2013-06-24,46.47,47.48,46.06,46.45,13903800,45.27
2013-06-17,48.33,48.55,46.21,47.00,16881700,45.80
2013-06-10,48.65,48.89,46.49,47.95,29593300,46.73
2013-06-03,48.93,50.16,47.75,48.19,34048300,46.54
2013-05-28,47.94,48.64,46.51,46.70,17661300,45.10
2013-05-20,45.96,48.30,45.10,47.16,28950200,45.54
2013-05-13,45.84,47.26,45.01,45.99,14110200,44.41
2013-05-06,45.51,46.00,44.88,45.95,15006500,44.37
2013-04-29,47.88,48.12,44.60,45.67,19596300,44.10
2013-04-22,47.45,48.79,47.11,47.87,14800700,46.23
2013-04-15,46.89,47.50,46.41,47.49,12257600,45.86
2013-04-10,45.91,47.51,45.78,47.11,15445800,45.49
