Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,34.15,34.32,34.00,34.30,4341800,34.30
2014-03-03,33.38,34.32,33.25,34.24,5713600,34.24
2014-02-24,33.49,34.33,33.05,33.50,6363900,33.50
2014-02-18,33.28,34.05,33.11,33.26,6249700,33.26
2014-02-10,32.49,33.43,32.05,33.22,6011500,33.22
2014-02-03,32.78,32.95,31.57,32.60,8808600,32.41
2014-01-27,33.00,33.44,32.40,32.79,4319800,32.60
2014-01-21,34.33,34.49,32.97,33.00,4354300,32.81
2014-01-13,34.67,34.74,33.95,33.96,4977000,33.77
2014-01-06,34.62,34.93,34.08,34.64,4807400,34.44
2013-12-30,35.70,35.77,34.43,34.52,3410700,34.32
2013-12-23,35.36,35.66,35.10,35.63,2460500,35.43
2013-12-16,35.84,36.07,34.17,35.16,7742300,34.96
2013-12-09,36.55,36.77,35.48,35.80,6584300,35.60
2013-12-02,36.02,37.00,35.87,36.56,5810800,36.35
2013-11-25,37.55,37.55,36.02,36.04,4334300,35.83
2013-11-18,36.16,38.18,36.16,37.61,5748400,37.40
2013-11-11,36.45,36.75,35.53,36.73,4202700,36.33
2013-11-04,35.36,36.66,34.96,36.39,7354400,36.00
2013-10-28,35.63,36.37,34.90,35.27,4848300,34.89
2013-10-21,35.09,35.74,34.47,35.59,4984400,35.20
2013-10-14,34.58,35.37,34.41,35.28,4783400,34.90
2013-10-07,34.37,35.25,33.82,34.86,4107800,34.48
2013-09-30,34.77,35.29,33.93,34.79,6026200,34.41
2013-09-23,35.65,35.80,34.64,34.90,4496200,34.52
2013-09-16,35.88,36.53,35.34,35.90,6036600,35.51
2013-09-09,35.86,36.67,35.49,35.57,7055400,35.18
2013-09-03,34.86,36.14,34.77,35.69,7118600,35.30
2013-08-26,33.41,34.89,32.83,34.43,5918400,34.06
2013-08-19,34.00,34.00,32.54,33.38,5709200,33.02
2013-08-12,34.19,34.84,34.01,34.26,5937600,33.70
2013-08-05,37.51,37.87,33.66,34.55,7295300,33.99
2013-07-29,36.31,37.59,35.62,37.56,3528300,36.95
2013-07-22,37.53,37.77,36.25,36.41,3534700,35.82
2013-07-15,36.81,37.50,35.92,37.48,3606800,36.87
2013-07-08,35.79,36.91,35.75,36.84,3556200,36.24
2013-07-01,34.71,35.64,34.40,35.62,3455200,35.04
2013-06-24,33.78,35.80,33.15,34.58,5696200,34.01
2013-06-17,34.71,36.47,33.81,34.27,6230400,33.71
2013-06-10,35.08,35.12,33.35,34.38,4214900,33.82
2013-06-03,34.61,35.50,33.84,34.73,4559200,34.16
2013-05-28,35.63,35.77,34.39,34.39,4380300,33.83
2013-05-20,36.11,36.68,34.61,35.15,5008200,34.58
2013-05-13,34.19,36.24,34.10,36.15,5386100,35.56
2013-05-06,33.47,35.00,33.18,34.35,5848000,33.62
2013-04-29,32.26,33.60,31.78,33.53,5149200,32.82
2013-04-22,29.87,32.48,29.47,31.72,5647800,31.05
2013-04-15,32.10,32.10,29.70,29.85,5919000,29.22
2013-04-10,33.54,34.12,32.25,32.54,4970200,31.85
