Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,32.22,32.30,31.76,32.13,10746400,32.13
2014-03-03,30.24,32.71,29.93,32.21,12880900,32.21
2014-02-24,29.66,30.94,29.42,30.80,12940500,30.80
2014-02-18,29.62,29.86,28.89,29.62,13105000,29.62
2014-02-10,29.66,30.55,29.47,29.69,11736600,29.69
2014-02-03,29.51,29.97,28.78,29.69,16620600,29.69
2014-01-27,30.42,30.64,29.28,29.51,15511400,29.51
2014-01-21,33.21,33.49,30.09,30.45,17598100,30.40
2014-01-13,31.30,33.52,30.60,33.40,18860800,33.34
2014-01-06,31.75,31.93,31.10,31.30,8939900,31.25
2013-12-30,31.07,31.70,30.74,31.51,8035400,31.46
2013-12-23,31.15,31.25,30.73,31.06,5317500,31.01
2013-12-16,31.27,31.65,30.37,30.93,14558400,30.88
2013-12-09,30.69,31.17,30.04,31.09,10858600,31.04
2013-12-02,31.52,31.85,30.13,30.46,11272000,30.41
2013-11-25,31.38,31.80,31.25,31.30,8204300,31.25
2013-11-18,30.44,31.35,30.19,31.34,10798700,31.29
2013-11-11,29.40,30.52,29.27,30.30,11725000,30.25
2013-11-04,29.23,29.59,28.69,29.44,12650800,29.39
2013-10-28,29.23,29.55,28.73,29.20,11534800,29.15
2013-10-21,29.54,29.67,28.92,29.23,12621400,29.13
2013-10-14,27.73,29.97,27.50,29.69,18294800,29.59
2013-10-07,26.71,28.01,26.41,27.95,13931200,27.86
2013-09-30,26.69,27.26,26.57,26.99,12025300,26.90
2013-09-23,27.98,28.03,26.70,27.08,16408800,26.99
2013-09-16,28.48,29.50,28.04,28.19,17420300,28.09
2013-09-09,26.96,28.40,26.95,28.13,12199200,28.03
2013-09-03,26.22,27.04,25.95,26.81,11067800,26.72
2013-08-26,26.33,26.67,25.25,25.76,10295400,25.67
2013-08-19,26.33,26.48,25.76,26.32,11420900,26.23
2013-08-12,26.64,27.13,26.22,26.47,9762500,26.38
2013-08-05,27.75,27.99,26.74,26.76,9180400,26.67
2013-07-29,27.58,28.02,26.98,27.85,12855900,27.76
2013-07-22,27.75,27.98,27.40,27.70,14038300,27.56
2013-07-15,26.47,27.95,26.16,27.60,21410000,27.46
2013-07-08,24.81,26.14,24.45,26.13,16540000,25.99
2013-07-01,24.64,25.19,23.83,24.57,15780600,24.44
2013-06-24,24.29,25.39,23.92,24.43,17515100,24.30
2013-06-17,26.08,26.69,24.16,24.91,21952300,24.78
2013-06-10,26.97,27.17,25.41,25.83,24274000,25.70
2013-06-03,26.06,27.00,24.60,27.00,23497700,26.86
2013-05-28,24.81,26.42,24.53,25.90,20584900,25.77
2013-05-20,25.11,25.69,23.98,24.35,14900200,24.22
2013-05-13,23.80,25.24,23.53,25.19,17352300,25.06
2013-05-06,22.80,23.94,22.78,23.94,14541400,23.82
2013-04-29,21.56,23.15,21.53,22.76,16631000,22.64
2013-04-22,20.61,21.81,20.53,21.40,18678900,21.29
2013-04-15,21.75,22.25,20.16,20.58,32322200,20.43
2013-04-10,21.89,22.63,21.54,21.82,19103500,21.66
