Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,119.06,119.93,119.00,119.35,590900,119.35
2014-03-03,115.45,120.66,114.77,119.38,724200,119.38
2014-02-24,113.39,117.72,113.05,116.59,747700,116.59
2014-02-18,114.31,114.70,111.30,113.51,701600,112.82
2014-02-10,112.86,114.79,111.70,114.06,642200,113.37
2014-02-03,111.36,113.84,109.16,113.00,934600,112.32
2014-01-27,111.16,113.03,110.25,111.51,1171200,110.84
2014-01-21,110.33,112.67,110.00,111.27,1505000,110.60
2014-01-13,115.68,116.15,110.26,111.99,1343400,111.31
2014-01-06,115.49,116.85,114.65,116.00,1338600,115.30
2013-12-30,116.12,117.29,114.86,115.21,730600,114.51
2013-12-23,115.31,116.51,114.47,116.07,468300,115.37
2013-12-16,113.94,115.60,111.57,114.34,1771100,113.65
2013-12-09,114.78,115.40,113.32,113.75,970700,113.06
2013-12-02,115.07,116.25,112.61,114.30,803500,113.61
2013-11-25,116.15,117.10,115.29,115.36,488200,114.66
2013-11-18,113.25,116.16,112.90,116.12,585800,114.72
2013-11-11,113.51,113.95,110.39,113.23,857100,111.87
2013-11-04,112.08,114.39,110.90,113.87,688000,112.50
2013-10-28,112.41,114.99,111.28,111.90,1101500,110.55
2013-10-21,114.92,115.46,111.69,112.55,1126100,111.20
2013-10-14,113.65,116.17,110.36,114.80,1215900,113.42
2013-10-07,111.84,114.85,109.23,114.45,875600,113.07
2013-09-30,111.20,112.97,110.45,112.83,645500,111.47
2013-09-23,111.53,112.52,109.47,112.08,801200,110.73
2013-09-16,112.61,114.69,111.39,111.53,1035900,110.19
2013-09-09,115.01,115.27,111.47,111.93,891600,110.58
2013-09-03,114.36,116.49,112.95,114.98,701300,113.60
2013-08-26,118.14,118.93,112.44,113.34,676800,111.98
2013-08-19,116.83,119.42,115.31,118.26,568200,116.12
2013-08-12,117.26,118.07,116.41,116.77,566600,114.66
2013-08-05,118.64,119.44,116.80,117.67,656200,115.54
2013-07-29,117.38,119.39,115.81,119.12,677700,116.97
2013-07-22,118.37,119.50,116.35,117.25,638600,115.13
2013-07-15,118.15,119.54,115.03,118.23,1022600,116.09
2013-07-08,116.20,118.54,115.90,117.78,858100,115.65
2013-07-01,112.00,116.40,111.79,116.40,724800,114.30
2013-06-24,105.23,112.01,104.38,111.75,977000,109.73
2013-06-17,103.35,106.66,102.36,106.25,1020600,104.33
2013-06-10,104.04,104.50,101.57,102.51,658200,100.66
2013-06-03,105.16,106.26,100.67,103.74,843200,101.86
2013-05-28,105.62,106.58,104.90,104.90,582800,103.00
2013-05-20,105.78,107.41,103.24,104.71,472200,102.14
2013-05-13,103.17,106.08,103.02,105.94,541200,103.34
2013-05-06,100.76,103.69,100.68,103.52,407400,100.98
2013-04-29,100.13,101.41,99.04,100.77,589800,98.29
2013-04-22,98.89,100.50,98.02,99.82,626700,97.37
2013-04-15,100.00,100.47,95.68,98.75,1200100,96.32
2013-04-10,103.12,105.25,99.94,100.24,1254300,97.78
