Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,24.32,24.94,24.08,24.85,23662500,24.85
2014-03-03,23.86,25.15,23.71,24.42,30163900,24.42
2014-02-24,25.15,25.22,23.90,24.19,32848500,24.19
2014-02-18,25.19,25.68,24.54,25.08,32363300,25.08
2014-02-10,24.64,25.30,24.57,25.08,25846700,25.08
2014-02-03,23.00,24.77,22.65,24.51,39067400,24.51
2014-01-27,23.10,23.76,22.55,23.04,28289900,23.04
2014-01-21,22.40,23.79,22.32,22.92,30050100,22.92
2014-01-13,23.70,23.80,22.33,22.38,32698500,22.38
2014-01-06,20.97,24.50,20.64,23.71,55259500,23.71
2013-12-30,21.45,21.93,20.90,20.97,26348300,20.97
2013-12-23,21.44,22.25,21.22,21.52,22542500,21.52
2013-12-16,23.17,23.42,20.81,22.17,51064300,22.17
2013-12-09,22.66,23.67,22.29,23.08,48748500,23.08
2013-12-02,21.10,22.31,20.96,22.31,34958600,22.31
2013-11-25,20.44,21.31,19.71,21.10,32026300,21.10
2013-11-18,19.58,20.32,18.51,20.19,55540900,20.19
2013-11-11,18.04,19.83,17.90,19.46,38209400,19.46
2013-11-04,17.62,18.16,17.39,18.11,34157600,18.11
2013-10-28,16.52,17.91,16.30,17.58,37518600,17.58
2013-10-21,17.03,17.14,16.35,16.58,38292600,16.58
2013-10-14,16.57,17.43,16.17,17.03,50147000,17.03
2013-10-07,18.77,18.85,16.56,16.84,83858000,16.84
2013-09-30,17.32,18.55,17.14,18.47,43862400,18.47
2013-09-23,17.23,17.95,16.74,17.62,40763500,17.62
2013-09-16,16.54,17.59,16.23,17.23,37080800,17.23
2013-09-09,15.40,16.85,15.30,16.20,54747400,16.20
2013-09-03,13.78,15.36,13.70,15.26,57856500,15.26
2013-08-26,13.90,13.92,13.05,13.57,27687000,13.57
2013-08-19,14.00,14.08,13.56,13.86,22070000,13.86
2013-08-12,13.95,15.07,13.77,14.01,50367600,14.01
2013-08-05,13.51,14.52,13.50,13.99,42340800,13.99
2013-07-29,12.67,13.63,12.31,13.50,38793500,13.50
2013-07-22,13.62,14.06,12.51,12.59,44243100,12.59
2013-07-15,12.76,13.86,12.65,13.73,34562500,13.73
2013-07-08,14.36,14.36,12.47,12.69,64025800,12.69
2013-07-01,14.47,14.60,13.85,14.31,37336100,14.31
2013-06-24,13.81,14.53,13.16,14.33,44262200,14.33
2013-06-17,13.16,14.11,13.08,13.90,68155600,13.90
2013-06-10,12.64,13.20,12.46,12.76,36869400,12.76
2013-06-03,11.74,12.72,11.41,12.65,34784600,12.65
2013-05-28,11.74,11.99,11.60,11.68,25119200,11.68
2013-05-20,11.31,11.68,10.57,11.59,36245700,11.59
2013-05-13,10.75,11.42,10.52,11.31,26933000,11.31
2013-05-06,9.73,10.90,9.66,10.82,33404000,10.82
2013-04-29,9.48,9.70,9.07,9.63,24826600,9.63
2013-04-22,9.36,9.73,9.14,9.43,23876300,9.43
2013-04-15,9.93,9.96,9.10,9.35,32291900,9.35
2013-04-10,9.64,10.22,9.63,10.01,32676300,10.01
