Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,54.79,54.84,53.31,53.41,5608200,53.41
2014-03-03,54.77,57.52,53.65,54.86,4949200,54.86
2014-02-24,52.00,57.07,50.30,55.57,7225700,55.57
2014-02-18,48.01,52.44,47.22,51.92,8414700,51.92
2014-02-10,44.97,46.48,44.37,46.10,2904300,46.10
2014-02-03,46.13,46.13,42.43,45.08,3574600,45.08
2014-01-27,44.20,45.80,43.92,45.41,3441300,45.41
2014-01-21,46.13,46.73,44.21,44.31,2836400,44.31
2014-01-13,45.76,46.38,45.14,45.75,3310100,45.75
2014-01-06,42.83,46.01,41.97,45.97,4175300,45.97
2013-12-30,42.77,43.57,42.35,42.72,1951200,42.72
2013-12-23,42.93,42.93,42.31,42.78,1520100,42.78
2013-12-16,42.03,43.10,41.41,42.51,3817200,42.51
2013-12-09,44.50,44.54,41.26,41.78,4956400,41.78
2013-12-02,44.30,44.68,42.55,44.14,3544300,44.14
2013-11-25,42.75,44.73,42.63,44.13,3761100,44.13
2013-11-18,42.31,42.68,41.51,42.67,3459200,42.67
2013-11-11,40.41,42.45,40.03,42.36,4494700,42.36
2013-11-04,38.25,40.54,38.15,40.41,5092900,40.41
2013-10-28,38.43,39.00,36.97,38.01,5276900,38.01
2013-10-21,38.49,39.21,37.87,38.43,3603200,38.43
2013-10-14,39.23,40.00,37.27,38.55,4252900,38.55
2013-10-07,39.87,40.35,38.43,39.91,4174200,39.91
2013-09-30,38.00,40.55,37.93,40.25,4443000,40.25
2013-09-23,38.50,38.59,37.71,38.32,2926500,38.32
2013-09-16,39.35,39.41,38.06,38.66,4791200,38.66
2013-09-09,35.46,38.98,35.10,38.92,6683300,38.92
2013-09-03,35.75,36.08,34.86,35.29,3869800,35.29
2013-08-26,35.70,35.99,34.46,35.34,2542900,35.34
2013-08-19,36.88,36.88,35.19,35.79,3524000,35.79
2013-08-12,36.99,37.35,36.07,36.19,5335800,36.19
2013-08-05,36.61,37.47,36.34,37.19,4913400,37.19
2013-07-29,33.33,36.77,33.03,36.40,6265600,36.40
2013-07-22,33.00,33.50,32.00,33.43,2892700,33.43
2013-07-15,32.10,32.70,31.64,32.67,3127900,32.67
2013-07-08,31.02,32.10,30.59,32.09,3729500,32.09
2013-07-01,30.95,31.39,30.01,30.84,2771100,30.84
2013-06-24,30.33,31.47,29.93,31.03,4305000,31.03
2013-06-17,31.83,32.00,29.90,30.63,5326300,30.63
2013-06-10,30.65,32.00,30.30,31.68,3678200,31.68
2013-06-03,30.46,30.96,29.50,30.58,4525200,30.58
2013-05-28,31.58,32.27,30.48,30.48,4315200,30.48
2013-05-20,31.35,32.09,30.95,31.18,5259900,31.18
2013-05-13,29.56,31.47,27.77,31.40,6422600,31.40
2013-05-06,29.00,29.93,28.67,29.65,5278400,29.65
2013-04-29,29.30,29.51,28.48,28.90,5253600,28.90
2013-04-22,28.50,29.50,28.16,29.31,6420400,29.31
2013-04-15,28.64,28.73,27.66,28.34,5401500,28.34
2013-04-10,28.70,29.15,28.44,28.68,4588100,28.68
