Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,23.11,23.18,22.51,22.72,3716600,22.72
2014-03-03,22.86,23.40,22.62,23.09,3615400,23.09
2014-02-24,22.12,23.18,21.83,23.02,6038000,22.98
2014-02-18,18.20,22.77,18.05,22.00,12429700,21.96
2014-02-10,17.43,18.42,17.21,18.09,4375400,18.06
2014-02-03,17.11,17.70,16.53,17.39,4675400,17.36
2014-01-27,17.10,17.31,16.60,17.08,3821100,17.05
2014-01-21,17.46,17.69,16.82,17.04,3311800,17.01
2014-01-13,16.99,17.41,16.50,17.28,3568500,17.25
2014-01-06,16.88,17.18,16.43,17.07,4407100,17.04
2013-12-30,16.83,17.13,16.76,16.81,3387000,16.78
2013-12-23,16.35,16.92,16.21,16.84,2073300,16.81
2013-12-16,15.71,16.41,15.63,16.26,3795400,16.23
2013-12-09,15.72,16.20,15.32,15.72,3702200,15.69
2013-12-02,16.63,16.89,15.63,15.75,4287900,15.72
2013-11-25,17.16,17.20,16.45,16.55,1755900,16.48
2013-11-18,17.83,17.84,17.09,17.21,1925400,17.14
2013-11-11,17.99,18.33,17.20,17.79,2968500,17.71
2013-11-04,17.80,18.08,17.22,17.92,3824800,17.84
2013-10-28,16.83,18.07,16.78,17.74,5646600,17.67
2013-10-21,17.65,17.96,16.40,16.76,4918500,16.69
2013-10-14,16.96,17.92,16.88,17.80,3037000,17.72
2013-10-07,17.16,17.25,16.48,17.09,3333700,17.02
2013-09-30,16.19,17.59,16.00,17.45,4296700,17.38
2013-09-23,16.26,16.72,16.03,16.42,3004500,16.35
2013-09-16,16.45,16.61,16.05,16.36,4103800,16.29
2013-09-09,16.01,16.50,16.00,16.37,3002800,16.30
2013-09-03,15.63,16.27,15.21,15.96,3567200,15.89
2013-08-26,15.92,16.06,15.36,15.40,2247400,15.30
2013-08-19,15.55,16.01,15.39,15.90,2464000,15.79
2013-08-12,15.45,15.99,15.43,15.63,2832100,15.52
2013-08-05,15.68,15.89,15.16,15.58,3377000,15.47
2013-07-29,14.86,15.84,14.62,15.74,4421300,15.63
2013-07-22,15.59,15.62,14.73,14.93,4371500,14.83
2013-07-15,14.86,15.76,14.73,15.62,4028000,15.51
2013-07-08,16.26,16.26,14.50,14.80,7488300,14.70
2013-07-01,15.41,16.24,15.38,16.17,3129700,16.06
2013-06-24,15.50,16.03,14.99,15.31,3896800,15.21
2013-06-17,16.05,16.90,15.47,15.68,3784600,15.57
2013-06-10,16.74,16.74,15.76,15.90,2785000,15.79
2013-06-03,16.14,16.71,15.81,16.69,4080200,16.58
2013-05-28,16.87,17.12,16.01,16.01,3507200,15.86
2013-05-20,16.64,17.35,16.21,16.62,4224000,16.47
2013-05-13,15.74,16.80,15.65,16.67,3734700,16.52
2013-05-06,15.38,16.31,15.33,16.12,3477900,15.97
2013-04-29,14.64,15.45,14.37,15.32,3724300,15.18
2013-04-22,14.96,15.62,14.34,14.51,5601000,14.38
2013-04-15,15.82,15.86,14.53,14.83,5506400,14.69
2013-04-10,16.26,16.89,15.92,16.09,4020600,15.94
