Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,31.55,31.56,31.10,31.28,2660400,31.28
2014-03-03,30.94,31.80,30.87,31.68,2660100,31.68
2014-02-24,31.33,31.92,30.70,31.05,3241500,31.05
2014-02-18,31.21,31.63,30.17,31.16,2914600,31.16
2014-02-10,30.71,31.83,30.43,31.16,3072900,31.16
2014-02-03,30.88,31.25,30.04,30.70,4380600,30.70
2014-01-27,32.87,33.16,30.99,31.03,5861400,30.65
2014-01-21,35.26,36.30,32.44,32.94,8095900,32.53
2014-01-13,35.75,36.14,34.86,35.39,3913100,34.95
2014-01-06,36.90,37.06,35.92,36.51,2953700,36.06
2013-12-30,36.93,37.57,36.41,36.72,2093300,36.27
2013-12-23,36.51,37.05,36.08,36.97,1893800,36.52
2013-12-16,36.70,37.16,35.87,36.32,4306900,35.87
2013-12-09,37.85,38.39,36.28,36.55,2891000,36.10
2013-12-02,38.16,38.71,37.59,37.85,2459300,37.38
2013-11-25,39.39,39.51,37.64,38.12,2985300,37.65
2013-11-18,39.73,39.85,38.48,39.56,3148200,39.07
2013-11-11,39.65,40.66,39.38,39.74,3893200,39.00
2013-11-04,37.35,39.58,37.00,39.56,3819100,38.83
2013-10-28,38.11,38.85,37.07,37.15,3341500,36.46
2013-10-21,37.98,38.51,37.34,38.08,3179700,37.37
2013-10-14,37.33,38.39,37.07,37.98,3933700,37.28
2013-10-07,38.21,38.40,36.75,37.70,3373200,37.00
2013-09-30,37.27,38.71,37.15,38.70,2110400,37.98
2013-09-23,38.12,39.20,37.48,37.60,3731200,36.90
2013-09-16,39.20,39.50,38.25,38.25,3712400,37.54
2013-09-09,39.06,39.82,38.22,38.80,2931200,38.08
2013-09-03,37.76,39.14,36.75,39.00,3351700,38.28
2013-08-26,38.87,39.40,37.13,37.20,1961200,36.51
2013-08-19,38.66,38.88,37.49,38.81,2027400,38.09
2013-08-12,39.69,40.71,38.33,38.66,2467100,37.94
2013-08-05,39.62,39.93,38.40,39.92,2620900,39.18
2013-07-29,38.51,39.77,37.51,39.76,2573600,39.02
2013-07-22,41.09,41.18,38.44,38.58,2781000,37.62
2013-07-15,40.36,41.60,38.97,41.14,3094900,40.11
2013-07-08,38.83,40.29,38.66,40.25,2472300,39.24
2013-07-01,37.85,38.69,37.16,38.60,1916200,37.64
2013-06-24,36.55,38.24,35.49,37.58,2540300,36.64
2013-06-17,37.90,38.92,36.60,37.17,2498900,36.24
2013-06-10,39.45,39.49,37.26,37.55,2516800,36.61
2013-06-03,38.92,39.86,38.52,39.23,2463400,38.25
2013-05-28,41.26,41.41,38.75,38.75,3087700,37.78
2013-05-20,40.27,42.34,39.58,40.61,3337700,39.60
2013-05-13,39.78,41.49,39.04,40.66,3587700,39.64
2013-05-06,38.70,40.43,38.54,40.03,3228600,39.03
2013-04-29,37.45,39.10,36.46,38.86,2931600,37.89
2013-04-22,36.31,38.11,36.03,37.11,2641700,36.06
2013-04-15,36.23,36.99,34.65,36.02,5601700,35.00
2013-04-10,37.70,38.50,36.49,36.70,5863800,35.66
