Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,24.56,24.65,23.94,24.31,6126400,24.16
2014-03-03,23.91,25.08,23.28,24.60,8723200,24.45
2014-02-24,23.46,24.08,23.02,23.26,10009700,23.12
2014-02-18,24.26,24.55,22.71,23.38,13605400,23.24
2014-02-10,21.79,24.23,21.75,23.83,12525400,23.68
2014-02-03,21.70,21.85,20.79,21.52,12343200,21.39
2014-01-27,24.67,25.22,21.27,21.60,14560100,21.47
2014-01-21,24.35,25.65,24.09,24.88,10110700,24.73
2014-01-14,23.76,24.88,23.22,24.55,8961100,24.40
2014-01-06,24.25,24.54,23.12,23.20,8305800,23.06
2013-12-30,23.42,24.29,22.63,23.92,10656800,23.77
2013-12-23,22.55,23.64,22.40,23.59,6766000,23.44
2013-12-16,23.32,23.65,22.34,22.64,11445000,22.50
2013-12-09,23.17,24.57,22.68,23.28,9277000,23.14
2013-12-02,24.46,24.60,22.97,23.02,11869900,22.88
2013-11-25,25.43,25.75,24.35,24.83,10040900,24.47
2013-11-18,27.76,27.81,25.66,25.74,7248700,25.37
2013-11-11,27.34,28.45,26.74,27.79,6930000,27.39
2013-11-04,26.39,28.08,26.27,27.57,8316100,27.17
2013-10-28,27.85,28.50,25.88,25.98,9814100,25.60
2013-10-21,27.06,28.71,27.01,27.83,9449300,27.43
2013-10-14,25.92,27.42,25.33,26.92,8060400,26.53
2013-10-07,26.95,27.47,25.50,25.62,8536800,25.25
2013-09-30,27.74,28.39,26.57,26.80,8799800,26.41
2013-09-23,28.13,28.83,27.39,27.98,7954600,27.57
2013-09-16,28.20,31.12,27.98,28.07,11659800,27.66
2013-09-09,30.49,30.75,27.73,28.20,8904600,27.79
2013-09-03,32.00,32.18,30.20,30.43,8215700,29.99
2013-08-26,33.19,34.27,30.72,31.77,8887100,31.06
2013-08-19,32.37,33.63,31.82,33.00,6836100,32.27
2013-08-12,30.39,33.90,29.86,32.38,11739300,31.66
2013-08-05,28.79,29.78,26.43,29.51,10339600,28.85
2013-07-29,30.38,30.58,28.71,28.79,8728700,28.15
2013-07-22,29.85,31.41,28.50,30.38,9374800,29.70
2013-07-15,27.55,29.00,27.16,28.69,7469500,28.05
2013-07-08,28.17,28.30,26.47,27.43,10974100,26.82
2013-07-01,30.31,30.69,26.97,27.78,9731600,27.16
2013-06-24,29.45,30.25,27.07,29.95,13692700,29.28
2013-06-17,33.24,33.63,28.85,30.05,9906100,29.38
2013-06-10,33.67,34.15,32.65,33.19,5605300,32.45
2013-06-03,34.40,35.44,33.58,34.11,7005500,33.01
2013-05-28,32.01,34.48,31.52,34.28,8019200,33.17
2013-05-20,30.66,33.12,30.42,31.97,8480800,30.94
2013-05-13,32.94,33.08,30.30,30.63,8200000,29.64
2013-05-06,33.29,34.25,32.08,33.12,6910100,32.05
2013-04-29,33.84,34.27,31.33,33.00,9473300,31.93
2013-04-22,33.43,35.13,31.77,33.47,10322300,32.39
2013-04-15,34.36,34.84,32.13,32.98,14653200,31.91
2013-04-10,39.67,39.85,36.35,36.37,9304300,35.20
