Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,28.61,28.68,27.92,28.62,2085200,28.62
2014-03-03,27.78,29.20,27.78,28.75,3032900,28.75
2014-02-24,24.88,28.35,24.61,28.19,5996800,28.19
2014-02-18,25.88,26.79,24.65,24.70,3772000,24.70
2014-02-10,24.11,25.54,23.75,25.17,2364700,25.17
2014-02-03,24.75,24.96,23.57,24.12,2482600,24.12
2014-01-27,24.60,25.17,23.97,24.77,2133500,24.77
2014-01-21,25.38,26.17,24.23,24.71,2584400,24.71
2014-01-13,25.44,25.75,24.43,25.09,2822000,25.09
2014-01-06,24.40,26.08,23.73,25.69,3180700,25.69
2013-12-30,24.55,24.84,23.80,24.39,2126800,24.39
2013-12-23,24.11,24.76,23.90,24.54,1240200,24.54
2013-12-16,23.43,24.25,22.79,23.98,2978100,23.98
2013-12-09,26.48,26.59,22.86,23.36,5944500,23.36
2013-12-02,28.15,28.90,26.34,26.43,2714200,26.43
2013-11-25,29.91,29.91,27.77,28.10,2218800,28.10
2013-11-18,29.86,30.13,28.85,30.03,1914600,30.03
2013-11-11,29.59,30.31,29.28,29.67,2096000,29.67
2013-11-04,30.39,31.75,28.75,29.46,3627900,29.46
2013-10-28,31.20,31.67,29.70,30.45,2143000,30.45
2013-10-21,30.47,32.55,30.00,31.26,3581900,31.26
2013-10-14,29.00,30.44,28.68,30.34,2313800,30.34
2013-10-07,28.20,29.59,27.70,29.17,2380700,29.17
2013-09-30,27.01,28.86,26.95,28.70,2407000,28.70
2013-09-23,26.75,28.41,26.32,27.38,3289800,27.38
2013-09-16,25.87,27.21,25.46,26.83,2458300,26.83
2013-09-09,23.92,26.27,23.92,25.60,4514900,25.60
2013-09-03,24.11,24.29,23.52,23.86,2012800,23.86
2013-08-26,23.49,24.38,23.36,23.82,1317000,23.82
2013-08-19,23.61,23.75,22.71,23.52,1279500,23.52
2013-08-12,24.45,24.76,22.97,23.78,1651800,23.78
2013-08-05,24.55,25.09,23.66,24.65,1623000,24.65
2013-07-29,24.66,25.30,24.02,24.55,1816100,24.55
2013-07-22,27.66,27.85,24.40,24.78,2838400,24.78
2013-07-15,25.69,27.76,25.53,27.69,2323600,27.69
2013-07-08,24.63,25.79,24.52,25.75,1677000,25.75
2013-07-01,24.08,24.54,23.56,24.51,1272900,24.51
2013-06-24,23.21,24.51,22.74,23.89,1790300,23.89
2013-06-17,22.71,24.64,22.70,23.56,2644100,23.56
2013-06-10,23.57,23.69,22.15,22.50,1319900,22.50
2013-06-03,23.91,24.48,22.77,23.54,2194500,23.54
2013-05-28,24.71,25.20,23.71,23.79,3716200,23.79
2013-05-20,23.61,25.73,23.56,24.36,2906200,24.36
2013-05-13,23.52,23.87,23.11,23.58,2022100,23.58
2013-05-06,22.86,23.68,22.30,23.65,2258500,23.65
2013-04-29,22.56,22.97,21.40,22.78,2881100,22.78
2013-04-22,20.15,22.61,19.57,22.39,4593100,22.39
2013-04-15,21.39,21.49,19.78,20.04,3942400,20.04
2013-04-10,22.80,23.00,21.44,21.70,1899700,21.70
