Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,46.43,46.58,45.89,46.25,2022500,46.25
2014-03-03,47.10,47.33,45.78,46.28,5068300,46.28
2014-02-24,46.54,47.45,46.02,47.34,1676900,47.34
2014-02-18,45.59,47.00,45.52,46.31,1901900,46.31
2014-02-10,44.59,45.70,43.71,45.43,2595200,45.43
2014-02-03,42.17,44.30,40.88,44.18,2452900,44.18
2014-01-27,43.24,43.43,41.92,42.29,2583500,42.29
2014-01-21,44.67,45.38,43.24,43.24,1920100,43.24
2014-01-13,44.09,45.19,43.57,44.42,2499300,44.42
2014-01-06,45.59,45.60,43.95,44.11,2409300,44.11
2013-12-30,45.79,46.20,44.88,45.35,1844100,45.35
2013-12-23,45.95,46.06,45.45,45.70,1252600,45.70
2013-12-16,44.98,45.81,44.68,45.35,3714400,45.35
2013-12-09,43.69,45.84,42.69,45.62,2725600,45.62
2013-12-02,42.98,43.69,42.38,43.55,2793300,43.55
2013-11-25,41.49,43.33,41.49,43.16,2974200,43.16
2013-11-18,40.26,41.65,39.65,41.12,4604000,41.12
2013-11-11,39.80,40.35,39.49,40.34,1525500,40.14
2013-11-04,39.96,40.32,38.99,39.77,1304500,39.57
2013-10-28,39.24,40.06,38.59,39.94,1347300,39.74
2013-10-21,38.44,39.26,36.95,39.04,2463900,38.85
2013-10-14,37.05,38.48,36.85,38.44,1898600,38.25
2013-10-07,36.24,37.37,35.86,37.24,1591800,37.06
2013-09-30,36.36,37.22,35.96,36.40,1592800,36.22
2013-09-23,36.34,36.89,36.14,36.32,1816600,36.14
2013-09-16,35.98,37.30,35.45,35.87,2444500,35.69
2013-09-09,35.03,35.93,34.99,35.56,1642500,35.38
2013-09-03,34.81,35.40,34.38,35.00,1847400,34.83
2013-08-26,33.85,34.78,33.67,34.50,2075300,34.33
2013-08-19,32.60,34.27,32.40,34.06,2030000,33.69
2013-08-12,33.01,33.63,32.47,32.73,1731500,32.38
2013-08-05,33.77,33.95,32.81,33.09,1699200,32.73
2013-07-29,33.06,34.53,33.05,33.74,2730400,33.38
2013-07-22,33.37,33.75,32.98,33.23,1539000,32.87
2013-07-15,34.47,34.76,32.63,33.20,3324200,32.84
2013-07-08,34.98,35.70,33.25,34.47,13102600,34.10
2013-07-01,33.64,34.80,33.07,34.70,5098100,34.33
2013-06-24,33.75,34.26,33.13,33.59,2998700,33.23
2013-06-17,34.50,35.77,33.90,34.01,2209400,33.64
2013-06-10,34.30,34.48,33.60,34.33,1359100,33.96
2013-06-03,33.83,34.33,33.16,34.25,1581000,33.88
2013-05-28,35.01,35.28,33.40,33.91,2359500,33.39
2013-05-20,35.28,35.47,34.01,35.01,2163000,34.47
2013-05-13,35.56,36.25,34.60,35.28,8087600,34.73
2013-05-06,36.05,37.09,35.81,36.91,1445300,36.34
2013-04-29,34.47,35.76,33.92,35.64,1982000,35.09
2013-04-22,34.90,36.74,33.37,34.74,1805200,34.20
2013-04-15,35.25,35.45,34.47,34.95,1008200,34.41
2013-04-10,35.02,35.94,34.94,35.49,888500,34.94
