Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,123.58,123.85,122.07,122.72,1230500,122.72
2014-03-03,119.74,125.37,119.69,124.30,1314400,124.30
2014-02-24,120.76,123.30,118.10,121.03,1455100,121.03
2014-02-18,120.54,121.45,118.91,120.47,1052100,119.85
2014-02-10,114.72,120.79,113.12,120.28,1424300,119.66
2014-02-03,116.09,117.21,109.17,114.97,1974300,114.38
2014-01-27,113.45,123.65,110.50,115.55,1937500,114.96
2014-01-21,119.06,120.68,113.43,113.45,1450300,112.87
2014-01-13,116.44,118.66,115.18,118.24,1087100,117.63
2014-01-06,114.01,116.57,113.15,116.37,1531900,115.77
2013-12-30,114.72,115.07,112.76,113.58,1013500,113.00
2013-12-23,113.00,116.19,112.04,114.70,899300,114.11
2013-12-16,108.96,113.05,108.42,112.26,1904200,111.68
2013-12-09,110.18,110.54,107.21,108.92,1439800,108.36
2013-12-02,112.60,113.24,109.24,110.26,1512100,109.69
2013-11-25,112.12,114.48,110.97,112.68,1597600,112.10
2013-11-18,110.48,112.25,109.48,112.01,1223200,110.83
2013-11-11,110.23,110.29,106.67,109.53,1102000,108.37
2013-11-04,108.45,110.76,108.21,110.73,921000,109.56
2013-10-28,108.09,109.41,106.93,108.12,1426000,106.98
2013-10-21,101.74,108.78,99.89,108.37,1469200,107.23
2013-10-14,97.70,101.60,97.15,101.59,1054200,100.52
2013-10-07,92.92,98.41,92.82,98.36,1340400,97.32
2013-09-30,95.45,96.19,92.51,93.32,1256800,92.33
2013-09-23,96.30,96.73,95.40,96.25,1073900,95.23
2013-09-16,97.04,99.10,96.09,96.30,1291700,95.28
2013-09-09,93.35,96.27,93.24,96.19,1152400,95.17
2013-09-03,93.43,94.29,92.32,93.12,1170300,92.14
2013-08-26,94.81,95.15,91.97,92.27,1108500,91.30
2013-08-19,93.88,94.98,93.52,94.57,1411400,92.96
2013-08-12,95.41,95.67,93.45,94.02,1470100,92.42
2013-08-05,94.89,96.42,94.36,95.49,1538400,93.86
2013-07-29,90.22,96.26,90.21,94.89,2855900,93.27
2013-07-22,88.67,92.99,88.23,90.56,1748800,89.02
2013-07-15,88.25,88.63,86.75,88.36,1287800,86.85
2013-07-08,84.44,88.12,84.07,88.02,1472100,86.52
2013-07-01,82.78,84.00,81.74,83.95,863300,82.52
2013-06-24,81.42,83.57,80.64,82.80,1331700,81.39
2013-06-17,83.28,84.34,81.84,81.85,1529100,80.45
2013-06-10,84.17,84.30,82.50,82.88,1321400,81.47
2013-06-03,82.48,84.00,80.92,83.88,1437600,82.45
2013-05-28,81.65,84.06,81.03,82.39,1570900,80.99
2013-05-20,82.22,82.61,79.59,81.26,2611900,79.87
2013-05-13,77.72,83.28,77.35,82.19,1998400,80.18
2013-05-06,77.02,78.16,76.91,77.93,1287400,76.02
2013-04-29,74.48,77.00,74.04,76.84,1553500,74.96
2013-04-22,70.98,74.97,70.30,74.24,1667300,72.42
2013-04-15,71.85,71.86,69.23,70.98,1808700,69.24
2013-04-10,71.75,72.67,71.49,72.11,1565400,70.35
