Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,28.72,29.10,28.70,29.02,2933600,29.02
2014-03-03,28.73,29.17,28.43,28.70,3203800,28.70
2014-02-24,28.66,29.33,28.54,29.07,3245100,29.07
2014-02-18,28.43,28.92,28.22,28.56,2997700,28.56
2014-02-10,27.69,28.66,27.40,28.43,3800900,28.43
2014-02-03,27.90,28.03,27.08,27.61,3998200,27.61
2014-01-27,26.86,28.05,26.57,27.85,3432600,27.85
2014-01-21,28.06,28.39,26.77,26.82,5179200,26.70
2014-01-13,27.94,28.14,27.37,28.07,4179300,27.95
2014-01-06,28.79,29.30,27.82,28.06,5131900,27.94
2013-12-30,28.56,28.85,28.50,28.66,2721800,28.53
2013-12-23,28.57,28.70,28.25,28.59,1720100,28.46
2013-12-16,28.05,28.75,27.28,28.40,3482000,28.27
2013-12-09,28.56,28.89,27.82,27.95,2847100,27.83
2013-12-02,26.46,28.65,26.34,28.59,3269300,28.46
2013-11-25,27.21,27.28,26.30,26.46,2269500,26.34
2013-11-18,27.28,27.68,26.86,27.22,2480800,27.10
2013-11-11,28.27,28.46,26.69,27.27,3926400,27.15
2013-11-04,28.44,28.62,27.50,28.32,3052200,28.20
2013-10-28,30.10,30.28,28.23,28.39,3500700,28.26
2013-10-21,29.45,30.13,27.86,30.11,4410400,29.85
2013-10-14,28.02,30.17,27.23,29.30,4044700,29.05
2013-10-07,27.33,28.23,27.17,28.13,2969900,27.89
2013-09-30,27.54,27.68,27.11,27.43,3680800,27.20
2013-09-23,27.47,28.24,27.36,27.72,2898100,27.48
2013-09-16,27.52,28.25,27.02,27.53,4800900,27.30
2013-09-09,26.08,27.35,26.04,27.14,2926900,26.91
2013-09-03,26.47,26.79,25.69,26.06,2863200,25.84
2013-08-26,26.31,26.37,25.74,26.25,2227300,26.03
2013-08-19,26.11,26.98,25.94,26.32,3436300,26.10
2013-08-12,26.01,26.61,25.24,26.15,5549900,25.93
2013-08-05,26.92,27.11,25.95,26.35,4288600,26.13
2013-07-29,27.59,27.65,26.66,27.04,2648100,26.81
2013-07-22,28.41,28.53,27.22,27.67,2624500,27.31
2013-07-15,28.64,29.19,28.00,28.46,3732900,28.09
2013-07-08,26.34,28.79,26.31,28.64,3582800,28.27
2013-07-01,26.76,26.77,25.81,26.14,2458700,25.80
2013-06-24,25.79,27.20,24.86,26.70,4599500,26.36
2013-06-17,26.97,27.16,24.88,25.42,3300200,25.09
2013-06-10,27.17,27.55,26.03,27.00,3493400,26.65
2013-06-03,25.49,27.34,24.93,27.10,4315600,26.75
2013-05-28,26.80,26.84,25.52,25.52,5493400,25.19
2013-05-20,27.97,28.67,27.01,27.17,3136500,26.82
2013-05-13,27.07,28.17,27.03,28.01,3185000,27.65
2013-05-06,27.64,27.76,26.70,27.18,3892800,26.83
2013-04-29,27.89,28.18,27.04,27.61,3145500,27.25
2013-04-22,27.30,28.17,27.04,27.92,2472200,27.44
2013-04-15,27.04,27.27,26.21,27.26,2910100,26.79
2013-04-10,27.07,27.32,26.96,27.14,2908500,26.68
