Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,94.28,94.76,93.46,94.43,2100700,94.43
2014-03-03,90.96,95.25,90.90,94.29,2250500,94.29
2014-02-24,90.86,92.48,89.76,91.91,1998500,91.91
2014-02-18,92.87,92.88,90.13,90.47,2761900,90.47
2014-02-10,94.52,94.65,91.96,92.84,2232700,92.84
2014-02-03,93.13,94.93,89.46,94.74,3936700,94.74
2014-01-27,89.80,93.28,89.33,92.59,2288100,92.05
2014-01-21,89.26,95.10,88.25,89.61,3638600,89.08
2014-01-13,91.64,92.04,87.14,88.99,2150800,88.47
2014-01-06,91.49,92.14,89.19,91.59,1428500,91.05
2013-12-30,92.31,93.03,91.07,91.37,1020900,90.83
2013-12-23,91.97,93.17,91.64,92.33,976800,91.79
2013-12-16,88.83,92.00,88.68,91.32,1794900,90.78
2013-12-09,90.12,91.05,87.36,87.97,1482800,87.45
2013-12-02,87.70,89.75,86.55,89.67,1936000,89.14
2013-11-25,87.15,88.42,86.45,87.69,903700,87.17
2013-11-18,87.00,87.76,85.77,87.12,1161600,86.61
2013-11-11,85.43,87.86,85.41,87.15,1468500,86.64
2013-11-04,87.46,87.88,85.00,85.62,1783800,85.12
2013-10-28,87.76,88.99,85.89,87.00,1974000,86.49
2013-10-21,79.89,87.93,79.41,87.65,2929300,86.62
2013-10-14,78.37,79.99,77.46,79.89,2079300,78.95
2013-10-07,76.91,79.25,76.08,78.75,1634700,77.82
2013-09-30,77.03,78.77,76.40,77.51,1980900,76.60
2013-09-23,77.40,78.91,77.29,77.79,1476700,76.88
2013-09-16,76.59,78.82,75.91,77.72,1617100,76.81
2013-09-09,74.81,76.50,74.23,75.64,1295400,74.75
2013-09-03,72.89,75.33,71.88,74.39,1324300,73.52
2013-08-26,74.51,75.00,71.86,72.16,1354300,71.31
2013-08-19,73.82,74.49,72.38,74.46,1334700,73.58
2013-08-12,73.60,74.56,72.50,74.00,1379700,73.13
2013-08-05,75.49,75.64,73.37,73.98,1338200,73.11
2013-07-29,73.87,76.55,73.04,75.50,1940800,74.61
2013-07-22,78.13,78.20,72.46,73.92,2723500,72.53
2013-07-15,75.12,78.18,75.12,78.08,1661900,76.62
2013-07-08,72.48,75.52,72.11,75.20,1844800,73.79
2013-07-01,72.99,73.40,71.51,72.33,1873100,70.97
2013-06-24,72.11,74.36,70.27,72.65,2706200,71.29
2013-06-17,76.55,77.38,72.33,72.90,2498700,71.53
2013-06-10,77.95,78.05,75.25,76.17,1914400,74.74
2013-06-03,77.01,78.36,74.06,77.41,2096500,75.96
2013-05-28,78.79,78.97,76.56,76.59,2268500,75.15
2013-05-20,80.23,81.00,76.20,77.64,2114900,76.18
2013-05-13,78.75,80.46,77.98,80.23,1536400,78.73
2013-05-06,77.75,79.34,77.56,79.01,1528200,77.53
2013-04-29,75.65,78.79,74.89,77.81,2144900,76.35
2013-04-22,74.75,76.34,73.66,75.56,1848800,73.66
2013-04-15,76.28,76.31,73.08,74.75,2172100,72.88
2013-04-10,74.73,78.08,74.63,76.81,2014100,74.88
