Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,63.85,64.40,63.55,64.12,781300,64.12
2014-03-03,61.43,64.26,60.78,64.02,1049600,64.02
2014-02-24,61.83,62.84,61.27,61.85,976200,61.54
2014-02-18,62.00,62.46,60.98,61.90,910200,61.59
2014-02-10,60.72,62.39,60.38,62.25,843000,61.94
2014-02-03,60.30,60.93,58.31,60.73,1130900,60.43
2014-01-27,61.24,61.49,59.83,60.22,1332000,59.92
2014-01-21,61.16,63.00,60.40,61.13,2411200,60.83
2014-01-13,61.04,61.39,60.26,60.71,1224700,60.41
2014-01-06,61.47,62.38,60.58,61.12,1353300,60.82
2013-12-30,61.57,62.00,60.67,61.30,861900,60.99
2013-12-23,60.59,61.82,60.57,61.45,836100,61.14
2013-12-16,57.96,60.94,57.19,60.81,1871200,60.51
2013-12-09,59.00,59.22,56.66,57.58,1317600,57.29
2013-12-02,58.91,59.53,57.44,58.75,1016600,58.46
2013-11-25,58.09,59.40,57.79,58.99,851600,58.38
2013-11-18,57.17,58.10,56.42,58.10,1038800,57.50
2013-11-11,58.56,58.56,56.43,57.15,999400,56.56
2013-11-04,56.35,58.42,56.04,58.40,985100,57.80
2013-10-28,56.54,57.69,56.21,56.58,1093100,56.00
2013-10-21,53.86,56.64,53.86,56.40,1114300,55.82
2013-10-14,54.44,56.98,54.18,56.52,1987000,55.94
2013-10-07,53.12,55.00,52.40,54.79,1213100,54.23
2013-09-30,54.21,54.98,52.66,53.63,1473000,53.08
2013-09-23,55.33,55.99,54.52,54.78,1241300,54.22
2013-09-16,55.49,56.82,55.00,55.64,1851800,55.07
2013-09-09,55.57,56.30,54.74,54.81,1222900,54.25
2013-09-03,55.38,55.95,54.19,55.47,1326400,54.90
2013-08-26,57.04,57.16,54.59,54.87,790900,54.00
2013-08-19,56.55,57.40,55.76,57.03,711400,56.13
2013-08-12,57.46,57.87,56.35,56.62,751800,55.72
2013-08-05,59.05,59.09,57.22,57.86,947500,56.94
2013-07-29,58.60,59.66,58.15,59.21,892200,58.27
2013-07-22,58.93,60.44,58.49,58.96,1207200,58.03
2013-07-15,61.65,62.02,58.13,59.14,1939900,58.20
2013-07-08,60.52,61.84,60.04,61.51,1028400,60.54
2013-07-01,58.13,60.38,58.04,60.34,1043500,59.39
2013-06-24,57.54,58.57,56.79,57.90,2182100,56.98
2013-06-17,57.59,59.09,57.34,57.99,2059400,57.07
2013-06-10,58.40,58.76,56.51,57.12,927800,56.22
2013-06-03,58.53,58.62,56.40,58.23,1230500,57.31
2013-05-28,58.08,59.33,57.91,58.15,1898900,56.92
2013-05-20,57.86,58.66,56.77,57.31,1203500,56.10
2013-05-13,54.46,58.37,54.31,58.27,1539800,57.04
2013-05-06,53.51,54.67,53.48,54.43,1228500,53.28
2013-04-29,53.22,53.99,52.94,53.60,1256700,52.47
2013-04-22,52.54,53.56,51.90,52.89,1288200,51.77
2013-04-15,55.50,55.73,51.93,52.50,1830800,51.39
2013-04-10,54.82,56.66,54.61,55.64,1152700,54.47
