Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,18.30,18.38,18.01,18.09,7522200,18.09
2014-03-03,17.97,18.77,17.81,18.36,7181800,18.36
2014-02-24,18.60,19.05,18.11,18.38,8583600,18.38
2014-02-18,17.92,18.99,17.75,18.64,10802900,18.56
2014-02-10,15.85,17.95,15.84,17.91,15123200,17.83
2014-02-03,15.81,15.89,15.32,15.87,6263600,15.80
2014-01-27,15.56,15.79,15.37,15.70,5514900,15.63
2014-01-21,16.01,16.15,15.56,15.56,6348300,15.49
2014-01-13,15.73,16.25,15.33,15.99,6106200,15.92
2014-01-06,15.83,16.44,15.59,15.73,7808100,15.66
2013-12-30,15.77,16.10,15.62,15.67,6271100,15.60
2013-12-23,15.78,15.93,15.63,15.76,3925400,15.69
2013-12-16,15.03,15.70,14.90,15.69,7892900,15.62
2013-12-09,15.47,15.63,15.00,15.02,8834700,14.95
2013-12-02,15.54,15.99,15.43,15.47,8552100,15.40
2013-11-25,15.18,15.81,15.18,15.60,8122600,15.53
2013-11-18,15.82,15.96,15.15,15.18,5503300,15.11
2013-11-11,15.50,16.32,15.47,16.17,8523800,16.01
2013-11-04,15.31,15.61,14.52,15.56,11591400,15.41
2013-10-28,15.22,15.35,15.00,15.26,7427500,15.11
2013-10-21,16.00,16.01,15.19,15.24,5968000,15.09
2013-10-14,15.22,15.86,15.22,15.81,5269500,15.65
2013-10-07,15.53,15.77,15.10,15.26,5868500,15.11
2013-09-30,15.42,15.72,15.31,15.59,6493200,15.44
2013-09-23,15.78,15.91,15.49,15.58,5174300,15.43
2013-09-16,15.93,16.10,15.75,15.79,6258900,15.63
2013-09-09,15.00,15.90,14.96,15.80,6991000,15.64
2013-09-03,14.79,15.03,14.67,14.88,5677600,14.73
2013-08-26,14.97,15.03,14.68,14.75,7753800,14.60
2013-08-19,15.10,15.15,14.82,14.96,6316500,14.81
2013-08-12,13.90,15.40,13.11,15.19,13338000,14.96
2013-08-05,14.72,14.88,14.11,14.49,9440400,14.28
2013-07-29,14.17,14.79,14.13,14.76,6015200,14.54
2013-07-22,14.35,14.48,14.09,14.20,6470500,13.99
2013-07-15,14.67,14.77,14.09,14.24,6775000,14.03
2013-07-08,14.28,14.78,14.09,14.64,5420500,14.42
2013-07-01,14.14,14.30,13.96,14.24,4881100,14.03
2013-06-24,14.21,14.40,13.83,14.04,14287200,13.83
2013-06-17,14.46,15.48,14.18,14.42,16223100,14.21
2013-06-10,14.41,14.53,13.97,14.35,6526700,14.14
2013-06-03,14.49,14.80,14.12,14.45,9441400,14.24
2013-05-28,14.65,14.78,14.38,14.47,9227200,14.26
2013-05-20,14.81,14.98,14.19,14.54,8758700,14.32
2013-05-13,14.44,14.97,14.18,14.87,8388000,14.58
2013-05-06,13.87,14.60,13.52,14.54,12135700,14.25
2013-04-29,13.43,13.97,13.37,13.87,7525400,13.60
2013-04-22,12.56,13.50,12.46,13.41,9283100,13.14
2013-04-15,13.05,13.09,12.37,12.57,10688900,12.32
2013-04-10,12.64,13.23,12.30,13.09,17703800,12.83
