Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,33.53,33.65,33.15,33.37,1200400,33.37
2014-03-03,33.62,34.51,33.24,33.62,1403800,33.62
2014-02-24,33.90,34.36,33.45,33.92,904200,33.92
2014-02-18,34.05,34.48,33.61,33.94,1182100,33.94
2014-02-10,32.12,34.09,31.99,34.08,1151100,34.08
2014-02-03,32.00,32.33,30.51,32.23,1496600,32.23
2014-01-27,32.27,33.96,31.58,32.04,2151700,32.04
2014-01-21,33.99,34.18,32.03,32.03,996400,32.03
2014-01-13,35.01,35.06,33.41,33.85,1395900,33.85
2014-01-06,35.01,35.66,34.90,35.02,1074600,35.02
2013-12-30,35.43,35.95,34.46,34.86,788200,34.86
2013-12-23,34.89,35.59,34.65,35.39,336900,35.39
2013-12-16,34.05,34.92,33.48,34.66,934600,34.66
2013-12-09,33.61,34.07,33.01,33.95,1180800,33.95
2013-12-02,33.17,33.91,32.66,33.62,992100,33.62
2013-11-25,33.10,33.30,32.73,33.00,563300,33.00
2013-11-18,33.58,33.72,32.43,32.99,1285400,32.99
2013-11-11,31.96,33.59,31.86,33.41,1274500,33.41
2013-11-04,31.91,32.00,31.13,31.92,1011800,31.92
2013-10-28,30.35,32.08,30.11,31.77,1071200,31.77
2013-10-21,30.50,31.03,29.95,30.35,827200,30.35
2013-10-14,29.56,30.64,29.34,30.53,1012600,30.53
2013-10-07,29.51,30.00,28.51,29.87,1223300,29.87
2013-09-30,30.02,30.50,29.48,29.81,1278300,29.81
2013-09-23,30.54,31.10,30.10,30.32,836300,30.32
2013-09-16,30.45,31.52,30.27,30.51,1241800,30.51
2013-09-09,29.81,30.87,29.61,29.99,761700,29.99
2013-09-03,29.00,30.01,28.61,29.75,964700,29.75
2013-08-26,29.87,30.67,28.29,28.39,896300,28.39
2013-08-19,30.17,30.29,29.34,29.78,954200,29.78
2013-08-12,30.30,30.94,30.00,30.27,707300,30.27
2013-08-05,30.33,30.73,29.25,30.57,779800,30.57
2013-07-29,29.03,30.83,29.03,30.40,1144900,30.40
2013-07-22,29.40,29.97,28.57,28.95,1141600,28.95
2013-07-15,29.43,29.49,28.71,29.31,965000,29.31
2013-07-08,28.49,29.59,28.30,29.33,1080200,29.33
2013-07-01,27.92,28.71,27.56,28.33,1181100,28.33
2013-06-24,26.94,28.22,26.31,27.79,1352500,27.79
2013-06-17,28.03,28.27,26.62,27.36,1351300,27.36
2013-06-10,27.85,28.25,26.53,27.77,937600,27.77
2013-06-03,27.49,27.92,26.86,27.75,981100,27.75
2013-05-28,28.00,28.46,27.38,27.45,963600,27.45
2013-05-20,28.62,29.65,27.30,27.55,1257100,27.55
2013-05-13,28.29,28.92,28.04,28.75,890800,28.75
2013-05-06,27.45,28.51,27.43,28.24,993900,28.24
2013-04-29,25.48,27.78,25.31,27.45,1413900,27.45
2013-04-22,24.92,25.99,24.50,25.35,1688400,25.35
2013-04-15,25.97,26.10,24.13,24.88,1378200,24.88
2013-04-10,25.71,26.72,25.58,26.24,1043500,26.24
