Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,97.14,97.37,96.62,97.22,2397800,97.22
2014-03-03,95.79,97.75,95.48,97.13,3145000,97.13
2014-02-24,96.17,97.17,94.63,96.52,3622400,95.80
2014-02-18,96.10,96.53,94.75,95.39,4673300,94.68
2014-02-10,90.45,96.06,90.16,95.76,4790900,95.05
2014-02-03,87.80,90.91,85.90,90.59,5664800,89.92
2014-01-27,87.95,89.23,86.50,87.57,4393100,86.92
2014-01-21,91.22,91.52,87.59,88.00,4502900,87.35
2014-01-13,93.36,94.10,90.55,90.57,4426600,89.90
2014-01-06,93.86,95.69,93.20,93.85,3384900,93.15
2013-12-30,94.64,95.32,92.88,93.52,2630100,92.82
2013-12-23,93.41,94.95,92.66,94.85,1810400,94.14
2013-12-16,91.32,93.52,90.13,92.80,4453700,92.11
2013-12-09,92.57,93.78,90.63,91.11,4265900,90.43
2013-12-02,95.13,95.60,92.54,92.65,4146400,91.96
2013-11-25,99.31,99.31,94.52,94.96,3273000,93.61
2013-11-18,97.60,99.42,96.01,99.37,2798700,97.96
2013-11-11,96.46,97.76,95.10,97.54,3046600,96.15
2013-11-04,96.23,97.82,95.42,96.33,4023700,94.96
2013-10-28,96.88,98.00,94.59,95.65,3818100,94.29
2013-10-21,98.21,98.21,95.41,96.88,3071800,95.50
2013-10-14,94.99,98.70,94.61,98.29,3963300,96.89
2013-10-07,94.61,95.93,92.92,95.49,3014300,94.13
2013-09-30,93.38,95.63,92.79,95.41,3184200,94.05
2013-09-23,91.13,94.50,90.92,94.46,4312400,93.12
2013-09-16,90.24,92.89,89.46,91.56,3695800,90.26
2013-09-09,88.99,92.87,88.77,89.49,4180300,88.22
2013-09-03,88.94,90.40,87.71,89.00,2619200,87.73
2013-08-26,88.33,89.87,87.11,88.21,3081000,86.33
2013-08-19,86.40,88.40,84.91,88.17,3266200,86.30
2013-08-12,87.85,88.42,85.69,86.51,3609700,84.67
2013-08-05,88.85,89.04,87.15,88.28,3500300,86.40
2013-07-29,90.72,90.74,86.12,88.92,4839900,87.03
2013-07-22,92.10,92.67,89.78,90.75,2596900,88.82
2013-07-15,90.18,92.41,88.74,92.09,3372300,90.13
2013-07-08,91.55,92.19,89.12,90.22,4141600,88.30
2013-07-01,89.92,91.36,89.03,90.83,2730300,88.90
2013-06-24,88.84,91.26,87.56,89.23,3875800,87.33
2013-06-17,92.66,93.25,88.49,89.92,4285400,88.01
2013-06-10,93.07,93.53,90.61,91.89,3713000,89.94
2013-06-03,93.00,95.31,91.86,93.12,6129100,91.14
2013-05-28,92.50,95.57,92.07,92.07,6925800,89.49
2013-05-20,92.84,94.42,88.90,90.78,4753800,88.24
2013-05-13,89.07,92.84,88.85,92.84,5287700,90.24
2013-05-06,90.69,91.00,87.89,89.17,5439800,86.68
2013-04-29,87.37,91.99,86.00,90.76,8331100,88.22
2013-04-22,79.68,87.92,79.00,86.66,6412400,84.24
2013-04-15,82.54,82.80,79.16,79.61,5162900,77.38
2013-04-10,81.62,84.74,81.00,83.39,9152500,81.06
