Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,42.61,42.75,42.26,42.43,1643800,42.43
2014-03-03,41.55,42.94,40.99,42.64,2135900,42.64
2014-02-24,41.33,41.98,41.16,41.76,2696800,41.76
2014-02-18,41.59,41.97,40.90,41.35,2579700,41.35
2014-02-10,40.73,41.79,40.57,41.59,2271900,41.59
2014-02-03,41.87,41.98,39.86,40.90,3193500,40.90
2014-01-27,41.47,42.44,41.47,41.82,2401500,41.82
2014-01-21,44.16,44.30,42.07,42.08,2631300,41.73
2014-01-13,44.40,44.43,43.37,44.10,3116800,43.73
2014-01-06,45.25,45.95,44.14,44.37,3018200,44.00
2013-12-30,45.63,45.74,44.95,45.22,1577500,44.84
2013-12-23,45.46,45.94,45.16,45.58,1338200,45.20
2013-12-16,42.99,45.69,42.52,45.15,3823800,44.77
2013-12-09,43.47,43.62,42.52,42.63,2776800,42.27
2013-12-02,43.87,44.63,42.55,43.37,3004400,43.01
2013-11-25,43.56,44.01,43.41,43.73,1750200,43.37
2013-11-18,43.48,44.00,42.11,43.50,2359100,43.14
2013-11-11,42.10,43.35,41.27,43.33,1738600,42.97
2013-11-04,42.24,42.25,41.42,42.21,2354000,41.86
2013-10-28,42.98,43.62,41.28,41.99,2864200,41.64
2013-10-21,41.51,43.00,41.46,43.00,1871700,42.30
2013-10-14,40.68,41.67,40.52,41.63,1771200,40.95
2013-10-07,39.37,40.80,39.21,40.74,2607800,40.07
2013-09-30,40.01,40.77,39.35,39.55,2802800,38.90
2013-09-23,40.94,41.00,40.22,40.35,1633900,39.69
2013-09-16,40.60,41.24,40.57,40.99,1511900,40.32
2013-09-09,39.34,40.70,39.15,40.33,1186000,39.67
2013-09-03,38.96,39.45,36.80,39.17,1517500,38.53
2013-08-26,39.31,39.41,38.33,38.68,1450900,38.05
2013-08-19,39.27,39.78,39.06,39.31,1250500,38.67
2013-08-12,40.10,40.59,39.24,39.32,1586100,38.68
2013-08-05,40.49,40.69,40.01,40.40,1826400,39.74
2013-07-29,39.12,40.84,38.88,40.77,3580800,40.10
2013-07-22,39.62,39.66,38.84,39.27,3955800,38.28
2013-07-15,39.02,39.51,38.97,39.35,1599600,38.36
2013-07-08,37.99,39.49,37.67,39.40,1960300,38.41
2013-07-01,36.43,37.70,36.32,37.61,1841700,36.67
2013-06-24,36.99,38.14,35.74,36.51,3886900,35.59
2013-06-17,37.44,38.00,36.67,37.17,2315500,36.24
2013-06-10,37.09,37.35,36.48,37.14,1476400,36.21
2013-06-03,37.49,37.69,36.14,37.15,1928000,36.22
2013-05-28,38.24,38.66,37.23,37.23,2233100,36.29
2013-05-20,38.33,38.55,37.59,37.86,1750400,36.91
2013-05-13,37.62,38.66,37.47,38.52,2381700,37.55
2013-05-06,37.23,37.76,36.92,37.74,1620300,36.79
2013-04-29,35.99,37.47,35.83,37.37,2135200,36.43
2013-04-22,35.60,36.33,35.10,35.87,1972500,34.97
2013-04-15,35.85,36.15,35.16,35.40,2989700,34.51
2013-04-10,35.31,36.16,35.23,36.14,2000300,35.23
