Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,14.53,14.56,14.37,14.52,2937500,14.52
2014-03-03,14.07,14.77,13.98,14.57,2795300,14.57
2014-02-24,14.10,14.37,14.06,14.17,2808800,14.17
2014-02-18,14.21,14.21,13.78,14.06,2644100,14.06
2014-02-10,13.96,14.17,13.84,14.16,3742300,14.16
2014-02-03,14.21,14.35,13.73,13.96,6508900,13.96
2014-01-27,14.60,14.71,14.20,14.21,4234700,14.21
2014-01-21,14.88,15.18,14.54,14.58,6113400,14.42
2014-01-13,15.44,15.69,14.62,14.85,11120300,14.68
2014-01-06,15.06,15.70,15.02,15.38,4490400,15.21
2013-12-30,14.97,15.17,14.95,15.06,2520100,14.89
2013-12-23,14.75,15.05,14.70,14.99,1642600,14.82
2013-12-16,14.63,14.72,14.51,14.64,3259800,14.48
2013-12-09,14.85,14.90,14.54,14.55,2853000,14.39
2013-12-02,15.17,15.25,14.69,14.84,3129500,14.67
2013-11-25,14.94,15.24,14.92,15.14,1889200,14.97
2013-11-18,14.82,14.95,14.69,14.93,2327400,14.76
2013-11-11,14.63,14.80,14.44,14.75,2101800,14.59
2013-11-04,14.39,14.71,14.23,14.61,3058500,14.45
2013-10-28,14.71,14.81,14.28,14.35,2805300,14.19
2013-10-21,14.17,14.72,14.13,14.71,3549300,14.38
2013-10-14,14.74,15.11,14.09,14.37,4550100,14.05
2013-10-07,14.57,14.80,14.19,14.78,2071400,14.45
2013-09-30,14.14,14.72,14.07,14.67,2785700,14.35
2013-09-23,14.28,14.48,14.18,14.28,2145300,13.96
2013-09-16,14.57,14.80,14.29,14.31,3267700,13.99
2013-09-09,14.31,14.53,14.24,14.48,2459800,14.16
2013-09-03,14.42,14.56,14.20,14.27,2512300,13.95
2013-08-26,14.84,14.89,14.18,14.22,2622200,13.91
2013-08-19,14.85,14.97,14.61,14.87,2170100,14.54
2013-08-12,14.83,15.03,14.73,14.93,2446600,14.60
2013-08-05,15.33,15.37,14.79,14.89,3570800,14.56
2013-07-29,15.27,15.41,14.93,15.38,3790100,15.04
2013-07-22,15.46,15.67,15.19,15.23,3430800,14.73
2013-07-15,15.18,15.58,15.02,15.48,4299600,14.97
2013-07-08,15.28,15.50,14.96,15.20,4694500,14.70
2013-07-01,14.96,15.20,14.87,15.20,3486300,14.70
2013-06-24,14.32,15.00,14.30,14.90,4602100,14.41
2013-06-17,13.89,14.55,13.81,14.44,6483600,13.97
2013-06-10,13.96,14.04,13.53,13.76,2685500,13.31
2013-06-03,13.81,13.94,13.52,13.92,2444100,13.47
2013-05-28,13.98,14.00,13.75,13.78,3393300,13.33
2013-05-20,13.86,14.31,13.69,13.81,4679000,13.36
2013-05-13,13.51,14.08,13.47,13.91,4138400,13.46
2013-05-06,13.30,13.73,13.30,13.51,3591200,13.07
2013-04-29,13.04,13.40,13.03,13.35,2855900,12.91
2013-04-22,12.93,13.20,12.88,13.13,5060600,12.54
2013-04-15,13.20,13.30,12.62,12.88,4055200,12.30
2013-04-10,13.24,13.46,13.18,13.30,2317700,12.71
