Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,65.65,65.97,65.07,65.56,993100,65.56
2014-03-03,65.03,66.44,64.70,65.93,1763800,65.93
2014-02-24,62.70,66.46,62.53,65.84,2546000,65.84
2014-02-18,61.75,65.09,61.65,62.37,2111900,62.37
2014-02-10,58.93,61.67,58.23,61.54,2087800,61.54
2014-02-03,55.67,59.58,53.59,59.15,3837600,58.95
2014-01-27,56.07,57.75,55.12,56.00,2158100,55.81
2014-01-21,59.83,60.00,56.21,56.24,1618600,56.05
2014-01-13,58.86,59.73,58.04,59.53,1443800,59.33
2014-01-06,59.67,60.17,58.24,59.19,1831900,58.99
2013-12-30,58.46,59.35,58.22,58.63,958800,58.43
2013-12-23,57.68,58.89,57.59,58.47,851600,58.27
2013-12-16,56.47,58.03,56.06,57.62,1698800,57.43
2013-12-09,57.22,57.38,55.94,56.16,1044600,55.10
2013-12-02,57.20,57.45,55.01,56.95,1339500,55.87
2013-11-25,56.65,57.60,56.46,57.31,871800,56.23
2013-11-18,57.04,57.34,55.03,56.64,1147500,55.57
2013-11-11,56.85,57.44,56.04,57.00,1211700,55.92
2013-11-04,56.41,57.83,55.90,56.84,1435200,55.57
2013-10-28,58.40,58.77,55.29,56.22,2530000,54.96
2013-10-21,57.43,58.64,57.14,58.55,1205800,57.24
2013-10-14,55.79,57.74,55.70,57.56,1077400,56.27
2013-10-07,54.91,56.27,53.67,56.20,1423900,54.94
2013-09-30,55.39,56.17,54.87,55.52,1549700,54.28
2013-09-23,57.15,57.63,55.57,55.80,1429000,54.55
2013-09-16,57.11,58.42,56.58,57.65,1470200,56.36
2013-09-09,54.49,56.31,54.24,56.28,995900,55.02
2013-09-03,54.53,54.97,53.07,54.24,1338000,53.03
2013-08-26,55.05,55.40,53.39,53.61,1174600,52.41
2013-08-19,54.77,55.47,53.95,55.21,943800,53.98
2013-08-12,55.58,56.60,54.48,54.74,886000,53.52
2013-08-05,56.65,56.89,55.28,55.93,971300,54.49
2013-07-29,56.05,57.13,55.79,56.94,1309600,55.47
2013-07-22,58.41,60.00,55.52,56.10,2291400,54.65
2013-07-15,56.81,57.93,56.55,57.63,1275200,56.14
2013-07-08,54.74,56.91,54.45,56.65,1483300,55.19
2013-07-01,53.66,54.54,52.59,54.37,1222800,52.97
2013-06-24,51.93,53.95,51.13,53.66,1766400,52.28
2013-06-17,53.53,54.65,51.70,52.33,1406100,50.98
2013-06-10,54.55,54.64,52.33,53.22,927200,51.85
2013-06-03,53.89,54.43,52.18,54.35,1739700,52.95
2013-05-28,54.01,54.66,53.38,53.60,1168700,52.22
2013-05-20,54.20,55.05,52.83,53.35,1451800,51.97
2013-05-13,52.27,54.69,51.81,54.54,1861700,53.13
2013-05-06,51.20,53.41,50.01,52.61,1721500,51.06
2013-04-29,49.59,53.12,48.97,52.54,2169300,50.99
2013-04-22,48.56,50.15,47.79,49.52,2271300,48.06
2013-04-15,49.89,50.03,47.12,48.20,1986800,46.78
2013-04-10,49.14,50.86,49.07,50.23,1729100,48.75
