Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,42.75,42.89,42.54,42.70,2600600,42.70
2014-03-03,43.87,44.13,42.13,42.75,2868000,42.75
2014-02-24,44.00,44.45,43.21,44.06,2913900,44.06
2014-02-18,43.96,44.25,43.16,43.94,2302600,43.94
2014-02-10,41.73,44.04,41.41,43.94,3235400,43.94
2014-02-03,42.25,42.64,40.92,41.83,2304500,41.83
2014-01-27,40.82,42.39,40.77,42.15,3340600,42.15
2014-01-21,40.72,41.38,40.72,40.82,3039300,40.82
2014-01-13,40.93,41.13,40.13,40.67,2585600,40.67
2014-01-06,39.71,41.01,39.54,40.53,2356700,40.53
2013-12-30,40.22,40.47,39.42,39.60,2316800,39.60
2013-12-23,40.80,41.23,40.15,40.28,1657800,40.28
2013-12-16,40.66,41.16,40.04,40.56,4356100,40.10
2013-12-09,41.06,41.46,40.16,40.42,2790700,39.97
2013-12-02,40.44,41.23,40.05,41.11,2904900,40.65
2013-11-25,40.74,40.96,39.91,40.37,2674700,39.92
2013-11-18,41.20,41.25,40.13,40.63,2593500,40.17
2013-11-11,41.75,41.87,40.02,41.16,3844800,40.70
2013-11-04,42.41,42.95,41.37,41.77,2505900,41.30
2013-10-28,42.11,42.52,41.23,42.32,2075700,41.85
2013-10-21,41.22,42.27,41.07,42.12,2343400,41.65
2013-10-14,41.13,41.58,40.10,41.22,2223200,40.76
2013-10-07,40.09,41.51,39.95,41.35,2479100,40.89
2013-09-30,40.63,41.28,40.20,40.26,2747400,39.81
2013-09-23,41.40,42.42,40.63,40.78,5364700,40.32
2013-09-16,41.76,42.47,40.90,41.46,4304300,40.55
2013-09-09,40.88,41.45,40.66,41.33,2065400,40.42
2013-09-03,41.56,41.62,40.56,40.88,2712700,39.98
2013-08-26,41.54,41.93,41.08,41.36,2374400,40.45
2013-08-19,42.54,43.19,41.25,41.51,3010500,40.60
2013-08-12,44.77,44.89,42.32,42.64,2218300,41.70
2013-08-05,46.01,46.01,44.52,45.02,1789600,44.03
2013-07-29,46.11,46.90,45.06,46.18,2412800,45.17
2013-07-22,45.03,46.32,44.92,46.32,1883300,45.30
2013-07-15,45.56,47.30,44.99,45.00,4237500,44.01
2013-07-08,44.74,45.73,44.55,45.54,2082400,44.54
2013-07-01,46.08,46.31,44.11,44.66,2308800,43.68
2013-06-24,43.97,46.33,43.53,45.73,5752300,44.73
2013-06-17,45.35,45.92,43.20,44.33,3681300,42.92
2013-06-10,45.36,45.38,44.23,45.17,2064700,43.73
2013-06-03,44.90,45.43,43.89,45.30,2566400,43.86
2013-05-28,46.34,46.62,44.75,44.91,2977100,43.48
2013-05-20,47.23,48.02,45.72,46.14,1926700,44.67
2013-05-13,46.42,47.74,46.35,47.23,2362400,45.73
2013-05-06,47.26,47.75,45.90,46.60,2801600,45.12
2013-04-29,48.03,48.50,46.71,47.25,2312000,45.75
2013-04-22,47.74,48.18,46.91,47.95,1937000,46.43
2013-04-15,47.15,47.77,46.26,47.77,2540300,46.25
2013-04-10,46.81,47.32,46.66,47.23,1802200,45.73
