Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,43.08,43.24,42.31,42.59,1076800,42.59
2014-03-03,42.99,44.06,42.56,43.09,1150600,43.09
2014-02-24,42.56,43.58,42.09,43.29,1100300,43.29
2014-02-18,42.98,43.21,42.23,42.39,883100,42.39
2014-02-10,42.55,43.30,42.06,42.96,675200,42.96
2014-02-03,43.09,43.13,41.63,42.65,1075300,42.22
2014-01-27,42.91,44.88,42.32,43.07,1511800,42.63
2014-01-21,44.30,44.78,42.82,42.88,1070100,42.44
2014-01-13,44.00,44.51,43.77,44.25,1014600,43.80
2014-01-06,44.29,45.37,43.51,44.14,1959100,43.69
2013-12-30,46.31,46.74,46.05,46.34,597800,45.87
2013-12-23,46.48,46.99,45.97,46.40,676600,45.93
2013-12-16,44.69,46.49,44.50,46.37,1435500,45.90
2013-12-09,44.77,44.96,44.09,44.44,1196300,43.99
2013-12-02,43.73,44.86,43.45,44.78,1043600,44.32
2013-11-25,43.34,44.46,42.95,43.74,985900,43.29
2013-11-18,43.98,44.18,43.21,43.43,1146800,42.99
2013-11-11,44.62,45.01,43.16,44.06,1331500,43.61
2013-11-04,46.23,46.27,43.79,44.62,1460300,43.73
2013-10-28,50.00,50.08,44.32,46.00,4585800,45.08
2013-10-21,48.86,50.00,48.43,49.91,586800,48.91
2013-10-14,47.22,49.39,47.02,48.82,755900,47.84
2013-10-07,46.11,47.58,45.35,47.55,709000,46.60
2013-09-30,46.77,47.98,45.97,46.38,779900,45.45
2013-09-23,47.46,47.87,46.02,47.07,762500,46.13
2013-09-16,46.87,49.06,45.76,47.78,1269800,46.82
2013-09-09,45.02,46.31,45.02,46.05,680200,45.13
2013-09-03,44.75,44.97,43.15,44.66,927900,43.76
2013-08-26,45.02,45.25,43.93,44.31,709900,43.42
2013-08-19,44.35,45.20,43.73,45.11,764500,44.21
2013-08-12,47.50,47.60,44.23,44.50,1167000,43.61
2013-08-05,48.37,48.59,47.00,47.73,736000,46.33
2013-07-29,48.92,49.62,48.36,48.48,617600,47.06
2013-07-22,49.66,50.06,48.32,49.11,472900,47.67
2013-07-15,48.41,49.78,48.18,49.70,560700,48.24
2013-07-08,46.58,48.60,46.47,48.48,698800,47.06
2013-07-01,46.94,47.13,45.50,46.48,636100,45.12
2013-06-24,44.62,47.06,44.01,46.67,926600,45.30
2013-06-17,47.59,47.91,44.14,45.29,1397900,43.96
2013-06-10,48.35,48.51,46.26,47.28,913400,45.89
2013-06-03,48.36,48.88,46.59,48.32,1301100,46.90
2013-05-28,52.34,52.41,47.19,47.70,1709600,46.30
2013-05-20,54.06,54.62,51.53,51.83,834100,50.31
2013-05-13,52.20,54.07,52.15,54.04,725100,52.45
2013-05-06,51.13,52.49,51.00,52.21,575100,50.26
2013-04-29,53.36,53.68,49.40,51.13,1116100,49.22
2013-04-22,52.28,53.67,52.10,53.14,750500,51.15
2013-04-15,51.84,52.34,49.76,52.29,987800,50.33
2013-04-10,51.53,52.28,51.46,51.99,636000,50.05
