Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,1356.93,1358.84,1332.80,1343.44,630400,1343.44
2014-03-03,1330.94,1378.96,1321.00,1358.04,579200,1358.04
2014-02-24,1317.00,1375.41,1304.13,1348.84,938700,1348.84
2014-02-18,1283.60,1333.12,1254.03,1315.65,1492300,1315.65
2014-02-10,1190.99,1284.70,1187.04,1279.98,880600,1279.98
2014-02-03,1143.83,1196.56,1103.90,1195.39,733500,1195.39
2014-01-27,1181.07,1186.99,1132.97,1144.89,824500,1144.89
2014-01-21,1181.50,1214.97,1172.64,1179.93,696400,1179.93
2014-01-13,1142.57,1189.99,1133.03,1178.04,641900,1178.04
2014-01-06,1132.28,1168.10,1113.01,1148.84,559800,1148.84
2013-12-30,1172.35,1172.35,1131.44,1132.68,591400,1132.68
2013-12-23,1194.47,1194.47,1168.66,1170.31,397800,1170.31
2013-12-16,1170.60,1196.69,1145.00,1190.95,656100,1190.95
2013-12-09,1183.06,1198.50,1169.18,1171.27,478600,1171.27
2013-12-02,1196.10,1196.59,1166.54,1180.40,436400,1180.40
2013-11-25,1164.23,1198.75,1155.60,1192.33,425400,1192.33
2013-11-18,1139.50,1163.98,1110.00,1158.99,598600,1158.99
2013-11-11,1068.45,1144.76,1067.11,1139.53,742700,1139.53
2013-11-04,1057.07,1085.39,1020.69,1073.20,998000,1073.20
2013-10-28,1072.46,1082.00,1043.96,1052.50,450100,1052.50
2013-10-21,1053.29,1098.70,1051.00,1070.85,618300,1070.85
2013-10-14,1006.56,1056.02,993.75,1048.25,541500,1048.25
2013-10-07,1061.49,1061.49,972.40,1010.63,890000,1010.63
2013-09-30,1008.93,1074.89,1003.10,1062.17,701100,1062.17
2013-09-23,1000.00,1019.95,986.06,1014.97,427600,1014.97
2013-09-16,979.90,1007.15,962.10,1003.01,510200,1003.01
2013-09-09,961.50,985.77,959.21,966.82,402300,966.82
2013-09-03,949.40,965.00,937.21,959.15,448800,959.15
2013-08-26,952.31,961.24,930.82,938.53,369500,938.53
2013-08-19,934.00,956.87,931.90,954.23,418800,954.23
2013-08-12,966.32,969.66,928.80,940.07,772800,940.07
2013-08-05,914.90,994.98,910.26,969.89,1291400,969.89
2013-07-29,900.59,913.82,875.19,908.36,654300,908.36
2013-07-22,901.10,919.39,884.00,900.08,652000,900.08
2013-07-15,922.50,926.40,889.00,896.29,603200,896.29
2013-07-08,874.66,920.92,872.20,920.39,814400,920.39
2013-07-01,832.00,856.12,831.11,855.16,409600,855.16
2013-06-24,805.25,830.00,791.15,826.67,594300,826.67
2013-06-17,822.00,839.67,805.22,813.05,789500,813.05
2013-06-10,819.21,825.00,802.67,815.75,537900,815.75
2013-06-03,805.15,819.24,787.00,816.45,594900,816.45
2013-05-28,811.80,819.99,789.45,803.93,821700,803.93
2013-05-20,825.70,847.33,784.32,801.12,1129700,801.12
2013-05-13,761.00,814.58,758.37,813.66,882300,813.66
2013-05-06,723.50,769.67,717.90,765.41,869300,765.41
2013-04-29,704.49,728.54,691.10,724.77,558400,724.77
2013-04-22,685.01,720.50,677.72,701.19,514000,701.19
2013-04-15,733.45,735.63,682.31,683.57,709300,683.57
2013-04-10,699.05,745.24,697.24,743.11,783200,743.11
