Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,262.00,262.23,259.00,260.81,564900,260.81
2014-03-03,255.29,265.30,253.91,262.96,584300,262.96
2014-02-24,256.54,261.17,251.71,257.88,697200,257.85
2014-02-18,261.13,261.40,253.82,256.40,711800,256.37
2014-02-10,259.76,264.28,255.60,260.44,732700,260.41
2014-02-03,254.53,261.00,244.05,260.20,874300,260.17
2014-01-27,255.88,257.97,248.03,254.75,945100,254.72
2014-01-21,272.68,274.96,255.25,255.46,1453700,255.43
2014-01-13,271.01,274.09,266.68,270.62,431700,270.59
2014-01-06,267.58,273.08,264.64,271.22,454000,271.19
2013-12-30,269.69,269.96,264.51,267.79,365000,267.76
2013-12-23,268.23,271.99,266.74,268.72,349000,268.69
2013-12-16,254.16,268.75,253.96,267.85,663300,267.82
2013-12-09,255.40,255.90,250.91,253.11,509600,253.08
2013-12-02,258.45,260.45,251.89,254.33,485000,254.30
2013-11-25,258.35,261.50,255.49,258.45,384800,258.39
2013-11-18,251.88,259.88,249.92,258.26,529700,258.20
2013-11-11,249.70,251.99,246.34,250.20,441900,250.14
2013-11-04,254.31,254.66,247.10,251.11,471600,251.05
2013-10-28,254.27,256.32,249.93,253.08,644700,253.02
2013-10-21,243.87,263.52,240.35,254.81,821800,254.75
2013-10-14,238.50,243.49,236.78,243.34,699900,243.28
2013-10-07,232.10,240.05,228.48,239.99,601600,239.93
2013-09-30,226.39,234.38,225.00,233.89,653900,233.84
2013-09-23,232.22,233.15,226.90,228.09,676200,228.04
2013-09-16,234.40,238.33,231.99,232.19,663200,232.14
2013-09-09,221.08,232.35,220.54,232.23,757200,232.18
2013-09-03,212.80,220.52,212.56,219.80,689000,219.75
2013-08-26,217.95,219.25,210.79,211.24,542100,211.16
2013-08-19,216.35,220.10,214.83,218.16,565300,218.08
2013-08-12,218.15,220.62,215.27,216.94,598400,216.86
2013-08-05,223.84,225.67,218.34,218.54,563500,218.46
2013-07-29,224.98,226.35,220.78,224.00,869600,223.92
2013-07-22,234.75,238.99,221.10,225.00,970500,224.92
2013-07-15,234.99,235.78,230.01,234.47,573100,234.38
2013-07-08,236.81,238.40,222.27,234.69,968600,234.60
2013-07-01,226.95,254.14,224.78,235.01,598800,234.92
2013-06-24,210.00,226.94,207.47,226.01,876100,225.93
2013-06-17,221.42,221.90,209.89,211.74,616500,211.66
2013-06-10,218.44,221.34,215.66,219.93,513000,219.85
2013-06-03,214.51,219.42,209.97,218.38,681900,218.30
2013-05-28,213.26,218.85,210.26,213.92,623300,213.81
2013-05-20,212.49,215.46,207.15,210.73,667900,210.62
2013-05-13,209.98,213.06,207.56,213.00,737300,212.89
2013-05-06,189.66,211.89,189.66,209.97,897500,209.86
2013-04-29,187.61,192.25,186.97,189.90,719400,189.80
2013-04-22,186.19,189.62,183.25,187.47,526500,187.37
2013-04-15,187.31,189.01,182.41,186.05,604900,185.95
2013-04-10,185.46,188.97,185.26,188.93,707800,188.83
