Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,47.27,47.27,46.59,47.19,1137400,47.19
2014-03-03,44.78,47.74,44.40,47.28,1367500,47.28
2014-02-24,44.51,46.05,44.11,45.35,1065700,45.08
2014-02-18,44.53,45.10,43.69,44.48,1182900,44.21
2014-02-10,43.50,44.72,42.76,44.54,1357400,44.27
2014-02-03,43.62,43.69,41.20,43.49,1772500,43.23
2014-01-27,44.00,44.39,43.21,43.57,1459100,43.31
2014-01-21,47.74,47.96,43.97,43.97,1558000,43.70
2014-01-13,49.00,49.30,47.41,47.44,1470400,47.15
2014-01-06,49.09,49.84,48.67,49.56,1116900,49.26
2013-12-30,49.39,49.47,48.35,48.96,943700,48.66
2013-12-23,49.02,49.78,48.86,49.38,608400,49.08
2013-12-16,48.42,48.99,47.28,48.75,2208800,48.46
2013-12-09,49.54,49.95,47.96,48.08,1016500,47.79
2013-12-02,50.86,50.91,48.87,49.46,1604200,49.16
2013-11-25,50.13,50.97,49.97,50.63,1168600,50.06
2013-11-18,49.27,50.20,48.89,50.16,1124600,49.60
2013-11-11,48.25,49.24,47.60,49.19,1055000,48.64
2013-11-04,47.59,48.79,46.94,48.44,1253600,47.89
2013-10-28,46.85,48.17,46.53,47.48,1289200,46.95
2013-10-21,46.51,47.93,45.83,46.85,1098700,46.32
2013-10-14,43.39,46.41,43.29,46.36,1466300,45.84
2013-10-07,42.88,43.95,41.45,43.94,1150000,43.45
2013-09-30,42.48,43.43,42.05,43.41,1058500,42.92
2013-09-23,42.90,43.76,42.65,43.19,820800,42.70
2013-09-16,43.80,44.23,43.14,43.24,1632700,42.75
2013-09-09,42.09,43.86,41.92,43.09,1197800,42.61
2013-09-03,41.22,42.46,41.05,42.04,1496200,41.57
2013-08-26,42.30,42.64,40.29,40.92,1281100,40.20
2013-08-19,42.40,42.86,41.59,42.31,890100,41.57
2013-08-12,42.52,43.12,41.81,42.48,830100,41.74
2013-08-05,44.18,44.31,42.83,42.89,1488800,42.14
2013-07-29,42.88,44.94,42.46,44.37,1757200,43.59
2013-07-22,39.69,43.18,39.59,42.99,1960800,42.24
2013-07-15,38.58,39.98,38.49,39.68,1401200,38.98
2013-07-08,38.11,39.00,38.05,38.90,1520300,38.22
2013-07-01,37.74,37.97,36.75,37.91,1594000,37.25
2013-06-24,36.27,38.04,35.65,37.45,1572200,36.79
2013-06-17,38.31,39.05,36.44,36.80,1887300,36.15
2013-06-10,38.72,38.95,37.77,38.04,1270900,37.37
2013-06-03,37.99,38.68,36.86,38.58,1651400,37.90
2013-05-28,37.71,38.75,37.61,37.85,1411300,37.19
2013-05-20,37.99,38.60,36.51,37.22,1273700,36.35
2013-05-13,36.92,38.21,36.69,38.14,1141300,37.25
2013-05-06,36.47,37.41,36.38,37.05,1092800,36.18
2013-04-29,35.84,37.13,35.51,36.72,1150900,35.86
2013-04-22,34.48,36.37,33.90,35.74,1447700,34.90
2013-04-15,35.38,35.38,33.43,34.34,1545800,33.53
2013-04-10,34.05,35.47,34.04,35.45,1827100,34.62
